年月,銀行,銀行類別,項目,數值
10202,總計,全體總和,發行金融卡,166877706
10202,總計,全體總和,流通金融卡,81604104
10202,總計,全體總和,ATM裝設數,26745
10202,總計,全體總和,交易次數,57796549
10202,總計,全體總和,交易金額,773787000000
10202,小計,本國銀行,發行金融卡,117993642
10202,小計,本國銀行,流通金融卡,64861223
10202,小計,本國銀行,ATM裝設數,21798
10202,小計,本國銀行,交易次數,42685188
10202,小計,本國銀行,交易金額,607023000000
10202,臺灣銀行,本國銀行,發行金融卡,6491132
10202,臺灣銀行,本國銀行,流通金融卡,3910068
10202,臺灣銀行,本國銀行,ATM裝設數,700
10202,臺灣銀行,本國銀行,交易次數,2461199
10202,臺灣銀行,本國銀行,交易金額,32833000000
10202,臺灣土地銀行,本國銀行,發行金融卡,6062905
10202,臺灣土地銀行,本國銀行,流通金融卡,2165709
10202,臺灣土地銀行,本國銀行,ATM裝設數,800
10202,臺灣土地銀行,本國銀行,交易次數,1830987
10202,臺灣土地銀行,本國銀行,交易金額,28033000000
10202,合作金庫商業銀行,本國銀行,發行金融卡,7309919
10202,合作金庫商業銀行,本國銀行,流通金融卡,5172065
10202,合作金庫商業銀行,本國銀行,ATM裝設數,1227
10202,合作金庫商業銀行,本國銀行,交易次數,3361107
10202,合作金庫商業銀行,本國銀行,交易金額,56121000000
10202,第一商業銀行,本國銀行,發行金融卡,8657730
10202,第一商業銀行,本國銀行,流通金融卡,4690029
10202,第一商業銀行,本國銀行,ATM裝設數,809
10202,第一商業銀行,本國銀行,交易次數,2774367
10202,第一商業銀行,本國銀行,交易金額,35784000000
10202,華南商業銀行,本國銀行,發行金融卡,10460381
10202,華南商業銀行,本國銀行,流通金融卡,5920754
10202,華南商業銀行,本國銀行,ATM裝設數,737
10202,華南商業銀行,本國銀行,交易次數,2717401
10202,華南商業銀行,本國銀行,交易金額,34422000000
10202,彰化商業銀行,本國銀行,發行金融卡,8366363
10202,彰化商業銀行,本國銀行,流通金融卡,4717224
10202,彰化商業銀行,本國銀行,ATM裝設數,677
10202,彰化商業銀行,本國銀行,交易次數,2375704
10202,彰化商業銀行,本國銀行,交易金額,43715000000
10202,上海商業儲蓄銀行,本國銀行,發行金融卡,2321358
10202,上海商業儲蓄銀行,本國銀行,流通金融卡,1201550
10202,上海商業儲蓄銀行,本國銀行,ATM裝設數,264
10202,上海商業儲蓄銀行,本國銀行,交易次數,580702
10202,上海商業儲蓄銀行,本國銀行,交易金額,7160000000
10202,台北富邦銀行,本國銀行,發行金融卡,5327243
10202,台北富邦銀行,本國銀行,流通金融卡,3601142
10202,台北富邦銀行,本國銀行,ATM裝設數,669
10202,台北富邦銀行,本國銀行,交易次數,2379213
10202,台北富邦銀行,本國銀行,交易金額,32085000000
10202,國泰世華商業銀行,本國銀行,發行金融卡,6832632
10202,國泰世華商業銀行,本國銀行,流通金融卡,5409207
10202,國泰世華商業銀行,本國銀行,ATM裝設數,1869
10202,國泰世華商業銀行,本國銀行,交易次數,2977860
10202,國泰世華商業銀行,本國銀行,交易金額,40615000000
10202,高雄銀行,本國銀行,發行金融卡,855775
