年月,銀行,銀行類別,項目,數值
9604,聯邦商業銀行,本國銀行,發行金融卡,2072275
9604,聯邦商業銀行,本國銀行,流通金融卡,931102
9604,聯邦商業銀行,本國銀行,ATM裝設數,228
9604,聯邦商業銀行,本國銀行,交易次數,845285
9604,聯邦商業銀行,本國銀行,交易金額,24516000000
9604,中華商業銀行,本國銀行,發行金融卡,1655221
9604,中華商業銀行,本國銀行,流通金融卡,687192
9604,中華商業銀行,本國銀行,ATM裝設數,99
9604,中華商業銀行,本國銀行,交易次數,205765
9604,中華商業銀行,本國銀行,交易金額,2842000000
9604,遠東國際商業銀行,本國銀行,發行金融卡,945716
9604,遠東國際商業銀行,本國銀行,流通金融卡,357709
9604,遠東國際商業銀行,本國銀行,ATM裝設數,133
9604,遠東國際商業銀行,本國銀行,交易次數,339092
9604,遠東國際商業銀行,本國銀行,交易金額,3602000000
9604,復華商業銀行,本國銀行,發行金融卡,1018468
9604,復華商業銀行,本國銀行,流通金融卡,636507
9604,復華商業銀行,本國銀行,ATM裝設數,293
9604,復華商業銀行,本國銀行,交易次數,281492
9604,復華商業銀行,本國銀行,交易金額,3567000000
9604,永豐商業銀行,本國銀行,發行金融卡,3201664
9604,永豐商業銀行,本國銀行,流通金融卡,1558073
9604,永豐商業銀行,本國銀行,ATM裝設數,503
9604,永豐商業銀行,本國銀行,交易次數,896955
9604,永豐商業銀行,本國銀行,交易金額,8186000000
9604,玉山商業銀行,本國銀行,發行金融卡,2155115
9604,玉山商業銀行,本國銀行,流通金融卡,1636869
9604,玉山商業銀行,本國銀行,ATM裝設數,399
9604,玉山商業銀行,本國銀行,交易次數,1374445
9604,玉山商業銀行,本國銀行,交易金額,15164000000
9604,萬泰商業銀行,本國銀行,發行金融卡,3531644
9604,萬泰商業銀行,本國銀行,流通金融卡,1882145
9604,萬泰商業銀行,本國銀行,ATM裝設數,404
9604,萬泰商業銀行,本國銀行,交易次數,440841
9604,萬泰商業銀行,本國銀行,交易金額,5147000000
9604,寶華商業銀行,本國銀行,發行金融卡,965921
9604,寶華商業銀行,本國銀行,流通金融卡,602516
9604,寶華商業銀行,本國銀行,ATM裝設數,79
9604,寶華商業銀行,本國銀行,交易次數,172052
9604,寶華商業銀行,本國銀行,交易金額,2047000000
9604,台新國際商業銀行,本國銀行,發行金融卡,5568690
9604,台新國際商業銀行,本國銀行,流通金融卡,3329142
9604,台新國際商業銀行,本國銀行,ATM裝設數,2650
9604,台新國際商業銀行,本國銀行,交易次數,8058963
9604,台新國際商業銀行,本國銀行,交易金額,61056000000
9604,大眾商業銀行,本國銀行,發行金融卡,2074917
9604,大眾商業銀行,本國銀行,流通金融卡,848715
9604,大眾商業銀行,本國銀行,ATM裝設數,129
9604,大眾商業銀行,本國銀行,交易次數,420526
9604,大眾商業銀行,本國銀行,交易金額,8304000000
9604,日盛國際商業銀行,本國銀行,發行金融卡,1631868
9604,日盛國際商業銀行,本國銀行,流通金融卡,874098
9604,日盛國際商業銀行,本國銀行,ATM裝設數,292
9604,日盛國際商業銀行,本國銀行,交易次數,439079
9604,日盛國際商業銀行,本國銀行,交易金額,4043000000
9604,安泰商業銀行,本國銀行,發行金融卡,923774
9604,安泰商業銀行,本國銀行,流通金融卡,564246
9604,安泰商業銀行,本國銀行,ATM裝設數,134
9604,安泰商業銀行,本國銀行,交易次數,186247
9604,安泰商業銀行,本國銀行,交易金額,2204000000
9604,中國信託商業銀行,本國銀行,發行金融卡,6495346
9604,中國信託商業銀行,本國銀行,流通金融卡,4054403
9604,中國信託商業銀行,本國銀行,ATM裝設數,4133
9604,中國信託商業銀行,本國銀行,交易次數,7148636
9604,中國信託商業銀行,本國銀行,交易金額,60911000000
9604,慶豐商業銀行,本國銀行,發行金融卡,734756
9604,慶豐商業銀行,本國銀行,流通金融卡,413762
9604,慶豐商業銀行,本國銀行,ATM裝設數,69
9604,慶豐商業銀行,本國銀行,交易次數,82024
9604,慶豐商業銀行,本國銀行,交易金額,807000000
9604,臺灣中小企業銀行,本國銀行,發行金融卡,4442075
9604,臺灣中小企業銀行,本國銀行,流通金融卡,1861339
9604,臺灣中小企業銀行,本國銀行,ATM裝設數,442
9604,臺灣中小企業銀行,本國銀行,交易次數,1710034
9604,臺灣中小企業銀行,本國銀行,交易金額,28134000000
9604,新竹國際商業銀行,本國銀行,發行金融卡,2811555
9604,新竹國際商業銀行,本國銀行,流通金融卡,2163365
9604,新竹國際商業銀行,本國銀行,ATM裝設數,375
9604,新竹國際商業銀行,本國銀行,交易次數,570810
9604,新竹國際商業銀行,本國銀行,交易金額,7440000000
9604,臺中商業銀行,本國銀行,發行金融卡,1617119
9604,臺中商業銀行,本國銀行,流通金融卡,680909
9604,臺中商業銀行,本國銀行,ATM裝設數,166
9604,臺中商業銀行,本國銀行,交易次數,442249
9604,臺中商業銀行,本國銀行,交易金額,7049000000
9604,京城商業銀行,本國銀行,發行金融卡,777726
9604,京城商業銀行,本國銀行,流通金融卡,146328
9604,京城商業銀行,本國銀行,ATM裝設數,123
9604,京城商業銀行,本國銀行,交易次數,182447
9604,京城商業銀行,本國銀行,交易金額,4126000000
9604,花蓮區中小企業銀行,本國銀行,發行金融卡,212320
9604,花蓮區中小企業銀行,本國銀行,流通金融卡,145709
9604,花蓮區中小企業銀行,本國銀行,ATM裝設數,51
9604,花蓮區中小企業銀行,本國銀行,交易次數,51054
9604,花蓮區中小企業銀行,本國銀行,交易金額,611000000
9604,臺東區中小企業銀行,本國銀行,發行金融卡,324562
9604,臺東區中小企業銀行,本國銀行,流通金融卡,172987
9604,臺東區中小企業銀行,本國銀行,ATM裝設數,37
9604,臺東區中小企業銀行,本國銀行,交易次數,54302
9604,臺東區中小企業銀行,本國銀行,交易金額,1131000000
9604,外國銀行在台分行,本國銀行,發行金融卡,938400
9604,外國銀行在台分行,本國銀行,流通金融卡,564708
9604,外國銀行在台分行,本國銀行,ATM裝設數,67
9604,外國銀行在台分行,本國銀行,交易次數,316477
9604,外國銀行在台分行,本國銀行,交易金額,8848000000
9604,美商花旗銀行,本國銀行,發行金融卡,451627
9604,美商花旗銀行,本國銀行,流通金融卡,292259
9604,美商花旗銀行,本國銀行,ATM裝設數,39
9604,美商花旗銀行,本國銀行,交易次數,22907
9604,美商花旗銀行,本國銀行,交易金額,584000000
9604,荷商荷蘭銀行,本國銀行,發行金融卡,84103
9604,荷商荷蘭銀行,本國銀行,流通金融卡,23779
9604,荷商荷蘭銀行,本國銀行,ATM裝設數,8
9604,荷商荷蘭銀行,本國銀行,交易次數,10549
9604,荷商荷蘭銀行,本國銀行,交易金額,114000000
9604,香港上海匯豐銀行,本國銀行,發行金融卡,366807
9604,香港上海匯豐銀行,本國銀行,流通金融卡,222996
9604,香港上海匯豐銀行,本國銀行,ATM裝設數,20
9604,香港上海匯豐銀行,本國銀行,交易次數,268397
9604,香港上海匯豐銀行,本國銀行,交易金額,8022000000
9604,英商渣打銀行,本國銀行,發行金融卡,35863
9604,英商渣打銀行,本國銀行,流通金融卡,25674
9604,英商渣打銀行,本國銀行,ATM裝設數,0
9604,英商渣打銀行,本國銀行,交易次數,14624
9604,英商渣打銀行,本國銀行,交易金額,128000000
9604,信用合作社,信用合作社,發行金融卡,2367949
9604,信用合作社,信用合作社,流通金融卡,1297933
9604,信用合作社,信用合作社,ATM裝設數,489
9604,信用合作社,信用合作社,交易次數,635744
9604,信用合作社,信用合作社,交易金額,8314000000
9604,農漁會信用部,信用合作社,發行金融卡,3071022
9604,農漁會信用部,信用合作社,流通金融卡,1823917
9604,農漁會信用部,信用合作社,ATM裝設數,1116
9604,農漁會信用部,信用合作社,交易次數,1582412
9604,農漁會信用部,信用合作社,交易金額,22105000000
9604,臺灣郵政公司儲匯處,信用合作社,發行金融卡,32701232
9604,臺灣郵政公司儲匯處,信用合作社,流通金融卡,11957014
9604,臺灣郵政公司儲匯處,信用合作社,ATM裝設數,3127
9604,臺灣郵政公司儲匯處,信用合作社,交易次數,10651963
9604,臺灣郵政公司儲匯處,信用合作社,交易金額,96624000000
9604,全國農業金庫,信用合作社,發行金融卡,414
9604,全國農業金庫,信用合作社,流通金融卡,372
9604,全國農業金庫,信用合作社,ATM裝設數,2
9604,全國農業金庫,信用合作社,交易次數,577
9604,全國農業金庫,信用合作社,交易金額,6000000
