etl_dt,bank_code,data_dt,bank_nm,my_tot,fy_tot,my_country,fy_country,my_os,fy_os
2014-05-22,007       ,2006-02-01,第一商業銀行,64736000000.0,80496000000.0,41235000000.0,54402000000.0,23501000000.0,26094000000.0
2014-05-22,008       ,2006-02-01,華南商業銀行,72027000000.0,101384000000,48528000000.0,72566000000.0,23499000000.0,28818000000.0
2014-05-22,009       ,2006-02-01,彰化商業銀行,52031000000.0,60235000000.0,35108000000.0,40955000000.0,16923000000.0,19280000000.0
2014-05-22,-01       ,2006-02-01,臺東區中小企業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,011       ,2006-02-01,上海商業儲蓄銀行,46107000000.0,50067000000.0,19255000000.0,19723000000.0,26852000000.0,30344000000.0
2014-05-22,012       ,2006-02-01,台北富邦銀行,24326000000.0,45565000000.0,21790000000.0,40896000000.0,2536000000.0,4669000000.0
2014-05-22,013       ,2006-02-01,國泰世華商業銀行,21132000000.0,32338000000.0,15368000000.0,23340000000.0,5764000000.0,8998000000.0
2014-05-22,015       ,2006-02-01,中國輸出入銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,016       ,2006-02-01,高雄銀行,1801000000.0,2985000000.0,1450000000.0,2731000000.0,351000000.0,254000000.0
2014-05-22,040       ,2006-02-01,中華開發工業銀行,4164000000.0,4149000000.0,408000000.0,972000000.0,3756000000.0,3177000000.0
2014-05-22,048       ,2006-02-01,臺灣工業銀行,430000000.0,7828000000.0,380000000.0,4060000000.0,50000000.0,3768000000.0
2014-05-22,050       ,2006-02-01,臺灣中小企業銀行,31160000000.0,34633000000.0,20750000000.0,25093000000.0,10410000000.0,9540000000.0
2014-05-22,052       ,2006-02-01,新竹國際商業銀行,5711000000.0,7985000000.0,5044000000.0,7157000000.0,667000000.0,828000000.0
2014-05-22,102       ,2006-02-01,華泰商業銀行,246000000.0,783000000.0,227000000.0,770000000.0,19000000.0,13000000.0
2014-05-22,103       ,2006-02-01,臺灣新光商業銀行,1178000000.0,2942000000.0,949000000.0,2638000000.0,-949000000.0,-2638000000.0
2014-05-22,108       ,2006-02-01,陽信商業銀行,737000000.0,1937000000.0,671000000.0,1780000000.0,66000000.0,157000000.0
2014-05-22,118       ,2006-02-01,板信商業銀行,771000000.0,2770000000.0,670000000.0,1903000000.0,101000000.0,867000000.0
2014-05-22,147       ,2006-02-01,三信商業銀行,67000000.0,321000000.0,67000000.0,321000000.0,0.0,0.0
2014-05-22,151       ,2006-02-01,第七商業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,381       ,2006-02-01,交通銀行,9938000000.0,30960000000.0,9056000000.0,20643000000.0,882000000.0,10317000000.0
2014-05-22,803       ,2006-02-01,聯邦商業銀行,4153000000.0,12191000000.0,2967000000.0,7299000000.0,1186000000.0,4892000000.0
2014-05-22,805       ,2006-02-01,遠東國際商業銀行,6022000000.0,19138000000.0,4303000000.0,9002000000.0,1719000000.0,10136000000.0
2014-05-22,807       ,2006-02-01,建華商業銀行,35554000000.0,56948000000.0,18772000000.0,28187000000.0,16782000000.0,28761000000.0
2014-05-22,808       ,2006-02-01,玉山商業銀行,14226000000.0,24600000000.0,8175000000.0,12244000000.0,6051000000.0,12356000000.0
2014-05-22,809       ,2006-02-01,萬泰商業銀行,1565000000.0,2630000000.0,1287000000.0,2163000000.0,278000000.0,467000000.0
2014-05-22,812       ,2006-02-01,台新國際商業銀行,27002000000.0,82273000000.0,18707000000.0,50512000000.0,8295000000.0,31761000000.0
2014-05-22,814       ,2006-02-01,大眾商業銀行,10447000000.0,22621000000.0,8569000000.0,14044000000.0,1878000000.0,8577000000.0
2014-05-22,815       ,2006-02-01,日盛國際商業銀行,3499000000.0,6561000000.0,3029000000.0,5091000000.0,470000000.0,1470000000.0
2014-05-22,816       ,2006-02-01,安泰商業銀行,2244000000.0,5740000000.0,1936000000.0,5337000000.0,308000000.0,403000000.0
2014-05-22,822       ,2006-02-01,中國信託商業銀行,64326000000.0,118075000000,35604000000.0,59693000000.0,28722000000.0,58382000000.0
2014-05-22,N002      ,2006-02-01,中國國際商業銀行,121582000000,236804000000,56818000000.0,113582000000,64764000000.0,123222000000
2014-05-22,N003      ,2006-02-01,臺南區中小企業銀行,728000000.0,1181000000.0,690000000.0,1133000000.0,38000000.0,48000000.0
2014-05-22,N009      ,2006-02-01,合作金庫銀行,18996000000.0,48598000000.0,15466000000.0,43974000000.0,3530000000.0,4624000000.0
2014-05-22,N015      ,2006-02-01,臺中商業銀行,2139000000.0,3133000000.0,1619000000.0,2624000000.0,520000000.0,509000000.0
2014-05-22,N028      ,2006-02-01,外國銀行在台分行,212676000000,225890000000,143107000000,110540000000,69569000000.0,115350000000
2014-05-22,0         ,2006-03-01,總計,940782000000,1629006000000,587614000000,1020036000000,353168000000,608970000000
2014-05-22,004       ,2006-03-01,臺灣銀行,32484000000.0,103389000000,23986000000.0,89268000000.0,8498000000.0,14121000000.0
2014-05-22,005       ,2006-03-01,臺灣土地銀行,9157000000.0,30384000000.0,7948000000.0,25226000000.0,1209000000.0,5158000000.0
2014-05-22,007       ,2006-03-01,第一商業銀行,62260000000.0,85407000000.0,39857000000.0,58917000000.0,22403000000.0,26490000000.0
2014-05-22,008       ,2006-03-01,華南商業銀行,70338000000.0,107044000000,47827000000.0,77060000000.0,22511000000.0,29984000000.0
2014-05-22,009       ,2006-03-01,彰化商業銀行,50539000000.0,64979000000.0,33902000000.0,44394000000.0,16637000000.0,20585000000.0
2014-05-22,-01       ,2006-03-01,臺東區中小企業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,011       ,2006-03-01,上海商業儲蓄銀行,45057000000.0,53717000000.0,18122000000.0,22426000000.0,26935000000.0,31291000000.0
2014-05-22,012       ,2006-03-01,台北富邦銀行,23956000000.0,48044000000.0,21154000000.0,43510000000.0,2802000000.0,4534000000.0
2014-05-22,013       ,2006-03-01,國泰世華商業銀行,18779000000.0,34611000000.0,13421000000.0,24985000000.0,5358000000.0,9626000000.0
2014-05-22,015       ,2006-03-01,中國輸出入銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,016       ,2006-03-01,高雄銀行,1692000000.0,3099000000.0,1465000000.0,2805000000.0,227000000.0,294000000.0
2014-05-22,040       ,2006-03-01,中華開發工業銀行,4616000000.0,4710000000.0,314000000.0,548000000.0,4302000000.0,4162000000.0
2014-05-22,048       ,2006-03-01,臺灣工業銀行,665000000.0,8480000000.0,464000000.0,5843000000.0,201000000.0,2637000000.0
2014-05-22,050       ,2006-03-01,臺灣中小企業銀行,30308000000.0,36940000000.0,20224000000.0,27268000000.0,10084000000.0,9672000000.0
2014-05-22,052       ,2006-03-01,新竹國際商業銀行,5622000000.0,8056000000.0,4978000000.0,7160000000.0,644000000.0,896000000.0
2014-05-22,102       ,2006-03-01,華泰商業銀行,235000000.0,855000000.0,231000000.0,843000000.0,4000000.0,12000000.0
2014-05-22,103       ,2006-03-01,臺灣新光商業銀行,1317000000.0,2669000000.0,1205000000.0,2337000000.0,-1205000000.0,-2337000000.0
2014-05-22,108       ,2006-03-01,陽信商業銀行,821000000.0,2096000000.0,771000000.0,2010000000.0,50000000.0,86000000.0
2014-05-22,118       ,2006-03-01,板信商業銀行,717000000.0,1949000000.0,622000000.0,1356000000.0,95000000.0,593000000.0
2014-05-22,147       ,2006-03-01,三信商業銀行,84000000.0,397000000.0,84000000.0,397000000.0,0.0,0.0
2014-05-22,151       ,2006-03-01,第七商業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,381       ,2006-03-01,交通銀行,9126000000.0,32273000000.0,8394000000.0,23464000000.0,732000000.0,8809000000.0
2014-05-22,803       ,2006-03-01,聯邦商業銀行,3881000000.0,12640000000.0,2874000000.0,7612000000.0,1007000000.0,5028000000.0
2014-05-22,805       ,2006-03-01,遠東國際商業銀行,5864000000.0,20078000000.0,3679000000.0,9321000000.0,2185000000.0,10757000000.0
2014-05-22,807       ,2006-03-01,建華商業銀行,36021000000.0,59414000000.0,18545000000.0,29262000000.0,17476000000.0,30152000000.0
2014-05-22,808       ,2006-03-01,玉山商業銀行,14854000000.0,38429000000.0,8871000000.0,25566000000.0,5983000000.0,12863000000.0
2014-05-22,809       ,2006-03-01,萬泰商業銀行,1586000000.0,2701000000.0,1266000000.0,2241000000.0,320000000.0,460000000.0
2014-05-22,812       ,2006-03-01,台新國際商業銀行,27432000000.0,93548000000.0,20005000000.0,57139000000.0,7427000000.0,36409000000.0
2014-05-22,814       ,2006-03-01,大眾商業銀行,9538000000.0,21929000000.0,7551000000.0,14157000000.0,1987000000.0,7772000000.0
2014-05-22,815       ,2006-03-01,日盛國際商業銀行,3631000000.0,5703000000.0,2966000000.0,4688000000.0,665000000.0,1015000000.0
2014-05-22,816       ,2006-03-01,安泰商業銀行,2187000000.0,5226000000.0,1809000000.0,4861000000.0,378000000.0,365000000.0
2014-05-22,822       ,2006-03-01,中國信託商業銀行,65354000000.0,129824000000,36495000000.0,66287000000.0,28859000000.0,63537000000.0
2014-05-22,N002      ,2006-03-01,中國國際商業銀行,128554000000,223481000000,58817000000.0,105571000000,69737000000.0,117910000000
2014-05-22,N003      ,2006-03-01,臺南區中小企業銀行,817000000.0,1333000000.0,695000000.0,1281000000.0,122000000.0,52000000.0
