年月,銀行,項目,數值
10108,　彰化商業銀行,本國銀行,循環信用利息收入,1000000
10108,　彰化商業銀行,本國銀行,簽帳手續費收入,12000000
10108,　彰化商業銀行,本國銀行,預借現金手續費,0
10108,　彰化商業銀行,本國銀行,收單特約商店家數,271
10108,　上海商業儲蓄銀行,本國銀行,流通卡數,421049
10108,　上海商業儲蓄銀行,本國銀行,有效卡數,227319
10108,　上海商業儲蓄銀行,本國銀行,本月發卡數,8068
10108,　上海商業儲蓄銀行,本國銀行,本月停卡數,3355
10108,　上海商業儲蓄銀行,本國銀行,循環信用餘額,882000000
10108,　上海商業儲蓄銀行,本國銀行,本月簽帳金額,1447000000
10108,　上海商業儲蓄銀行,本國銀行,本月預借現金金額,10000000
10108,　上海商業儲蓄銀行,本國銀行,預期帳款比率,0.51
10108,　上海商業儲蓄銀行,本國銀行,底被呆帳提足率,1570.52
10108,　上海商業儲蓄銀行,本國銀行,本月轉銷呆帳金額,7000000
10108,　上海商業儲蓄銀行,本國銀行,循環信用利息收入,12000000
10108,　上海商業儲蓄銀行,本國銀行,簽帳手續費收入,23000000
10108,　上海商業儲蓄銀行,本國銀行,預借現金手續費,1000000
10108,　上海商業儲蓄銀行,本國銀行,收單特約商店家數,0
10108,　台北富邦銀行,本國銀行,流通卡數,2061758
10108,　台北富邦銀行,本國銀行,有效卡數,1400788
10108,　台北富邦銀行,本國銀行,本月發卡數,29585
10108,　台北富邦銀行,本國銀行,本月停卡數,24497
10108,　台北富邦銀行,本國銀行,循環信用餘額,7785000000
10108,　台北富邦銀行,本國銀行,本月簽帳金額,10544000000
10108,　台北富邦銀行,本國銀行,本月預借現金金額,97000000
10108,　台北富邦銀行,本國銀行,預期帳款比率,0.12
10108,　台北富邦銀行,本國銀行,底被呆帳提足率,1773.46
10108,　台北富邦銀行,本國銀行,本月轉銷呆帳金額,24000000
10108,　台北富邦銀行,本國銀行,循環信用利息收入,93000000
10108,　台北富邦銀行,本國銀行,簽帳手續費收入,154000000
10108,　台北富邦銀行,本國銀行,預借現金手續費,4000000
10108,　台北富邦銀行,本國銀行,收單特約商店家數,232
10108,　國泰世華商業銀行,本國銀行,流通卡數,3375235
10108,　國泰世華商業銀行,本國銀行,有效卡數,2330284
10108,　國泰世華商業銀行,本國銀行,本月發卡數,42691
10108,　國泰世華商業銀行,本國銀行,本月停卡數,20618
10108,　國泰世華商業銀行,本國銀行,循環信用餘額,15022000000
10108,　國泰世華商業銀行,本國銀行,本月簽帳金額,17661000000
10108,　國泰世華商業銀行,本國銀行,本月預借現金金額,228000000
10108,　國泰世華商業銀行,本國銀行,預期帳款比率,0.14
10108,　國泰世華商業銀行,本國銀行,底被呆帳提足率,1822.71
10108,　國泰世華商業銀行,本國銀行,本月轉銷呆帳金額,21000000
10108,　國泰世華商業銀行,本國銀行,循環信用利息收入,180000000
10108,　國泰世華商業銀行,本國銀行,簽帳手續費收入,220000000
10108,　國泰世華商業銀行,本國銀行,預借現金手續費,5000000
10108,　國泰世華商業銀行,本國銀行,收單特約商店家數,8108
10108,　高雄銀行,本國銀行,流通卡數,6461
10108,　高雄銀行,本國銀行,有效卡數,3172
10108,　高雄銀行,本國銀行,本月發卡數,135
10108,　高雄銀行,本國銀行,本月停卡數,53
10108,　高雄銀行,本國銀行,循環信用餘額,7000000
10108,　高雄銀行,本國銀行,本月簽帳金額,167000000
10108,　高雄銀行,本國銀行,本月預借現金金額,0
10108,　高雄銀行,本國銀行,預期帳款比率,0.0
10108,　高雄銀行,本國銀行,底被呆帳提足率,4879.26
10108,　高雄銀行,本國銀行,本月轉銷呆帳金額,0
10108,　高雄銀行,本國銀行,循環信用利息收入,0
10108,　高雄銀行,本國銀行,簽帳手續費收入,0
10108,　高雄銀行,本國銀行,預借現金手續費,0
10108,　高雄銀行,本國銀行,收單特約商店家數,1157
10108,　兆豐國際商業銀行,本國銀行,流通卡數,541690
10108,　兆豐國際商業銀行,本國銀行,有效卡數,339135
10108,　兆豐國際商業銀行,本國銀行,本月發卡數,2685
10108,　兆豐國際商業銀行,本國銀行,本月停卡數,6462
10108,　兆豐國際商業銀行,本國銀行,循環信用餘額,1622000000
10108,　兆豐國際商業銀行,本國銀行,本月簽帳金額,2284000000
10108,　兆豐國際商業銀行,本國銀行,本月預借現金金額,12000000
10108,　兆豐國際商業銀行,本國銀行,預期帳款比率,0.29
