年月,銀行,銀行類別,項目,數值,英文欄位
9909,總計,全部信用卡機構,流通卡數,30354986,Cc_F_Card_Cnt
9909,總計,全部信用卡機構,有效卡數,19151866,Cc_Open_Card_Cnt
9909,總計,全部信用卡機構,本月發卡數,363150,Cc_Issue_Card_Cnt
9909,總計,全部信用卡機構,本月停卡數,260709,Cc_Stop_Card_Cnt
9909,總計,全部信用卡機構,循環信用餘額,185332000000,Cyc_Bal
9909,總計,全部信用卡機構,本月簽帳金額,126175000000,Cc_Txn_Bal
9909,總計,全部信用卡機構,本月預借現金金額,2675000000,Cc_Ln_Bal
9909,總計,全部信用卡機構,預期帳款比率,0.52,Cc_Payment_Rate
9909,總計,全部信用卡機構,底被呆帳提足率,502.17,Cc_BadDebit_Rate
9909,總計,全部信用卡機構,本月轉銷呆帳金額,603000000,Cc_BadDebit_Bal
9909,總計,全部信用卡機構,循環信用利息收入,2027000000,Cyc_Income
9909,總計,全部信用卡機構,簽帳手續費收入,1719000000,Txn_Fee
9909,總計,全部信用卡機構,預借現金手續費,128000000,Cc_Ln_Fee
9909,總計,全部信用卡機構,收單特約商店家數,0,Auth_Store_Cnt
9909,小計,本國銀行,流通卡數,29355230,Cc_F_Card_Cnt
9909,小計,本國銀行,有效卡數,18593086,Cc_Open_Card_Cnt
9909,小計,本國銀行,本月發卡數,356562,Cc_Issue_Card_Cnt
9909,小計,本國銀行,本月停卡數,250947,Cc_Stop_Card_Cnt
9909,小計,本國銀行,循環信用餘額,174423000000,Cyc_Bal
9909,小計,本國銀行,本月簽帳金額,120280000000,Cc_Txn_Bal
9909,小計,本國銀行,本月預借現金金額,2645000000,Cc_Ln_Bal
9909,小計,本國銀行,預期帳款比率,0.53,Cc_Payment_Rate
9909,小計,本國銀行,底被呆帳提足率,397.09,Cc_BadDebit_Rate
9909,小計,本國銀行,本月轉銷呆帳金額,886000000,Cc_BadDebit_Bal
9909,小計,本國銀行,循環信用利息收入,1905000000,Cyc_Income
9909,小計,本國銀行,簽帳手續費收入,1620000000,Txn_Fee
9909,小計,本國銀行,預借現金手續費,127000000,Cc_Ln_Fee
9909,小計,本國銀行,收單特約商店家數,0,Auth_Store_Cnt
9909,臺灣銀行,本國銀行,流通卡數,266617,Cc_F_Card_Cnt
9909,臺灣銀行,本國銀行,有效卡數,122119,Cc_Open_Card_Cnt
9909,臺灣銀行,本國銀行,本月發卡數,227,Cc_Issue_Card_Cnt
9909,臺灣銀行,本國銀行,本月停卡數,907,Cc_Stop_Card_Cnt
9909,臺灣銀行,本國銀行,循環信用餘額,357000000,Cyc_Bal
9909,臺灣銀行,本國銀行,本月簽帳金額,721000000,Cc_Txn_Bal
9909,臺灣銀行,本國銀行,本月預借現金金額,2000000,Cc_Ln_Bal
9909,臺灣銀行,本國銀行,預期帳款比率,0.43,Cc_Payment_Rate
9909,臺灣銀行,本國銀行,底被呆帳提足率,229.99,Cc_BadDebit_Rate
9909,臺灣銀行,本國銀行,本月轉銷呆帳金額,2000000,Cc_BadDebit_Bal
9909,臺灣銀行,本國銀行,循環信用利息收入,4000000,Cyc_Income
9909,臺灣銀行,本國銀行,簽帳手續費收入,13000000,Txn_Fee
9909,臺灣銀行,本國銀行,預借現金手續費,0,Cc_Ln_Fee
9909,臺灣銀行,本國銀行,收單特約商店家數,636,Auth_Store_Cnt
