年月,銀行,銀行類別,項目,數值,英文欄位
10102,總計,全部信用卡機構,流通卡數,32839871,Cc_F_Card_Cnt
10102,總計,全部信用卡機構,有效卡數,20887689,Cc_Open_Card_Cnt
10102,總計,全部信用卡機構,本月發卡數,335152,Cc_Issue_Card_Cnt
10102,總計,全部信用卡機構,本月停卡數,321970,Cc_Stop_Card_Cnt
10102,總計,全部信用卡機構,循環信用餘額,137501000000,Cyc_Bal
10102,總計,全部信用卡機構,本月簽帳金額,130154000000,Cc_Txn_Bal
10102,總計,全部信用卡機構,本月預借現金金額,1777000000,Cc_Ln_Bal
10102,總計,全部信用卡機構,預期帳款比率,0.31,Cc_Payment_Rate
10102,總計,全部信用卡機構,底被呆帳提足率,911.3,Cc_BadDebit_Rate
10102,總計,全部信用卡機構,本月轉銷呆帳金額,442000000,Cc_BadDebit_Bal
10102,總計,全部信用卡機構,循環信用利息收入,1680000000,Cyc_Income
10102,總計,全部信用卡機構,簽帳手續費收入,1794000000,Txn_Fee
10102,總計,全部信用卡機構,預借現金手續費,76000000,Cc_Ln_Fee
10102,總計,全部信用卡機構,收單特約商店家數,0,Auth_Store_Cnt
10102,小計,本國銀行,流通卡數,31847196,Cc_F_Card_Cnt
10102,小計,本國銀行,有效卡數,20331234,Cc_Open_Card_Cnt
10102,小計,本國銀行,本月發卡數,327444,Cc_Issue_Card_Cnt
10102,小計,本國銀行,本月停卡數,315086,Cc_Stop_Card_Cnt
10102,小計,本國銀行,循環信用餘額,130168000000,Cyc_Bal
10102,小計,本國銀行,本月簽帳金額,124443000000,Cc_Txn_Bal
10102,小計,本國銀行,本月預借現金金額,1764000000,Cc_Ln_Bal
10102,小計,本國銀行,預期帳款比率,0.3,Cc_Payment_Rate
10102,小計,本國銀行,底被呆帳提足率,749.53,Cc_BadDebit_Rate
10102,小計,本國銀行,本月轉銷呆帳金額,400000000,Cc_BadDebit_Bal
10102,小計,本國銀行,循環信用利息收入,1600000000,Cyc_Income
10102,小計,本國銀行,簽帳手續費收入,1683000000,Txn_Fee
10102,小計,本國銀行,預借現金手續費,75000000,Cc_Ln_Fee
10102,小計,本國銀行,收單特約商店家數,0,Auth_Store_Cnt
10102,　臺灣銀行,本國銀行,流通卡數,234719,Cc_F_Card_Cnt
10102,　臺灣銀行,本國銀行,有效卡數,113549,Cc_Open_Card_Cnt
10102,　臺灣銀行,本國銀行,本月發卡數,499,Cc_Issue_Card_Cnt
10102,　臺灣銀行,本國銀行,本月停卡數,1796,Cc_Stop_Card_Cnt
