年月,銀行,銀行類別,項目,數值,英文欄位
9508,總,信用卡公司,流通卡數,39919353,Cc_F_Card_Cnt
9508,總,信用卡公司,有效卡數,21061857,Cc_Open_Card_Cnt
9508,總,信用卡公司,本月發卡數,467989,Cc_Issue_Card_Cnt
9508,總,信用卡公司,本月停卡數,877026,Cc_Stop_Card_Cnt
9508,總,信用卡公司,循環信用餘額,391707000000,Cyc_Bal
9508,總,信用卡公司,本月簽帳金額,117656000000,Cc_Txn_Bal
9508,總,信用卡公司,本月預借現金金額,6479000000,Cc_Ln_Bal
9508,總,信用卡公司,預期帳款比率,2.79,Cc_Payment_Rate
9508,總,信用卡公司,底被呆帳提足率,0.09,Cc_BadDebit_Rate
9508,總,信用卡公司,本月轉銷呆帳金額,288370000,Cc_BadDebit_Bal
9508,總,信用卡公司,循環信用利息收入,8267000000,Cyc_Income
9508,總,信用卡公司,簽帳手續費收入,4100000000,Txn_Fee
9508,總,信用卡公司,預借現金手續費,1406000000,Cc_Ln_Fee
9508,總,信用卡公司,收單特約商店家數,212,Auth_Store_Cnt
9508,小計,本國銀行,流通卡數,34036706,Cc_F_Card_Cnt
9508,小計,本國銀行,有效卡數,17530472,Cc_Open_Card_Cnt
9508,小計,本國銀行,本月發卡數,416680,Cc_Issue_Card_Cnt
9508,小計,本國銀行,本月停卡數,728172,Cc_Stop_Card_Cnt
9508,小計,本國銀行,循環信用餘額,258563000000,Cyc_Bal
9508,小計,本國銀行,本月簽帳金額,91172000000,Cc_Txn_Bal
9508,小計,本國銀行,本月預借現金金額,3806000000,Cc_Ln_Bal
9508,小計,本國銀行,預期帳款比率,2.85,Cc_Payment_Rate
9508,小計,本國銀行,底被呆帳提足率,0.13,Cc_BadDebit_Rate
9508,小計,本國銀行,本月轉銷呆帳金額,222440000,Cc_BadDebit_Bal
9508,小計,本國銀行,循環信用利息收入,5776000000,Cyc_Income
9508,小計,本國銀行,簽帳手續費收入,2962000000,Txn_Fee
9508,小計,本國銀行,預借現金手續費,1073000000,Cc_Ln_Fee
9508,小計,本國銀行,收單特約商店家數,162,Auth_Store_Cnt
9508,,本國銀行,流通卡數,19363,Cc_F_Card_Cnt
9508,,本國銀行,有效卡數,8998,Cc_Open_Card_Cnt
9508,,本國銀行,本月發卡數,40,Cc_Issue_Card_Cnt
9508,,本國銀行,本月停卡數,64,Cc_Stop_Card_Cnt
9508,,本國銀行,循環信用餘額,12000000,Cyc_Bal
9508,,本國銀行,本月簽帳金額,67000000,Cc_Txn_Bal
9508,,本國銀行,本月預借現金金額,0,Cc_Ln_Bal
9508,,本國銀行,預期帳款比率,2.98,Cc_Payment_Rate
9508,,本國銀行,底被呆帳提足率,2.16,Cc_BadDebit_Rate
9508,,本國銀行,本月轉銷呆帳金額,136690000,Cc_BadDebit_Bal
9508,,本國銀行,循環信用利息收入,0,Cyc_Income
9508,,本國銀行,簽帳手續費收入,0,Txn_Fee
9508,,本國銀行,預借現金手續費,1000000,Cc_Ln_Fee
9508,,本國銀行,收單特約商店家數,0,Auth_Store_Cnt
9508,,本國銀行,流通卡數,273744,Cc_F_Card_Cnt
9508,,本國銀行,有效卡數,132341,Cc_Open_Card_Cnt
9508,,本國銀行,本月發卡數,680,Cc_Issue_Card_Cnt
9508,,本國銀行,本月停卡數,2260,Cc_Stop_Card_Cnt
9508,,本國銀行,循環信用餘額,607000000,Cyc_Bal
9508,,本國銀行,本月簽帳金額,763000000,Cc_Txn_Bal
9508,,本國銀行,本月預借現金金額,20000000,Cc_Ln_Bal
9508,,本國銀行,預期帳款比率,2.65,Cc_Payment_Rate
9508,,本國銀行,底被呆帳提足率,0.26,Cc_BadDebit_Rate
9508,,本國銀行,本月轉銷呆帳金額,181410000,Cc_BadDebit_Bal
9508,,本國銀行,循環信用利息收入,34000000,Cyc_Income
9508,,本國銀行,簽帳手續費收入,5000000,Txn_Fee
9508,,本國銀行,預借現金手續費,10000000,Cc_Ln_Fee
9508,,本國銀行,收單特約商店家數,1,Auth_Store_Cnt
9508,,本國銀行,流通卡數,298091,Cc_F_Card_Cnt
9508,,本國銀行,有效卡數,82839,Cc_Open_Card_Cnt
9508,,本國銀行,本月發卡數,549,Cc_Issue_Card_Cnt
9508,,本國銀行,本月停卡數,2356,Cc_Stop_Card_Cnt
9508,,本國銀行,循環信用餘額,839000000,Cyc_Bal
9508,,本國銀行,本月簽帳金額,504000000,Cc_Txn_Bal
9508,,本國銀行,本月預借現金金額,5000000,Cc_Ln_Bal
9508,,本國銀行,預期帳款比率,2.92,Cc_Payment_Rate
9508,,本國銀行,底被呆帳提足率,2.06,Cc_BadDebit_Rate
9508,,本國銀行,本月轉銷呆帳金額,169520000,Cc_BadDebit_Bal
9508,,本國銀行,循環信用利息收入,33000000,Cyc_Income
9508,,本國銀行,簽帳手續費收入,7000000,Txn_Fee
9508,,本國銀行,預借現金手續費,6000000,Cc_Ln_Fee
9508,,本國銀行,收單特約商店家數,0,Auth_Store_Cnt
9508,,本國銀行,流通卡數,776074,Cc_F_Card_Cnt
9508,,本國銀行,有效卡數,187108,Cc_Open_Card_Cnt
9508,,本國銀行,本月發卡數,3925,Cc_Issue_Card_Cnt
9508,,本國銀行,本月停卡數,3863,Cc_Stop_Card_Cnt
9508,,本國銀行,循環信用餘額,1829000000,Cyc_Bal
9508,,本國銀行,本月簽帳金額,1304000000,Cc_Txn_Bal
9508,,本國銀行,本月預借現金金額,58000000,Cc_Ln_Bal
9508,,本國銀行,預期帳款比率,2.33,Cc_Payment_Rate
9508,,本國銀行,底被呆帳提足率,2.03,Cc_BadDebit_Rate
9508,,本國銀行,本月轉銷呆帳金額,118130000,Cc_BadDebit_Bal
9508,,本國銀行,循環信用利息收入,30000000,Cyc_Income
9508,,本國銀行,簽帳手續費收入,23000000,Txn_Fee
9508,,本國銀行,預借現金手續費,15000000,Cc_Ln_Fee
9508,,本國銀行,收單特約商店家數,2,Auth_Store_Cnt
9508,,本國銀行,流通卡數,647558,Cc_F_Card_Cnt
9508,,本國銀行,有效卡數,242662,Cc_Open_Card_Cnt
9508,,本國銀行,本月發卡數,1427,Cc_Issue_Card_Cnt
9508,,本國銀行,本月停卡數,7887,Cc_Stop_Card_Cnt
9508,,本國銀行,循環信用餘額,2882000000,Cyc_Bal
9508,,本國銀行,本月簽帳金額,1555000000,Cc_Txn_Bal
9508,,本國銀行,本月預借現金金額,39000000,Cc_Ln_Bal
9508,,本國銀行,預期帳款比率,2.0,Cc_Payment_Rate
9508,,本國銀行,底被呆帳提足率,0.0,Cc_BadDebit_Rate
9508,,本國銀行,本月轉銷呆帳金額,205000000,Cc_BadDebit_Bal
9508,,本國銀行,循環信用利息收入,57000000,Cyc_Income
9508,,本國銀行,簽帳手續費收入,45000000,Txn_Fee
9508,,本國銀行,預借現金手續費,31000000,Cc_Ln_Fee
9508,,本國銀行,收單特約商店家數,1,Auth_Store_Cnt
9508,,本國銀行,流通卡數,709023,Cc_F_Card_Cnt
9508,,本國銀行,有效卡數,314831,Cc_Open_Card_Cnt
9508,,本國銀行,本月發卡數,2466,Cc_Issue_Card_Cnt
9508,,本國銀行,本月停卡數,6195,Cc_Stop_Card_Cnt
9508,,本國銀行,循環信用餘額,2092000000,Cyc_Bal
9508,,本國銀行,本月簽帳金額,1392000000,Cc_Txn_Bal
9508,,本國銀行,本月預借現金金額,0,Cc_Ln_Bal
9508,,本國銀行,預期帳款比率,2.57,Cc_Payment_Rate
9508,,本國銀行,底被呆帳提足率,0.01,Cc_BadDebit_Rate
9508,,本國銀行,本月轉銷呆帳金額,100000000,Cc_BadDebit_Bal
9508,,本國銀行,循環信用利息收入,29000000,Cyc_Income
9508,,本國銀行,簽帳手續費收入,33000000,Txn_Fee
9508,,本國銀行,預借現金手續費,20000000,Cc_Ln_Fee
9508,,本國銀行,收單特約商店家數,1,Auth_Store_Cnt
9508,,本國銀行,流通卡數,198358,Cc_F_Card_Cnt
9508,,本國銀行,有效卡數,73880,Cc_Open_Card_Cnt
9508,,本國銀行,本月發卡數,673,Cc_Issue_Card_Cnt
9508,,本國銀行,本月停卡數,1312,Cc_Stop_Card_Cnt
9508,,本國銀行,循環信用餘額,453000000,Cyc_Bal
9508,,本國銀行,本月簽帳金額,550000000,Cc_Txn_Bal
9508,,本國銀行,本月預借現金金額,9000000,Cc_Ln_Bal
9508,,本國銀行,預期帳款比率,2.01,Cc_Payment_Rate
9508,,本國銀行,底被呆帳提足率,0.52,Cc_BadDebit_Rate
9508,,本國銀行,本月轉銷呆帳金額,241290000,Cc_BadDebit_Bal
9508,,本國銀行,循環信用利息收入,12000000,Cyc_Income
9508,,本國銀行,簽帳手續費收入,7000000,Txn_Fee
9508,,本國銀行,預借現金手續費,5000000,Cc_Ln_Fee
9508,,本國銀行,收單特約商店家數,0,Auth_Store_Cnt
9508,,本國銀行,流通卡數,797371,Cc_F_Card_Cnt
9508,,本國銀行,有效卡數,341000,Cc_Open_Card_Cnt
9508,,本國銀行,本月發卡數,4729,Cc_Issue_Card_Cnt
9508,,本國銀行,本月停卡數,6852,Cc_Stop_Card_Cnt
9508,,本國銀行,循環信用餘額,2757000000,Cyc_Bal
9508,,本國銀行,本月簽帳金額,2386000000,Cc_Txn_Bal
9508,,本國銀行,本月預借現金金額,78000000,Cc_Ln_Bal
9508,,本國銀行,預期帳款比率,1.76,Cc_Payment_Rate
9508,,本國銀行,底被呆帳提足率,0.42,Cc_BadDebit_Rate
9508,,本國銀行,本月轉銷呆帳金額,102470000,Cc_BadDebit_Bal
9508,,本國銀行,循環信用利息收入,21000000,Cyc_Income
9508,,本國銀行,簽帳手續費收入,27000000,Txn_Fee
9508,,本國銀行,預借現金手續費,33000000,Cc_Ln_Fee
9508,,本國銀行,收單特約商店家數,4,Auth_Store_Cnt
9508,,本國銀行,流通卡數,544849,Cc_F_Card_Cnt
9508,,本國銀行,有效卡數,247656,Cc_Open_Card_Cnt
9508,,本國銀行,本月發卡數,2223,Cc_Issue_Card_Cnt
9508,,本國銀行,本月停卡數,3117,Cc_Stop_Card_Cnt
9508,,本國銀行,循環信用餘額,2289000000,Cyc_Bal
9508,,本國銀行,本月簽帳金額,1364000000,Cc_Txn_Bal
9508,,本國銀行,本月預借現金金額,80000000,Cc_Ln_Bal
9508,,本國銀行,預期帳款比率,2.4,Cc_Payment_Rate
9508,,本國銀行,底被呆帳提足率,0.0,Cc_BadDebit_Rate
9508,,本國銀行,本月轉銷呆帳金額,317030000,Cc_BadDebit_Bal
9508,,本國銀行,循環信用利息收入,185000000,Cyc_Income
9508,,本國銀行,簽帳手續費收入,38000000,Txn_Fee
