年月,銀行,銀行類別,項目,數值,英文欄位
10304,總計,全部信用卡機構,流通卡數,36463226,Cc_F_Card_Cnt
10304,總計,全部信用卡機構,有效卡數,23229597,Cc_Open_Card_Cnt
10304,總計,全部信用卡機構,本月發卡數,444096,Cc_Issue_Card_Cnt
10304,總計,全部信用卡機構,本月停卡數,295479,Cc_Stop_Card_Cnt
10304,總計,全部信用卡機構,循環信用餘額,113861000000,Cyc_Bal
10304,總計,全部信用卡機構,本月簽帳金額,163550000000,Cc_Txn_Bal
10304,總計,全部信用卡機構,本月預借現金金額,2144000000,Cc_Ln_Bal
10304,總計,全部信用卡機構,預期帳款比率,0.27,Cc_Payment_Rate
10304,總計,全部信用卡機構,底被呆帳提足率,716.79,Cc_BadDebit_Rate
10304,總計,全部信用卡機構,本月轉銷呆帳金額,369000000,Cc_BadDebit_Bal
10304,總計,全部信用卡機構,循環信用利息收入,1420000000,Cyc_Income
10304,總計,全部信用卡機構,簽帳手續費收入,2251000000,Txn_Fee
10304,總計,全部信用卡機構,預借現金手續費,75000000,Cc_Ln_Fee
10304,總計,全部信用卡機構,收單特約商店家數,0,Auth_Store_Cnt
10304,小計,本國銀行,流通卡數,36135443,Cc_F_Card_Cnt
10304,小計,本國銀行,有效卡數,23032019,Cc_Open_Card_Cnt
10304,小計,本國銀行,本月發卡數,440360,Cc_Issue_Card_Cnt
10304,小計,本國銀行,本月停卡數,290123,Cc_Stop_Card_Cnt
10304,小計,本國銀行,循環信用餘額,113143000000,Cyc_Bal
10304,小計,本國銀行,本月簽帳金額,159700000000,Cc_Txn_Bal
10304,小計,本國銀行,本月預借現金金額,2140000000,Cc_Ln_Bal
10304,小計,本國銀行,預期帳款比率,0.27,Cc_Payment_Rate
10304,小計,本國銀行,底被呆帳提足率,717.17,Cc_BadDebit_Rate
10304,小計,本國銀行,本月轉銷呆帳金額,364000000,Cc_BadDebit_Bal
10304,小計,本國銀行,循環信用利息收入,1411000000,Cyc_Income
10304,小計,本國銀行,簽帳手續費收入,2187000000,Txn_Fee
10304,小計,本國銀行,預借現金手續費,75000000,Cc_Ln_Fee
10304,小計,本國銀行,收單特約商店家數,0,Auth_Store_Cnt
10304,　臺灣銀行,本國銀行,流通卡數,223598,Cc_F_Card_Cnt
10304,　臺灣銀行,本國銀行,有效卡數,114729,Cc_Open_Card_Cnt
10304,　臺灣銀行,本國銀行,本月發卡數,5045,Cc_Issue_Card_Cnt
10304,　臺灣銀行,本國銀行,本月停卡數,1135,Cc_Stop_Card_Cnt
