年月,銀行,銀行類別,項目,數值,英文項目
9901,彰化商業銀行,本國銀行,購置住宅貸款戶數,72341,Mortgage_Cnt
9901,彰化商業銀行,本國銀行,購置住宅貸款餘額,186708000000,Mortgage_Bal
9901,彰化商業銀行,本國銀行,房屋修繕貸款戶數,46015,Decorator_Hse_Cnt
9901,彰化商業銀行,本國銀行,房屋修繕貸款餘額,98505000000,Decorator_Hse_Bal
9901,彰化商業銀行,本國銀行,購置汽車貸款戶數,0,Ln_Car_Cnt
9901,彰化商業銀行,本國銀行,購置汽車貸款餘額,0,Ln_Car_Bal
9901,彰化商業銀行,本國銀行,機關團體職工福利貸款戶數,2165,Ln_Worker_Cnt
9901,彰化商業銀行,本國銀行,機關團體職工福利貸款餘額,767000000,Ln_Worker_Bal
9901,彰化商業銀行,本國銀行,其他個人消費貸款戶數,9912,Other_CL_Cnt
9901,彰化商業銀行,本國銀行,其他個人消費貸款餘額,5162000000,Other_CL_Bal
9901,上海商業儲蓄銀行,本國銀行,購置住宅貸款戶數,36452,Mortgage_Cnt
9901,上海商業儲蓄銀行,本國銀行,購置住宅貸款餘額,101901000000,Mortgage_Bal
9901,上海商業儲蓄銀行,本國銀行,房屋修繕貸款戶數,9666,Decorator_Hse_Cnt
9901,上海商業儲蓄銀行,本國銀行,房屋修繕貸款餘額,8569000000,Decorator_Hse_Bal
9901,上海商業儲蓄銀行,本國銀行,購置汽車貸款戶數,123,Ln_Car_Cnt
9901,上海商業儲蓄銀行,本國銀行,購置汽車貸款餘額,22000000,Ln_Car_Bal
9901,上海商業儲蓄銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,上海商業儲蓄銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,上海商業儲蓄銀行,本國銀行,其他個人消費貸款戶數,4909,Other_CL_Cnt
9901,上海商業儲蓄銀行,本國銀行,其他個人消費貸款餘額,1210000000,Other_CL_Bal
9901,台北富邦銀行,本國銀行,購置住宅貸款戶數,102328,Mortgage_Cnt
9901,台北富邦銀行,本國銀行,購置住宅貸款餘額,241513000000,Mortgage_Bal
9901,台北富邦銀行,本國銀行,房屋修繕貸款戶數,1760,Decorator_Hse_Cnt
9901,台北富邦銀行,本國銀行,房屋修繕貸款餘額,1583000000,Decorator_Hse_Bal
9901,台北富邦銀行,本國銀行,購置汽車貸款戶數,2365,Ln_Car_Cnt
9901,台北富邦銀行,本國銀行,購置汽車貸款餘額,330000000,Ln_Car_Bal
9901,台北富邦銀行,本國銀行,機關團體職工福利貸款戶數,505,Ln_Worker_Cnt
9901,台北富邦銀行,本國銀行,機關團體職工福利貸款餘額,223000000,Ln_Worker_Bal
9901,台北富邦銀行,本國銀行,其他個人消費貸款戶數,201227,Other_CL_Cnt
9901,台北富邦銀行,本國銀行,其他個人消費貸款餘額,30940000000,Other_CL_Bal
9901,國泰世華商業銀行,本國銀行,購置住宅貸款戶數,67919,Mortgage_Cnt
9901,國泰世華商業銀行,本國銀行,購置住宅貸款餘額,258302000000,Mortgage_Bal
9901,國泰世華商業銀行,本國銀行,房屋修繕貸款戶數,7305,Decorator_Hse_Cnt
9901,國泰世華商業銀行,本國銀行,房屋修繕貸款餘額,11095000000,Decorator_Hse_Bal
9901,國泰世華商業銀行,本國銀行,購置汽車貸款戶數,404,Ln_Car_Cnt
9901,國泰世華商業銀行,本國銀行,購置汽車貸款餘額,20000000,Ln_Car_Bal
9901,國泰世華商業銀行,本國銀行,機關團體職工福利貸款戶數,0,Ln_Worker_Cnt
9901,國泰世華商業銀行,本國銀行,機關團體職工福利貸款餘額,0,Ln_Worker_Bal
9901,國泰世華商業銀行,本國銀行,其他個人消費貸款戶數,23720,Other_CL_Cnt
9901,國泰世華商業銀行,本國銀行,其他個人消費貸款餘額,2582000000,Other_CL_Bal
9901,中國輸出入銀行,本國銀行,購置住宅貸款戶數,0,Mortgage_Cnt
