年月,銀行,銀行類別,項目,數值
10003,台北富邦銀行,本國銀行,購置住宅貸款戶數,100796
10003,台北富邦銀行,本國銀行,購置住宅貸款餘額,268387000000
10003,台北富邦銀行,本國銀行,房屋修繕貸款戶數,3032
10003,台北富邦銀行,本國銀行,房屋修繕貸款餘額,3250000000
10003,台北富邦銀行,本國銀行,購置汽車貸款戶數,748
10003,台北富邦銀行,本國銀行,購置汽車貸款餘額,96000000
10003,台北富邦銀行,本國銀行,機關團體職工福利貸款戶數,4227
10003,台北富邦銀行,本國銀行,機關團體職工福利貸款餘額,2485000000
10003,台北富邦銀行,本國銀行,其他個人消費貸款戶數,211515
10003,台北富邦銀行,本國銀行,其他個人消費貸款餘額,33554000000
10003,國泰世華商業銀行,本國銀行,購置住宅貸款戶數,68186
10003,國泰世華商業銀行,本國銀行,購置住宅貸款餘額,276850000000
10003,國泰世華商業銀行,本國銀行,房屋修繕貸款戶數,7886
10003,國泰世華商業銀行,本國銀行,房屋修繕貸款餘額,10980000000
10003,國泰世華商業銀行,本國銀行,購置汽車貸款戶數,36
10003,國泰世華商業銀行,本國銀行,購置汽車貸款餘額,9000000
10003,國泰世華商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,國泰世華商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,國泰世華商業銀行,本國銀行,其他個人消費貸款戶數,22525
10003,國泰世華商業銀行,本國銀行,其他個人消費貸款餘額,35234000000
10003,中國輸出入銀行,本國銀行,購置住宅貸款戶數,0
10003,中國輸出入銀行,本國銀行,購置住宅貸款餘額,0
10003,中國輸出入銀行,本國銀行,房屋修繕貸款戶數,0
10003,中國輸出入銀行,本國銀行,房屋修繕貸款餘額,0
10003,中國輸出入銀行,本國銀行,購置汽車貸款戶數,0
10003,中國輸出入銀行,本國銀行,購置汽車貸款餘額,0
10003,中國輸出入銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,中國輸出入銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,中國輸出入銀行,本國銀行,其他個人消費貸款戶數,0
10003,中國輸出入銀行,本國銀行,其他個人消費貸款餘額,0
10003,高雄銀行,本國銀行,購置住宅貸款戶數,20166
10003,高雄銀行,本國銀行,購置住宅貸款餘額,32648000000
10003,高雄銀行,本國銀行,房屋修繕貸款戶數,4801
10003,高雄銀行,本國銀行,房屋修繕貸款餘額,8697000000
10003,高雄銀行,本國銀行,購置汽車貸款戶數,0
10003,高雄銀行,本國銀行,購置汽車貸款餘額,0
10003,高雄銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,高雄銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,高雄銀行,本國銀行,其他個人消費貸款戶數,58293
10003,高雄銀行,本國銀行,其他個人消費貸款餘額,8043000000
10003,兆豐國際商業銀行,本國銀行,購置住宅貸款戶數,46046
10003,兆豐國際商業銀行,本國銀行,購置住宅貸款餘額,145979000000
10003,兆豐國際商業銀行,本國銀行,房屋修繕貸款戶數,8402
10003,兆豐國際商業銀行,本國銀行,房屋修繕貸款餘額,14770000000
10003,兆豐國際商業銀行,本國銀行,購置汽車貸款戶數,0
10003,兆豐國際商業銀行,本國銀行,購置汽車貸款餘額,0
10003,兆豐國際商業銀行,本國銀行,機關團體職工福利貸款戶數,5076
10003,兆豐國際商業銀行,本國銀行,機關團體職工福利貸款餘額,2747000000
10003,兆豐國際商業銀行,本國銀行,其他個人消費貸款戶數,5367
10003,兆豐國際商業銀行,本國銀行,其他個人消費貸款餘額,2541000000
10003,花旗,本國銀行,購置住宅貸款戶數,35375
10003,花旗,本國銀行,購置住宅貸款餘額,77419000000
10003,花旗,本國銀行,房屋修繕貸款戶數,1409
10003,花旗,本國銀行,房屋修繕貸款餘額,2277000000
10003,花旗,本國銀行,購置汽車貸款戶數,11
10003,花旗,本國銀行,購置汽車貸款餘額,1000000
10003,花旗,本國銀行,機關團體職工福利貸款戶數,209
10003,花旗,本國銀行,機關團體職工福利貸款餘額,362000000
10003,花旗,本國銀行,其他個人消費貸款戶數,174790
10003,花旗,本國銀行,其他個人消費貸款餘額,30408000000
10003,中華開發工業銀行,本國銀行,購置住宅貸款戶數,0
10003,中華開發工業銀行,本國銀行,購置住宅貸款餘額,0
10003,中華開發工業銀行,本國銀行,房屋修繕貸款戶數,0
10003,中華開發工業銀行,本國銀行,房屋修繕貸款餘額,0
10003,中華開發工業銀行,本國銀行,購置汽車貸款戶數,0
10003,中華開發工業銀行,本國銀行,購置汽車貸款餘額,0
10003,中華開發工業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,中華開發工業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,中華開發工業銀行,本國銀行,其他個人消費貸款戶數,45
10003,中華開發工業銀行,本國銀行,其他個人消費貸款餘額,21000000
10003,臺灣工業銀行,本國銀行,購置住宅貸款戶數,2
10003,臺灣工業銀行,本國銀行,購置住宅貸款餘額,2000000
10003,臺灣工業銀行,本國銀行,房屋修繕貸款戶數,0
10003,臺灣工業銀行,本國銀行,房屋修繕貸款餘額,0
10003,臺灣工業銀行,本國銀行,購置汽車貸款戶數,0
10003,臺灣工業銀行,本國銀行,購置汽車貸款餘額,0
10003,臺灣工業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,臺灣工業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,臺灣工業銀行,本國銀行,其他個人消費貸款戶數,0
10003,臺灣工業銀行,本國銀行,其他個人消費貸款餘額,0
10003,匯豐,本國銀行,購置住宅貸款戶數,25492
10003,匯豐,本國銀行,購置住宅貸款餘額,89466000000
10003,匯豐,本國銀行,房屋修繕貸款戶數,774
10003,匯豐,本國銀行,房屋修繕貸款餘額,728000000
10003,匯豐,本國銀行,購置汽車貸款戶數,135
10003,匯豐,本國銀行,購置汽車貸款餘額,0
10003,匯豐,本國銀行,機關團體職工福利貸款戶數,0
10003,匯豐,本國銀行,機關團體職工福利貸款餘額,0
10003,匯豐,本國銀行,其他個人消費貸款戶數,40336
10003,匯豐,本國銀行,其他個人消費貸款餘額,4278000000
10003,大台北商業銀行,本國銀行,購置住宅貸款戶數,3044
10003,大台北商業銀行,本國銀行,購置住宅貸款餘額,12505000000
10003,大台北商業銀行,本國銀行,房屋修繕貸款戶數,151
10003,大台北商業銀行,本國銀行,房屋修繕貸款餘額,212000000
10003,大台北商業銀行,本國銀行,購置汽車貸款戶數,0
10003,大台北商業銀行,本國銀行,購置汽車貸款餘額,0
10003,大台北商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,大台北商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,大台北商業銀行,本國銀行,其他個人消費貸款戶數,483
10003,大台北商業銀行,本國銀行,其他個人消費貸款餘額,209000000
10003,華泰商業銀行,本國銀行,購置住宅貸款戶數,4500
10003,華泰商業銀行,本國銀行,購置住宅貸款餘額,16407000000
10003,華泰商業銀行,本國銀行,房屋修繕貸款戶數,1904
10003,華泰商業銀行,本國銀行,房屋修繕貸款餘額,4694000000
10003,華泰商業銀行,本國銀行,購置汽車貸款戶數,0
10003,華泰商業銀行,本國銀行,購置汽車貸款餘額,0
10003,華泰商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,華泰商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,華泰商業銀行,本國銀行,其他個人消費貸款戶數,1689
10003,華泰商業銀行,本國銀行,其他個人消費貸款餘額,375000000
10003,臺灣新光商業銀行,本國銀行,購置住宅貸款戶數,28876
10003,臺灣新光商業銀行,本國銀行,購置住宅貸款餘額,83312000000
10003,臺灣新光商業銀行,本國銀行,房屋修繕貸款戶數,916
10003,臺灣新光商業銀行,本國銀行,房屋修繕貸款餘額,1284000000
10003,臺灣新光商業銀行,本國銀行,購置汽車貸款戶數,10495
10003,臺灣新光商業銀行,本國銀行,購置汽車貸款餘額,4257000000
10003,臺灣新光商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,臺灣新光商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,臺灣新光商業銀行,本國銀行,其他個人消費貸款戶數,66245
10003,臺灣新光商業銀行,本國銀行,其他個人消費貸款餘額,25150000000
10003,陽信商業銀行,本國銀行,購置住宅貸款戶數,20401
10003,陽信商業銀行,本國銀行,購置住宅貸款餘額,53744000000
10003,陽信商業銀行,本國銀行,房屋修繕貸款戶數,2314
10003,陽信商業銀行,本國銀行,房屋修繕貸款餘額,3194000000
10003,陽信商業銀行,本國銀行,購置汽車貸款戶數,62
10003,陽信商業銀行,本國銀行,購置汽車貸款餘額,61000000
10003,陽信商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,陽信商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,陽信商業銀行,本國銀行,其他個人消費貸款戶數,16747
10003,陽信商業銀行,本國銀行,其他個人消費貸款餘額,4031000000
10003,板信商業銀行,本國銀行,購置住宅貸款戶數,18584
10003,板信商業銀行,本國銀行,購置住宅貸款餘額,37914000000
10003,板信商業銀行,本國銀行,房屋修繕貸款戶數,134
10003,板信商業銀行,本國銀行,房屋修繕貸款餘額,186000000
10003,板信商業銀行,本國銀行,購置汽車貸款戶數,15
10003,板信商業銀行,本國銀行,購置汽車貸款餘額,4000000
10003,板信商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,板信商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,板信商業銀行,本國銀行,其他個人消費貸款戶數,20870
10003,板信商業銀行,本國銀行,其他個人消費貸款餘額,1972000000
10003,三信商業銀行,本國銀行,購置住宅貸款戶數,6280
10003,三信商業銀行,本國銀行,購置住宅貸款餘額,18620000000
10003,三信商業銀行,本國銀行,房屋修繕貸款戶數,737
10003,三信商業銀行,本國銀行,房屋修繕貸款餘額,1049000000
10003,三信商業銀行,本國銀行,購置汽車貸款戶數,29895
10003,三信商業銀行,本國銀行,購置汽車貸款餘額,10671000000
10003,三信商業銀行,本國銀行,機關團體職工福利貸款戶數,0
10003,三信商業銀行,本國銀行,機關團體職工福利貸款餘額,0
10003,三信商業銀行,本國銀行,其他個人消費貸款戶數,23181
10003,三信商業銀行,本國銀行,其他個人消費貸款餘額,9069000000
10003,聯邦商業銀行,本國銀行,購置住宅貸款戶數,29997
10003,聯邦商業銀行,本國銀行,購置住宅貸款餘額,61468000000
10003,聯邦商業銀行,本國銀行,房屋修繕貸款戶數,15415
10003,聯邦商業銀行,本國銀行,房屋修繕貸款餘額,26938000000
10003,聯邦商業銀行,本國銀行,購置汽車貸款戶數,18768
10003,聯邦商業銀行,本國銀行,購置汽車貸款餘額,6151000000
10003,聯邦商業銀行,本國銀行,機關團體職工福利貸款戶數,4
10003,聯邦商業銀行,本國銀行,機關團體職工福利貸款餘額,1000000
10003,聯邦商業銀行,本國銀行,其他個人消費貸款戶數,25246
10003,聯邦商業銀行,本國銀行,其他個人消費貸款餘額,4996000000
10003,遠東國際商業銀行,本國銀行,購置住宅貸款戶數,39239
10003,遠東國際商業銀行,本國銀行,購置住宅貸款餘額,96840000000
10003,遠東國際商業銀行,本國銀行,房屋修繕貸款戶數,5801
