Bank_Code,Bank_Nm,Comment,地區,Bank_Type_Code,
165,彰化縣鹿港信用合作社,,台灣,3,
178,嘉義市第三信用合作社,,台灣,3,
188,台南市第三信用合作社,,台灣,3,
192,台南市第七信用合作社,,台灣,3,
204,高雄市第三信用合作社,,台灣,3,
216,花蓮第二信用合作社,,台灣,3,
104,台北市第五信用合作社,,台灣,3,
114,基隆市第一信用合作社,,台灣,3,
119,淡水第一信用合作社,,台灣,3,
124,宜蘭信用合作社,,台灣,3,
130,新竹第一信用合作社,,台灣,3,
139,苗栗縣竹南信用合作社,,台灣,3,
146,台中市第二信用合作社,,台灣,3,
161,彰化市第五信用合作社,,台灣,3,
163,彰化第十信用合作社,,台灣,3,
176,嘉義市第一信用合作社,,台灣,3,
179,嘉義市第四信用合作社,,台灣,3,
191,台南市第六信用合作社,,台灣,3,
203,高雄市第二信用合作社,,台灣,3,
215,花蓮第一信用合作社,,台灣,3,
222,澎湖縣第一信用合作社,,台灣,3,
603,基隆市農會,,基隆市,4,
623,台北市士林區農會,,臺北市,4,
623,台北市北投區農會,,臺北市,4,
623,台北市木柵區農會,,臺北市,4,
623,台北市南港區農會,,臺北市,4,
606,新北市坪林區農會,,新北市,4,
606,新北市三重區農會,,新北市,4,
606,新北市土城區農會,,新北市,4,
606,新北市五股區農會,,新北市,4,
606,新北市林口區農會,,新北市,4,
606,新北市泰山區農會,,新北市,4,
606,新北市新店地區農會,,新北市,4,
606,新北市樹林區農會,,新北市,4,
606,新北市鶯歌區農會,,新北市,4,
606,新北市石碇區農會,,新北市,4,
606,新北市三芝區農會,,新北市,4,
904,新北市新莊區農會,,新北市,4,
606,新北市八里區農會,,新北市,4,
606,新北市三峽區農會,,新北市,4,
606,新北市中和地區農會,,新北市,4,
606,新北市石門區農會,,新北市,4,
606,新北市金山地區農會,,新北市,4,
606,新北市淡水區農會,,新北市,4,
606,新北市瑞芳地區農會,,新北市,4,
606,新北市蘆洲區農會,,新北市,4,
606,新北市平溪區農會,,新北市,4,
606,新北市深坑區農會,,新北市,4,
903,新北市汐止區農會,,新北市,4,
928,新北市板橋區農會,,新北市,4,
608,桃園縣龜山鄉農會,,桃園縣,4,
608,桃園縣八德鄉農會,,桃園縣,4,
608,桃園縣大溪鎮農會,,桃園縣,4,
608,桃園縣桃園市農會,,桃園縣,4,
608,桃園縣楊梅鎮農會,,桃園縣,4,
608,桃園縣蘆竹鄉農會,,桃園縣,4,
608,桃園縣大園鄉農會,,桃園縣,4,
608,桃園縣平鎮市農會,,桃園縣,4,
608,桃園縣新屋鄉農會,,桃園縣,4,
608,桃園縣龍潭鄉農會,,桃園縣,4,
610,新竹市農會,,新竹市,4,
610,新竹縣竹東地區農會,,新竹市,4,
610,新竹縣新埔鎮農會,,新竹市,4,
610,新竹縣芎林鄉農會,,新竹市,4,
610,新竹縣寶山鄉農會,,新竹市,4,
610,新竹縣北埔鄉農會,,新竹市,4,
610,新竹縣竹北市農會,,新竹市,4,
610,新竹縣湖口鄉農會,,新竹市,4,
610,新竹縣關西鎮農會,,新竹市,4,
610,新竹縣橫山地區農會,,新竹市,4,
610,新竹縣峨眉鄉農會,,新竹市,4,
610,新竹縣新豐鄉農會,,新竹市,4,
611,苗栗縣後龍鎮農會,,苗栗縣,4,
954,苗栗縣三灣鄉農會,,苗栗縣,4,
954,苗栗縣公館鄉農會,,苗栗縣,4,
954,苗栗縣西湖鄉農會,,苗栗縣,4,
