年月,銀行,銀行類別,項目,數值,英文項目
10210,總計,本國銀行,戶數,8676261,CL_Cnt
10210,總計,本國銀行,餘額,6803503000000,CL_Bal
10210,臺灣銀行,本國銀行,戶數,4274847,CL_Cnt
10210,臺灣銀行,本國銀行,餘額,659916000000,CL_Bal
10210,臺灣土地銀行,本國銀行,戶數,384312,CL_Cnt
10210,臺灣土地銀行,本國銀行,餘額,677860000000,CL_Bal
10210,合作金庫商業銀行,本國銀行,戶數,261114,CL_Cnt
10210,合作金庫商業銀行,本國銀行,餘額,506386000000,CL_Bal
10210,第一商業銀行,本國銀行,戶數,125943,CL_Cnt
10210,第一商業銀行,本國銀行,餘額,337830000000,CL_Bal
10210,華南商業銀行,本國銀行,戶數,187678,CL_Cnt
10210,華南商業銀行,本國銀行,餘額,426801000000,CL_Bal
10210,彰化商業銀行,本國銀行,戶數,116536,CL_Cnt
10210,彰化商業銀行,本國銀行,餘額,291072000000,CL_Bal
10210,上海商業儲蓄銀行,本國銀行,戶數,34771,CL_Cnt
10210,上海商業儲蓄銀行,本國銀行,餘額,117854000000,CL_Bal
10210,台北富邦銀行,本國銀行,戶數,305910,CL_Cnt
10210,台北富邦銀行,本國銀行,餘額,329936000000,CL_Bal
10210,國泰世華商業銀行,本國銀行,戶數,132957,CL_Cnt
10210,國泰世華商業銀行,本國銀行,餘額,294991000000,CL_Bal
10210,中國輸出入銀行,本國銀行,戶數,0,CL_Cnt
10210,中國輸出入銀行,本國銀行,餘額,0,CL_Bal
10210,高雄銀行,本國銀行,戶數,73329,CL_Cnt
10210,高雄銀行,本國銀行,餘額,44379000000,CL_Bal
10210,兆豐國際商業銀行,本國銀行,戶數,62917,CL_Cnt
10210,兆豐國際商業銀行,本國銀行,餘額,203277000000,CL_Bal
10210,花旗,本國銀行,戶數,200883,CL_Cnt
10210,花旗,本國銀行,餘額,125491000000,CL_Bal
10210,澳盛,本國銀行,戶數,42067,CL_Cnt
10210,澳盛,本國銀行,餘額,41034000000,CL_Bal
10210,中華開發工業銀行,本國銀行,戶數,11,CL_Cnt
10210,中華開發工業銀行,本國銀行,餘額,4000000,CL_Bal
10210,臺灣工業銀行,本國銀行,戶數,1,CL_Cnt
10210,臺灣工業銀行,本國銀行,餘額,0,CL_Bal
10210,匯豐,本國銀行,戶數,53573,CL_Cnt
10210,匯豐,本國銀行,餘額,113580000000,CL_Bal
10210,瑞興商業銀行,本國銀行,戶數,2839,CL_Cnt
10210,瑞興商業銀行,本國銀行,餘額,10385000000,CL_Bal
10210,華泰商業銀行,本國銀行,戶數,6460,CL_Cnt
10210,華泰商業銀行,本國銀行,餘額,14687000000,CL_Bal
10210,臺灣新光商業銀行,本國銀行,戶數,102222,CL_Cnt
10210,臺灣新光商業銀行,本國銀行,餘額,138033000000,CL_Bal
10210,陽信商業銀行,本國銀行,戶數,27166,CL_Cnt
10210,陽信商業銀行,本國銀行,餘額,45064000000,CL_Bal
10210,板信商業銀行,本國銀行,戶數,18648,CL_Cnt
10210,板信商業銀行,本國銀行,餘額,26205000000,CL_Bal
10210,三信商業銀行,本國銀行,戶數,47722,CL_Cnt
10210,三信商業銀行,本國銀行,餘額,35632000000,CL_Bal
10210,聯邦商業銀行,本國銀行,戶數,76244,CL_Cnt
10210,聯邦商業銀行,本國銀行,餘額,86959000000,CL_Bal
10210,遠東國際商業銀行,本國銀行,戶數,257127,CL_Cnt
10210,遠東國際商業銀行,本國銀行,餘額,152347000000,CL_Bal
10210,元大商業銀行,本國銀行,戶數,74409,CL_Cnt
10210,元大商業銀行,本國銀行,餘額,114571000000,CL_Bal
10210,永豐商業銀行,本國銀行,戶數,99066,CL_Cnt
10210,永豐商業銀行,本國銀行,餘額,245331000000,CL_Bal
10210,玉山商業銀行,本國銀行,戶數,164401,CL_Cnt
10210,玉山商業銀行,本國銀行,餘額,240995000000,CL_Bal
10210,萬泰商業銀行,本國銀行,戶數,178881,CL_Cnt
10210,萬泰商業銀行,本國銀行,餘額,56828000000,CL_Bal
10210,星展,本國銀行,戶數,44766,CL_Cnt
10210,星展,本國銀行,餘額,54780000000,CL_Bal
10210,台新國際商業銀行,本國銀行,戶數,269219,CL_Cnt
10210,台新國際商業銀行,本國銀行,餘額,302395000000,CL_Bal
10210,大眾商業銀行,本國銀行,戶數,80617,CL_Cnt
10210,大眾商業銀行,本國銀行,餘額,99715000000,CL_Bal
10210,日盛國際商業銀行,本國銀行,戶數,39110,CL_Cnt
10210,日盛國際商業銀行,本國銀行,餘額,51305000000,CL_Bal
10210,安泰商業銀行,本國銀行,戶數,58522,CL_Cnt
10210,安泰商業銀行,本國銀行,餘額,61052000000,CL_Bal
10210,中國信託商業銀行,本國銀行,戶數,436687,CL_Cnt
10210,中國信託商業銀行,本國銀行,餘額,406691000000,CL_Bal
10210,臺灣中小企業銀行,本國銀行,戶數,130165,CL_Cnt
10210,臺灣中小企業銀行,本國銀行,餘額,196741000000,CL_Bal
10210,渣打國際商業銀行,本國銀行,戶數,262777,CL_Cnt
10210,渣打國際商業銀行,本國銀行,餘額,217106000000,CL_Bal
10210,台中商業銀行,本國銀行,戶數,28909,CL_Cnt
10210,台中商業銀行,本國銀行,餘額,55327000000,CL_Bal
10210,京城商業銀行,本國銀行,戶數,13455,CL_Cnt
10210,京城商業銀行,本國銀行,餘額,20942000000,CL_Bal
10210,總計,外國銀行在台分行,戶數,41,CL_Cnt
10210,總計,外國銀行在台分行,餘額,116000000,CL_Bal
10210,日商瑞穗銀行,外國銀行在台分行,戶數,0,CL_Cnt
10210,日商瑞穗銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,美商美國銀行,外國銀行在台分行,戶數,3,CL_Cnt
10210,美商美國銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,泰國盤谷銀行,外國銀行在台分行,戶數,0,CL_Cnt
10210,泰國盤谷銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,菲律賓首都銀行,外國銀行在台分行,戶數,13,CL_Cnt
10210,菲律賓首都銀行,外國銀行在台分行,餘額,2000000,CL_Bal
10210,美商美國紐約梅隆銀行,外國銀行在台分行,戶數,0,CL_Cnt
10210,美商美國紐約梅隆銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,新加坡大華銀行,外國銀行在台分行,戶數,0,CL_Cnt
10210,新加坡大華銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,美商道富銀行,外國銀行在台分行,戶數,0,CL_Cnt
10210,美商道富銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,法國興業銀行,外國銀行在台分行,戶數,0,CL_Cnt
10210,法國興業銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,澳商澳盛銀行,外國銀行在台分行,戶數,0,CL_Cnt
10210,澳商澳盛銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,德商德意志銀行,外國銀行在台分行,戶數,0,CL_Cnt
10210,德商德意志銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,香港東亞銀行,外國銀行在台分行,戶數,19,CL_Cnt
10210,香港東亞銀行,外國銀行在台分行,餘額,2000000,CL_Bal
10210,美商摩根大通銀行,外國銀行在台分行,戶數,0,CL_Cnt
10210,美商摩根大通銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,新加坡商星展銀行,外國銀行在台分行,戶數,0,CL_Cnt
10210,新加坡商星展銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,法商法國巴黎銀行,外國銀行在台分行,戶數,1,CL_Cnt
10210,法商法國巴黎銀行,外國銀行在台分行,餘額,6000000,CL_Bal
10210,英商渣打銀行,外國銀行在台分行,戶數,0,CL_Cnt
10210,英商渣打銀行,外國銀行在台分行,餘額,0,CL_Bal
10210,新加坡商新加坡華僑銀行,外國銀行在台分行,戶數,0,CL_Cnt
