年月,銀行,銀行類別,項目,數值
10005,總計,本國銀行,戶數,8977845
10005,總計,本國銀行,餘額,6619187000000
10005,臺灣銀行,本國銀行,戶數,4292923
10005,臺灣銀行,本國銀行,餘額,604013000000
10005,臺灣土地銀行,本國銀行,戶數,442938
10005,臺灣土地銀行,本國銀行,餘額,650439000000
10005,合作金庫商業銀行,本國銀行,戶數,303791
10005,合作金庫商業銀行,本國銀行,餘額,577171000000
10005,第一商業銀行,本國銀行,戶數,138839
10005,第一商業銀行,本國銀行,餘額,347797000000
10005,華南商業銀行,本國銀行,戶數,191397
10005,華南商業銀行,本國銀行,餘額,382434000000
10005,彰化商業銀行,本國銀行,戶數,127249
10005,彰化商業銀行,本國銀行,餘額,297105000000
10005,上海商業儲蓄銀行,本國銀行,戶數,38786
10005,上海商業儲蓄銀行,本國銀行,餘額,112878000000
10005,台北富邦銀行,本國銀行,戶數,322528
10005,台北富邦銀行,本國銀行,餘額,312115000000
10005,國泰世華商業銀行,本國銀行,戶數,101830
10005,國泰世華商業銀行,本國銀行,餘額,326479000000
10005,中國輸出入銀行,本國銀行,戶數,0
10005,中國輸出入銀行,本國銀行,餘額,0
10005,高雄銀行,本國銀行,戶數,83011
10005,高雄銀行,本國銀行,餘額,49236000000
10005,兆豐國際商業銀行,本國銀行,戶數,64359
10005,兆豐國際商業銀行,本國銀行,餘額,165622000000
10005,花旗,本國銀行,戶數,223389
10005,花旗,本國銀行,餘額,113206000000
10005,中華開發工業銀行,本國銀行,戶數,42
10005,中華開發工業銀行,本國銀行,餘額,19000000
10005,臺灣工業銀行,本國銀行,戶數,1
10005,臺灣工業銀行,本國銀行,餘額,1000000
10005,匯豐,本國銀行,戶數,65358
10005,匯豐,本國銀行,餘額,95710000000
10005,大台北商業銀行,本國銀行,戶數,3663
10005,大台北商業銀行,本國銀行,餘額,12877000000
10005,華泰商業銀行,本國銀行,戶數,7977
10005,華泰商業銀行,本國銀行,餘額,20460000000
10005,臺灣新光商業銀行,本國銀行,戶數,105794
10005,臺灣新光商業銀行,本國銀行,餘額,114381000000
10005,陽信商業銀行,本國銀行,戶數,38172
10005,陽信商業銀行,本國銀行,餘額,59684000000
10005,板信商業銀行,本國銀行,戶數,38437
10005,板信商業銀行,本國銀行,餘額,39203000000
10005,三信商業銀行,本國銀行,戶數,59505
10005,三信商業銀行,本國銀行,餘額,39131000000
10005,聯邦商業銀行,本國銀行,戶數,88222
10005,聯邦商業銀行,本國銀行,餘額,96763000000
10005,遠東國際商業銀行,本國銀行,戶數,218575
10005,遠東國際商業銀行,本國銀行,餘額,126241000000
10005,元大商業銀行,本國銀行,戶數,65004
10005,元大商業銀行,本國銀行,餘額,103873000000
10005,永豐商業銀行,本國銀行,戶數,139910
10005,永豐商業銀行,本國銀行,餘額,262825000000
10005,玉山商業銀行,本國銀行,戶數,162639
10005,玉山商業銀行,本國銀行,餘額,256823000000
10005,萬泰商業銀行,本國銀行,戶數,223268
10005,萬泰商業銀行,本國銀行,餘額,37288000000
10005,台新國際商業銀行,本國銀行,戶數,280909
10005,台新國際商業銀行,本國銀行,餘額,291724000000
10005,大眾商業銀行,本國銀行,戶數,109717
10005,大眾商業銀行,本國銀行,餘額,112583000000
10005,日盛國際商業銀行,本國銀行,戶數,51738
10005,日盛國際商業銀行,本國銀行,餘額,57408000000
10005,安泰商業銀行,本國銀行,戶數,60879
10005,安泰商業銀行,本國銀行,餘額,73764000000
10005,中國信託商業銀行,本國銀行,戶數,452564
10005,中國信託商業銀行,本國銀行,餘額,367396000000
10005,臺灣中小企業銀行,本國銀行,戶數,128339
10005,臺灣中小企業銀行,本國銀行,餘額,195986000000
10005,渣打國際商業銀行,本國銀行,戶數,295598
10005,渣打國際商業銀行,本國銀行,餘額,241925000000
10005,台中商業銀行,本國銀行,戶數,30559
10005,台中商業銀行,本國銀行,餘額,45015000000
10005,京城商業銀行,本國銀行,戶數,19935
10005,京城商業銀行,本國銀行,餘額,29615000000
10005,總計,外國銀行在台分行,戶數,87745
10005,總計,外國銀行在台分行,餘額,58920000000
10005,日商瑞穗實業銀行,外國銀行在台分行,戶數,0
10005,日商瑞穗實業銀行,外國銀行在台分行,餘額,0
10005,美商美國銀行,外國銀行在台分行,戶數,10
10005,美商美國銀行,外國銀行在台分行,餘額,2000000
10005,泰國盤谷銀行,外國銀行在台分行,戶數,0
10005,泰國盤谷銀行,外國銀行在台分行,餘額,0
10005,菲律賓首都銀行,外國銀行在台分行,戶數,23
10005,菲律賓首都銀行,外國銀行在台分行,餘額,4000000
10005,美商美國紐約梅隆銀行,外國銀行在台分行,戶數,0
10005,美商美國紐約梅隆銀行,外國銀行在台分行,餘額,0
