年月,銀行,銀行類別,項目,數值,英文項目
9808,總計,全體總和,公營企業,695736000000,LN_G
9808,總計,全體總和,民營企業,6826218000000,LN_P
9808,臺灣銀行,本國銀行,公營企業,210291000000,LN_G
9808,臺灣銀行,本國銀行,民營企業,585740000000,LN_P
9808,臺灣土地銀行,本國銀行,公營企業,53908000000,LN_G
9808,臺灣土地銀行,本國銀行,民營企業,402535000000,LN_P
9808,合作金庫商業銀行,本國銀行,公營企業,91900000000,LN_G
9808,合作金庫商業銀行,本國銀行,民營企業,644997000000,LN_P
9808,第一商業銀行,本國銀行,公營企業,56051000000,LN_G
9808,第一商業銀行,本國銀行,民營企業,449077000000,LN_P
9808,華南商業銀行,本國銀行,公營企業,35599000000,LN_G
9808,華南商業銀行,本國銀行,民營企業,523645000000,LN_P
9808,彰化商業銀行,本國銀行,公營企業,15727000000,LN_G
9808,彰化商業銀行,本國銀行,民營企業,437483000000,LN_P
9808,上海商業儲蓄銀行,本國銀行,公營企業,29000000,LN_G
9808,上海商業儲蓄銀行,本國銀行,民營企業,132270000000,LN_P
9808,台北富邦銀行,本國銀行,公營企業,20071000000,LN_G
9808,台北富邦銀行,本國銀行,民營企業,266771000000,LN_P
9808,國泰世華商業銀行,本國銀行,公營企業,20946000000,LN_G
9808,國泰世華商業銀行,本國銀行,民營企業,225446000000,LN_P
9808,中國輸出入銀行,本國銀行,公營企業,20098000000,LN_G
9808,中國輸出入銀行,本國銀行,民營企業,18008000000,LN_P
9808,高雄銀行,本國銀行,公營企業,3198000000,LN_G
9808,高雄銀行,本國銀行,民營企業,46042000000,LN_P
9808,兆豐國際商業銀行,本國銀行,公營企業,7366000000,LN_G
9808,兆豐國際商業銀行,本國銀行,民營企業,610591000000,LN_P
9808,花旗,本國銀行,公營企業,279000000,LN_G
9808,花旗,本國銀行,民營企業,22834000000,LN_P
9808,中華開發工業銀行,本國銀行,公營企業,612000000,LN_G
9808,中華開發工業銀行,本國銀行,民營企業,60825000000,LN_P
9808,臺灣工業銀行,本國銀行,公營企業,640000000,LN_G
9808,臺灣工業銀行,本國銀行,民營企業,50221000000,LN_P
9808,大台北商業銀行,本國銀行,公營企業,1000000000,LN_G
9808,大台北商業銀行,本國銀行,民營企業,2228000000,LN_P
9808,華泰商業銀行,本國銀行,公營企業,2075000000,LN_G
9808,華泰商業銀行,本國銀行,民營企業,30199000000,LN_P
9808,臺灣新光商業銀行,本國銀行,公營企業,6546000000,LN_G
9808,臺灣新光商業銀行,本國銀行,民營企業,108371000000,LN_P
9808,陽信商業銀行,本國銀行,公營企業,250000000,LN_G
9808,陽信商業銀行,本國銀行,民營企業,36330000000,LN_P
9808,板信商業銀行,本國銀行,公營企業,200000000,LN_G
9808,板信商業銀行,本國銀行,民營企業,38943000000,LN_P
9808,三信商業銀行,本國銀行,公營企業,4989000000,LN_G
9808,三信商業銀行,本國銀行,民營企業,13021000000,LN_P
9808,聯邦商業銀行,本國銀行,公營企業,1148000000,LN_G
9808,聯邦商業銀行,本國銀行,民營企業,29704000000,LN_P
9808,遠東國際商業銀行,本國銀行,公營企業,5690000000,LN_G
9808,遠東國際商業銀行,本國銀行,民營企業,61076000000,LN_P
9808,元大商業銀行,本國銀行,公營企業,8145000000,LN_G
9808,元大商業銀行,本國銀行,民營企業,108103000000,LN_P
9808,永豐商業銀行,本國銀行,公營企業,9520000000,LN_G
9808,永豐商業銀行,本國銀行,民營企業,149149000000,LN_P
9808,玉山商業銀行,本國銀行,公營企業,3000000000,LN_G
9808,玉山商業銀行,本國銀行,民營企業,190850000000,LN_P
9808,萬泰商業銀行,本國銀行,公營企業,0,LN_G
9808,萬泰商業銀行,本國銀行,民營企業,34091000000,LN_P
9808,台新國際商業銀行,本國銀行,公營企業,5960000000,LN_G
9808,台新國際商業銀行,本國銀行,民營企業,154526000000,LN_P
9808,大眾商業銀行,本國銀行,公營企業,587000000,LN_G
9808,大眾商業銀行,本國銀行,民營企業,88317000000,LN_P
9808,日盛國際商業銀行,本國銀行,公營企業,3900000000,LN_G
9808,日盛國際商業銀行,本國銀行,民營企業,35888000000,LN_P
9808,安泰商業銀行,本國銀行,公營企業,0,LN_G
9808,安泰商業銀行,本國銀行,民營企業,86386000000,LN_P
9808,中國信託商業銀行,本國銀行,公營企業,47045000000,LN_G
9808,中國信託商業銀行,本國銀行,民營企業,227769000000,LN_P
9808,慶豐商業銀行,本國銀行,公營企業,700000000,LN_G
9808,慶豐商業銀行,本國銀行,民營企業,8767000000,LN_P
9808,臺灣中小企業銀行,本國銀行,公營企業,55265000000,LN_G
9808,臺灣中小企業銀行,本國銀行,民營企業,392422000000,LN_P
9808,渣打國際商業銀行,本國銀行,公營企業,0,LN_G
9808,渣打國際商業銀行,本國銀行,民營企業,66957000000,LN_P
9808,台中商業銀行,本國銀行,公營企業,3000000000,LN_G
9808,台中商業銀行,本國銀行,民營企業,99049000000,LN_P
9808,京城商業銀行,本國銀行,公營企業,0,LN_G
9808,京城商業銀行,本國銀行,民營企業,41311000000,LN_P
9808,外國銀行在台分行,本國銀行,公營企業,4000000,LN_G
9808,外國銀行在台分行,本國銀行,民營企業,346274000000,LN_P
