年月,銀行,銀行類別,項目,數值,英文欄位
9904,總計,本國銀行,公司支存戶數,1064900,C_Cd_Cnt
9904,總計,本國銀行,公司支存餘額,200497000000,C_Cd_Bal
9904,總計,本國銀行,個人支存戶數,2539248,P_Cd_Cnt
9904,總計,本國銀行,個人支存餘額,58175000000,P_Cd_Bal
9904,總計,本國銀行,其他支存戶數,46215,O_Cd_Cnt
9904,總計,本國銀行,其他支存餘額,37069000000,O_Cd_Bal
9904,臺灣銀行,本國銀行,公司支存戶數,32171,C_Cd_Cnt
9904,臺灣銀行,本國銀行,公司支存餘額,15049000000,C_Cd_Bal
9904,臺灣銀行,本國銀行,個人支存戶數,39484,P_Cd_Cnt
9904,臺灣銀行,本國銀行,個人支存餘額,2029000000,P_Cd_Bal
9904,臺灣銀行,本國銀行,其他支存戶數,1193,O_Cd_Cnt
9904,臺灣銀行,本國銀行,其他支存餘額,7253000000,O_Cd_Bal
9904,臺灣土地銀行,本國銀行,公司支存戶數,33070,C_Cd_Cnt
9904,臺灣土地銀行,本國銀行,公司支存餘額,8087000000,C_Cd_Bal
9904,臺灣土地銀行,本國銀行,個人支存戶數,90559,P_Cd_Cnt
9904,臺灣土地銀行,本國銀行,個人支存餘額,2797000000,P_Cd_Bal
9904,臺灣土地銀行,本國銀行,其他支存戶數,2810,O_Cd_Cnt
9904,臺灣土地銀行,本國銀行,其他支存餘額,6971000000,O_Cd_Bal
9904,合作金庫商業銀行,本國銀行,公司支存戶數,93152,C_Cd_Cnt
9904,合作金庫商業銀行,本國銀行,公司支存餘額,18922000000,C_Cd_Bal
9904,合作金庫商業銀行,本國銀行,個人支存戶數,257259,P_Cd_Cnt
9904,合作金庫商業銀行,本國銀行,個人支存餘額,6670000000,P_Cd_Bal
9904,合作金庫商業銀行,本國銀行,其他支存戶數,10902,O_Cd_Cnt
9904,合作金庫商業銀行,本國銀行,其他支存餘額,5194000000,O_Cd_Bal
9904,第一商業銀行,本國銀行,公司支存戶數,113415,C_Cd_Cnt
9904,第一商業銀行,本國銀行,公司支存餘額,23418000000,C_Cd_Bal
9904,第一商業銀行,本國銀行,個人支存戶數,191964,P_Cd_Cnt
9904,第一商業銀行,本國銀行,個人支存餘額,6756000000,P_Cd_Bal
9904,第一商業銀行,本國銀行,其他支存戶數,4095,O_Cd_Cnt
9904,第一商業銀行,本國銀行,其他支存餘額,1848000000,O_Cd_Bal
9904,華南商業銀行,本國銀行,公司支存戶數,101082,C_Cd_Cnt
9904,華南商業銀行,本國銀行,公司支存餘額,30728000000,C_Cd_Bal
9904,華南商業銀行,本國銀行,個人支存戶數,177686,P_Cd_Cnt
9904,華南商業銀行,本國銀行,個人支存餘額,5847000000,P_Cd_Bal
9904,華南商業銀行,本國銀行,其他支存戶數,1318,O_Cd_Cnt
9904,華南商業銀行,本國銀行,其他支存餘額,1307000000,O_Cd_Bal
9904,彰化商業銀行,本國銀行,公司支存戶數,77082,C_Cd_Cnt
9904,彰化商業銀行,本國銀行,公司支存餘額,19241000000,C_Cd_Bal
9904,彰化商業銀行,本國銀行,個人支存戶數,179062,P_Cd_Cnt
9904,彰化商業銀行,本國銀行,個人支存餘額,5606000000,P_Cd_Bal
9904,彰化商業銀行,本國銀行,其他支存戶數,9978,O_Cd_Cnt
9904,彰化商業銀行,本國銀行,其他支存餘額,1610000000,O_Cd_Bal
9904,上海商業儲蓄銀行,本國銀行,公司支存戶數,25911,C_Cd_Cnt
9904,上海商業儲蓄銀行,本國銀行,公司支存餘額,4778000000,C_Cd_Bal
9904,上海商業儲蓄銀行,本國銀行,個人支存戶數,43445,P_Cd_Cnt
9904,上海商業儲蓄銀行,本國銀行,個人支存餘額,1328000000,P_Cd_Bal
9904,上海商業儲蓄銀行,本國銀行,其他支存戶數,1880,O_Cd_Cnt
9904,上海商業儲蓄銀行,本國銀行,其他支存餘額,291000000,O_Cd_Bal
9904,台北富邦銀行,本國銀行,公司支存戶數,46101,C_Cd_Cnt
9904,台北富邦銀行,本國銀行,公司支存餘額,6413000000,C_Cd_Bal
9904,台北富邦銀行,本國銀行,個人支存戶數,103412,P_Cd_Cnt
9904,台北富邦銀行,本國銀行,個人支存餘額,1883000000,P_Cd_Bal
9904,台北富邦銀行,本國銀行,其他支存戶數,1500,O_Cd_Cnt
9904,台北富邦銀行,本國銀行,其他支存餘額,979000000,O_Cd_Bal
9904,國泰世華商業銀行,本國銀行,公司支存戶數,53463,C_Cd_Cnt
9904,國泰世華商業銀行,本國銀行,公司支存餘額,6156000000,C_Cd_Bal
9904,國泰世華商業銀行,本國銀行,個人支存戶數,151463,P_Cd_Cnt
9904,國泰世華商業銀行,本國銀行,個人支存餘額,2687000000,P_Cd_Bal
9904,國泰世華商業銀行,本國銀行,其他支存戶數,1450,O_Cd_Cnt
9904,國泰世華商業銀行,本國銀行,其他支存餘額,3808000000,O_Cd_Bal
9904,中國輸出入銀行,本國銀行,公司支存戶數,0,C_Cd_Cnt
9904,中國輸出入銀行,本國銀行,公司支存餘額,0,C_Cd_Bal
9904,中國輸出入銀行,本國銀行,個人支存戶數,0,P_Cd_Cnt
9904,中國輸出入銀行,本國銀行,個人支存餘額,0,P_Cd_Bal
9904,中國輸出入銀行,本國銀行,其他支存戶數,0,O_Cd_Cnt
9904,中國輸出入銀行,本國銀行,其他支存餘額,0,O_Cd_Bal
9904,高雄銀行,本國銀行,公司支存戶數,10918,C_Cd_Cnt
9904,高雄銀行,本國銀行,公司支存餘額,600000000,C_Cd_Bal
9904,高雄銀行,本國銀行,個人支存戶數,20551,P_Cd_Cnt
9904,高雄銀行,本國銀行,個人支存餘額,388000000,P_Cd_Bal
9904,高雄銀行,本國銀行,其他支存戶數,212,O_Cd_Cnt
9904,高雄銀行,本國銀行,其他支存餘額,123000000,O_Cd_Bal
9904,兆豐國際商業銀行,本國銀行,公司支存戶數,42455,C_Cd_Cnt
9904,兆豐國際商業銀行,本國銀行,公司支存餘額,13280000000,C_Cd_Bal
9904,兆豐國際商業銀行,本國銀行,個人支存戶數,49400,P_Cd_Cnt
9904,兆豐國際商業銀行,本國銀行,個人支存餘額,1444000000,P_Cd_Bal
9904,兆豐國際商業銀行,本國銀行,其他支存戶數,1608,O_Cd_Cnt
9904,兆豐國際商業銀行,本國銀行,其他支存餘額,1411000000,O_Cd_Bal
9904,花旗,本國銀行,公司支存戶數,21189,C_Cd_Cnt
9904,花旗,本國銀行,公司支存餘額,7212000000,C_Cd_Bal
9904,花旗,本國銀行,個人支存戶數,74160,P_Cd_Cnt
9904,花旗,本國銀行,個人支存餘額,1054000000,P_Cd_Bal
9904,花旗,本國銀行,其他支存戶數,574,O_Cd_Cnt
9904,花旗,本國銀行,其他支存餘額,104000000,O_Cd_Bal
9904,中華開發工業銀行,本國銀行,公司支存戶數,223,C_Cd_Cnt
9904,中華開發工業銀行,本國銀行,公司支存餘額,201000000,C_Cd_Bal
9904,中華開發工業銀行,本國銀行,個人支存戶數,0,P_Cd_Cnt
9904,中華開發工業銀行,本國銀行,個人支存餘額,0,P_Cd_Bal
9904,中華開發工業銀行,本國銀行,其他支存戶數,0,O_Cd_Cnt
9904,中華開發工業銀行,本國銀行,其他支存餘額,0,O_Cd_Bal
9904,臺灣工業銀行,本國銀行,公司支存戶數,194,C_Cd_Cnt
9904,臺灣工業銀行,本國銀行,公司支存餘額,64000000,C_Cd_Bal
9904,臺灣工業銀行,本國銀行,個人支存戶數,0,P_Cd_Cnt
9904,臺灣工業銀行,本國銀行,個人支存餘額,0,P_Cd_Bal
9904,臺灣工業銀行,本國銀行,其他支存戶數,0,O_Cd_Cnt
9904,臺灣工業銀行,本國銀行,其他支存餘額,0,O_Cd_Bal
9904,大台北商業銀行,本國銀行,公司支存戶數,1571,C_Cd_Cnt
9904,大台北商業銀行,本國銀行,公司支存餘額,199000000,C_Cd_Bal
9904,大台北商業銀行,本國銀行,個人支存戶數,8949,P_Cd_Cnt
9904,大台北商業銀行,本國銀行,個人支存餘額,315000000,P_Cd_Bal
9904,大台北商業銀行,本國銀行,其他支存戶數,289,O_Cd_Cnt
9904,大台北商業銀行,本國銀行,其他支存餘額,26000000,O_Cd_Bal
9904,華泰商業銀行,本國銀行,公司支存戶數,6611,C_Cd_Cnt
9904,華泰商業銀行,本國銀行,公司支存餘額,430000000,C_Cd_Bal
9904,華泰商業銀行,本國銀行,個人支存戶數,25051,P_Cd_Cnt
9904,華泰商業銀行,本國銀行,個人支存餘額,624000000,P_Cd_Bal
9904,華泰商業銀行,本國銀行,其他支存戶數,44,O_Cd_Cnt
9904,華泰商業銀行,本國銀行,其他支存餘額,8000000,O_Cd_Bal
9904,臺灣新光商業銀行,本國銀行,公司支存戶數,17726,C_Cd_Cnt
9904,臺灣新光商業銀行,本國銀行,公司支存餘額,2155000000,C_Cd_Bal
9904,臺灣新光商業銀行,本國銀行,個人支存戶數,73413,P_Cd_Cnt
9904,臺灣新光商業銀行,本國銀行,個人支存餘額,1065000000,P_Cd_Bal
9904,臺灣新光商業銀行,本國銀行,其他支存戶數,1420,O_Cd_Cnt
9904,臺灣新光商業銀行,本國銀行,其他支存餘額,1220000000,O_Cd_Bal
9904,陽信商業銀行,本國銀行,公司支存戶數,14053,C_Cd_Cnt
9904,陽信商業銀行,本國銀行,公司支存餘額,805000000,C_Cd_Bal
9904,陽信商業銀行,本國銀行,個人支存戶數,60395,P_Cd_Cnt
9904,陽信商業銀行,本國銀行,個人支存餘額,1083000000,P_Cd_Bal
9904,陽信商業銀行,本國銀行,其他支存戶數,258,O_Cd_Cnt
9904,陽信商業銀行,本國銀行,其他支存餘額,514000000,O_Cd_Bal
9904,板信商業銀行,本國銀行,公司支存戶數,7415,C_Cd_Cnt
9904,板信商業銀行,本國銀行,公司支存餘額,476000000,C_Cd_Bal
9904,板信商業銀行,本國銀行,個人支存戶數,28857,P_Cd_Cnt
9904,板信商業銀行,本國銀行,個人支存餘額,585000000,P_Cd_Bal
9904,板信商業銀行,本國銀行,其他支存戶數,193,O_Cd_Cnt
9904,板信商業銀行,本國銀行,其他支存餘額,55000000,O_Cd_Bal
9904,三信商業銀行,本國銀行,公司支存戶數,5269,C_Cd_Cnt
9904,三信商業銀行,本國銀行,公司支存餘額,535000000,C_Cd_Bal
9904,三信商業銀行,本國銀行,個人支存戶數,21677,P_Cd_Cnt
9904,三信商業銀行,本國銀行,個人支存餘額,914000000,P_Cd_Bal
9904,三信商業銀行,本國銀行,其他支存戶數,72,O_Cd_Cnt
9904,三信商業銀行,本國銀行,其他支存餘額,14000000,O_Cd_Bal
9904,聯邦商業銀行,本國銀行,公司支存戶數,20632,C_Cd_Cnt
9904,聯邦商業銀行,本國銀行,公司支存餘額,1543000000,C_Cd_Bal
9904,聯邦商業銀行,本國銀行,個人支存戶數,66086,P_Cd_Cnt
9904,聯邦商業銀行,本國銀行,個人支存餘額,843000000,P_Cd_Bal
9904,聯邦商業銀行,本國銀行,其他支存戶數,301,O_Cd_Cnt
9904,聯邦商業銀行,本國銀行,其他支存餘額,38000000,O_Cd_Bal
9904,遠東國際商業銀行,本國銀行,公司支存戶數,7171,C_Cd_Cnt
