年月,銀行,銀行類別,項目,數值
10010,總計,本國銀行,公司支存戶數,1101890
10010,總計,本國銀行,公司支存餘額,222951000000
10010,總計,本國銀行,個人支存戶數,2545403
10010,總計,本國銀行,個人支存餘額,62673000000
10010,總計,本國銀行,其他支存戶數,41871
10010,總計,本國銀行,其他支存餘額,35480000000
10010,臺灣銀行,本國銀行,公司支存戶數,33499
10010,臺灣銀行,本國銀行,公司支存餘額,17975000000
10010,臺灣銀行,本國銀行,個人支存戶數,38943
10010,臺灣銀行,本國銀行,個人支存餘額,2258000000
10010,臺灣銀行,本國銀行,其他支存戶數,1099
10010,臺灣銀行,本國銀行,其他支存餘額,6342000000
10010,臺灣土地銀行,本國銀行,公司支存戶數,33351
10010,臺灣土地銀行,本國銀行,公司支存餘額,8918000000
10010,臺灣土地銀行,本國銀行,個人支存戶數,88044
10010,臺灣土地銀行,本國銀行,個人支存餘額,3380000000
10010,臺灣土地銀行,本國銀行,其他支存戶數,2768
10010,臺灣土地銀行,本國銀行,其他支存餘額,7567000000
10010,合作金庫商業銀行,本國銀行,公司支存戶數,100023
10010,合作金庫商業銀行,本國銀行,公司支存餘額,20973000000
10010,合作金庫商業銀行,本國銀行,個人支存戶數,258973
10010,合作金庫商業銀行,本國銀行,個人支存餘額,6746000000
10010,合作金庫商業銀行,本國銀行,其他支存戶數,8740
10010,合作金庫商業銀行,本國銀行,其他支存餘額,3871000000
10010,第一商業銀行,本國銀行,公司支存戶數,116941
10010,第一商業銀行,本國銀行,公司支存餘額,23469000000
10010,第一商業銀行,本國銀行,個人支存戶數,191789
10010,第一商業銀行,本國銀行,個人支存餘額,7344000000
10010,第一商業銀行,本國銀行,其他支存戶數,4035
10010,第一商業銀行,本國銀行,其他支存餘額,1886000000
10010,華南商業銀行,本國銀行,公司支存戶數,103263
10010,華南商業銀行,本國銀行,公司支存餘額,33517000000
10010,華南商業銀行,本國銀行,個人支存戶數,178320
10010,華南商業銀行,本國銀行,個人支存餘額,6637000000
10010,華南商業銀行,本國銀行,其他支存戶數,1284
10010,華南商業銀行,本國銀行,其他支存餘額,1124000000
10010,彰化商業銀行,本國銀行,公司支存戶數,78777
10010,彰化商業銀行,本國銀行,公司支存餘額,20967000000
10010,彰化商業銀行,本國銀行,個人支存戶數,178824
10010,彰化商業銀行,本國銀行,個人支存餘額,5643000000
10010,彰化商業銀行,本國銀行,其他支存戶數,10379
10010,彰化商業銀行,本國銀行,其他支存餘額,1663000000
10010,上海商業儲蓄銀行,本國銀行,公司支存戶數,26637
10010,上海商業儲蓄銀行,本國銀行,公司支存餘額,4792000000
10010,上海商業儲蓄銀行,本國銀行,個人支存戶數,42836
10010,上海商業儲蓄銀行,本國銀行,個人支存餘額,1337000000
10010,上海商業儲蓄銀行,本國銀行,其他支存戶數,262
10010,上海商業儲蓄銀行,本國銀行,其他支存餘額,106000000
10010,台北富邦銀行,本國銀行,公司支存戶數,45956
10010,台北富邦銀行,本國銀行,公司支存餘額,6239000000
10010,台北富邦銀行,本國銀行,個人支存戶數,103172
10010,台北富邦銀行,本國銀行,個人支存餘額,1857000000
10010,台北富邦銀行,本國銀行,其他支存戶數,1433
10010,台北富邦銀行,本國銀行,其他支存餘額,1101000000
10010,國泰世華商業銀行,本國銀行,公司支存戶數,56514
10010,國泰世華商業銀行,本國銀行,公司支存餘額,6572000000
10010,國泰世華商業銀行,本國銀行,個人支存戶數,153586
10010,國泰世華商業銀行,本國銀行,個人支存餘額,2679000000
10010,國泰世華商業銀行,本國銀行,其他支存戶數,1477
10010,國泰世華商業銀行,本國銀行,其他支存餘額,2131000000
10010,中國輸出入銀行,本國銀行,公司支存戶數,0
10010,中國輸出入銀行,本國銀行,公司支存餘額,0
10010,中國輸出入銀行,本國銀行,個人支存戶數,0
10010,中國輸出入銀行,本國銀行,個人支存餘額,0
10010,中國輸出入銀行,本國銀行,其他支存戶數,0
10010,中國輸出入銀行,本國銀行,其他支存餘額,0
10010,高雄銀行,本國銀行,公司支存戶數,11244
10010,高雄銀行,本國銀行,公司支存餘額,737000000
10010,高雄銀行,本國銀行,個人支存戶數,20655
10010,高雄銀行,本國銀行,個人支存餘額,446000000
10010,高雄銀行,本國銀行,其他支存戶數,197
10010,高雄銀行,本國銀行,其他支存餘額,122000000
10010,兆豐國際商業銀行,本國銀行,公司支存戶數,43786
10010,兆豐國際商業銀行,本國銀行,公司支存餘額,13941000000
10010,兆豐國際商業銀行,本國銀行,個人支存戶數,50047
10010,兆豐國際商業銀行,本國銀行,個人支存餘額,1692000000
10010,兆豐國際商業銀行,本國銀行,其他支存戶數,1153
10010,兆豐國際商業銀行,本國銀行,其他支存餘額,1448000000
10010,花旗,本國銀行,公司支存戶數,19938
10010,花旗,本國銀行,公司支存餘額,7416000000
10010,花旗,本國銀行,個人支存戶數,72547
10010,花旗,本國銀行,個人支存餘額,1060000000
10010,花旗,本國銀行,其他支存戶數,173
10010,花旗,本國銀行,其他支存餘額,1808000000
10010,中華開發工業銀行,本國銀行,公司支存戶數,212
10010,中華開發工業銀行,本國銀行,公司支存餘額,81000000
10010,中華開發工業銀行,本國銀行,個人支存戶數,0
10010,中華開發工業銀行,本國銀行,個人支存餘額,0
10010,中華開發工業銀行,本國銀行,其他支存戶數,0
10010,中華開發工業銀行,本國銀行,其他支存餘額,0
10010,臺灣工業銀行,本國銀行,公司支存戶數,190
10010,臺灣工業銀行,本國銀行,公司支存餘額,56000000
10010,臺灣工業銀行,本國銀行,個人支存戶數,0
10010,臺灣工業銀行,本國銀行,個人支存餘額,0
10010,臺灣工業銀行,本國銀行,其他支存戶數,0
10010,臺灣工業銀行,本國銀行,其他支存餘額,0
10010,匯豐,本國銀行,公司支存戶數,7131
10010,匯豐,本國銀行,公司支存餘額,3891000000
10010,匯豐,本國銀行,個人支存戶數,7226
10010,匯豐,本國銀行,個人支存餘額,175000000
10010,匯豐,本國銀行,其他支存戶數,29
