年月,銀行,銀行類別,項目,數值,英文欄位
9907,總計,本國銀行,公司支存戶數,1078060,C_Cd_Cnt
9907,總計,本國銀行,公司支存餘額,247400000000,C_Cd_Bal
9907,總計,本國銀行,個人支存戶數,2562264,P_Cd_Cnt
9907,總計,本國銀行,個人支存餘額,67461000000,P_Cd_Bal
9907,總計,本國銀行,其他支存戶數,46054,O_Cd_Cnt
9907,總計,本國銀行,其他支存餘額,38470000000,O_Cd_Bal
9907,臺灣銀行,本國銀行,公司支存戶數,32651,C_Cd_Cnt
9907,臺灣銀行,本國銀行,公司支存餘額,19343000000,C_Cd_Bal
9907,臺灣銀行,本國銀行,個人支存戶數,39990,P_Cd_Cnt
9907,臺灣銀行,本國銀行,個人支存餘額,2288000000,P_Cd_Bal
9907,臺灣銀行,本國銀行,其他支存戶數,1194,O_Cd_Cnt
9907,臺灣銀行,本國銀行,其他支存餘額,8051000000,O_Cd_Bal
9907,臺灣土地銀行,本國銀行,公司支存戶數,32692,C_Cd_Cnt
9907,臺灣土地銀行,本國銀行,公司支存餘額,9598000000,C_Cd_Bal
9907,臺灣土地銀行,本國銀行,個人支存戶數,88742,P_Cd_Cnt
9907,臺灣土地銀行,本國銀行,個人支存餘額,3462000000,P_Cd_Bal
9907,臺灣土地銀行,本國銀行,其他支存戶數,2757,O_Cd_Cnt
9907,臺灣土地銀行,本國銀行,其他支存餘額,7474000000,O_Cd_Bal
9907,合作金庫商業銀行,本國銀行,公司支存戶數,94067,C_Cd_Cnt
9907,合作金庫商業銀行,本國銀行,公司支存餘額,23322000000,C_Cd_Bal
9907,合作金庫商業銀行,本國銀行,個人支存戶數,257585,P_Cd_Cnt
9907,合作金庫商業銀行,本國銀行,個人支存餘額,7192000000,P_Cd_Bal
9907,合作金庫商業銀行,本國銀行,其他支存戶數,10857,O_Cd_Cnt
9907,合作金庫商業銀行,本國銀行,其他支存餘額,7121000000,O_Cd_Bal
9907,第一商業銀行,本國銀行,公司支存戶數,114090,C_Cd_Cnt
9907,第一商業銀行,本國銀行,公司支存餘額,27454000000,C_Cd_Bal
9907,第一商業銀行,本國銀行,個人支存戶數,192063,P_Cd_Cnt
9907,第一商業銀行,本國銀行,個人支存餘額,7544000000,P_Cd_Bal
9907,第一商業銀行,本國銀行,其他支存戶數,4088,O_Cd_Cnt
9907,第一商業銀行,本國銀行,其他支存餘額,1853000000,O_Cd_Bal
9907,華南商業銀行,本國銀行,公司支存戶數,101542,C_Cd_Cnt
9907,華南商業銀行,本國銀行,公司支存餘額,36993000000,C_Cd_Bal
9907,華南商業銀行,本國銀行,個人支存戶數,177814,P_Cd_Cnt
9907,華南商業銀行,本國銀行,個人支存餘額,6641000000,P_Cd_Bal
