年月,銀行,項目,數值
10111,總計,國內銀行,活期存款,10222095000000
10111,總計,國內銀行,定期存款,12748286000000
10111,總計,國內銀行,外匯存款,4619364000000
10111,總計,國內銀行,公股存款與其他,572217000000
10111,臺灣銀行,國內銀行,活期存款,872186000000
10111,臺灣銀行,國內銀行,定期存款,1833800000000
10111,臺灣銀行,國內銀行,外匯總存款,354603000000
10111,臺灣銀行,國內銀行,公股存款與其他,223673000000
10111,臺灣土地銀行,國內銀行,活期存款,515787000000
10111,臺灣土地銀行,國內銀行,定期存款,1155436000000
10111,臺灣土地銀行,國內銀行,外匯總存款,90633000000
10111,臺灣土地銀行,國內銀行,公股存款與其他,166961000000
10111,合作金庫商業銀行,國內銀行,活期存款,892287000000
10111,合作金庫商業銀行,國內銀行,定期存款,1112919000000
10111,合作金庫商業銀行,國內銀行,外匯總存款,191600000000
10111,合作金庫商業銀行,國內銀行,公股存款與其他,67872000000
10111,第一商業銀行,國內銀行,活期存款,771114000000
10111,第一商業銀行,國內銀行,定期存款,495017000000
10111,第一商業銀行,國內銀行,外匯總存款,319132000000
10111,第一商業銀行,國內銀行,公股存款與其他,12255000000
10111,華南商業銀行,國內銀行,活期存款,816332000000
10111,華南商業銀行,國內銀行,定期存款,522998000000
10111,華南商業銀行,國內銀行,外匯總存款,274408000000
10111,華南商業銀行,國內銀行,公股存款與其他,6205000000
10111,彰化商業銀行,國內銀行,活期存款,611822000000
10111,彰化商業銀行,國內銀行,定期存款,507439000000
10111,彰化商業銀行,國內銀行,外匯總存款,188414000000
10111,彰化商業銀行,國內銀行,公股存款與其他,2625000000
10111,上海商業儲蓄銀行,國內銀行,活期存款,163661000000
10111,上海商業儲蓄銀行,國內銀行,定期存款,300670000000
10111,上海商業儲蓄銀行,國內銀行,外匯總存款,192443000000
10111,上海商業儲蓄銀行,國內銀行,公股存款與其他,0
10111,台北富邦銀行,國內銀行,活期存款,472451000000
10111,台北富邦銀行,國內銀行,定期存款,547318000000
10111,台北富邦銀行,國內銀行,外匯總存款,207777000000
10111,台北富邦銀行,國內銀行,公股存款與其他,23560000000
10111,國泰世華商業銀行,國內銀行,活期存款,725426000000
10111,國泰世華商業銀行,國內銀行,定期存款,567231000000
10111,國泰世華商業銀行,國內銀行,外匯總存款,206930000000
10111,國泰世華商業銀行,國內銀行,公股存款與其他,0
10111,中國輸出入銀行,國內銀行,活期存款,0
10111,中國輸出入銀行,國內銀行,定期存款,0
10111,中國輸出入銀行,國內銀行,外匯總存款,0
10111,中國輸出入銀行,國內銀行,公股存款與其他,0
10111,高雄銀行,國內銀行,活期存款,59943000000
10111,高雄銀行,國內銀行,定期存款,106207000000
10111,高雄銀行,國內銀行,外匯總存款,8588000000
10111,高雄銀行,國內銀行,公股存款與其他,12217000000
10111,兆豐國際商業銀行,國內銀行,活期存款,482053000000
10111,兆豐國際商業銀行,國內銀行,定期存款,512793000000
10111,兆豐國際商業銀行,國內銀行,外匯總存款,635915000000
10111,兆豐國際商業銀行,國內銀行,公股存款與其他,9602000000
10111,花旗,國內銀行,活期存款,150594000000
10111,花旗,國內銀行,定期存款,79656000000
10111,花旗,國內銀行,外匯總存款,310334000000
10111,花旗,國內銀行,公股存款與其他,0
10111,中華開發工業銀行,國內銀行,活期存款,6641000000
10111,中華開發工業銀行,國內銀行,定期存款,53968000000
10111,中華開發工業銀行,國內銀行,外匯總存款,37799000000
10111,中華開發工業銀行,國內銀行,公股存款與其他,0
10111,臺灣工業銀行,國內銀行,活期存款,3518000000
10111,臺灣工業銀行,國內銀行,定期存款,70151000000
10111,臺灣工業銀行,國內銀行,外匯總存款,20336000000
10111,臺灣工業銀行,國內銀行,公股存款與其他,0
10111,匯豐,國內銀行,活期存款,139083000000
10111,匯豐,國內銀行,定期存款,100581000000
10111,匯豐,國內銀行,外匯總存款,115203000000
10111,匯豐,國內銀行,公股存款與其他,0
10111,大台北商業銀行,國內銀行,活期存款,15843000000
10111,大台北商業銀行,國內銀行,定期存款,29199000000
10111,大台北商業銀行,國內銀行,外匯總存款,417000000
10111,大台北商業銀行,國內銀行,公股存款與其他,0
10111,華泰商業銀行,國內銀行,活期存款,35380000000
10111,華泰商業銀行,國內銀行,定期存款,72665000000
10111,華泰商業銀行,國內銀行,外匯總存款,4306000000
10111,華泰商業銀行,國內銀行,公股存款與其他,0
10111,臺灣新光商業銀行,國內銀行,活期存款,177154000000
10111,臺灣新光商業銀行,國內銀行,定期存款,292782000000
10111,臺灣新光商業銀行,國內銀行,外匯總存款,69255000000
10111,臺灣新光商業銀行,國內銀行,公股存款與其他,167000000
10111,陽信商業銀行,國內銀行,活期存款,81624000000
10111,陽信商業銀行,國內銀行,定期存款,135851000000
10111,陽信商業銀行,國內銀行,外匯總存款,7897000000
10111,陽信商業銀行,國內銀行,公股存款與其他,0
10111,板信商業銀行,國內銀行,活期存款,53742000000
10111,板信商業銀行,國內銀行,定期存款,81289000000
10111,板信商業銀行,國內銀行,外匯總存款,7845000000
10111,板信商業銀行,國內銀行,公股存款與其他,0
10111,三信商業銀行,國內銀行,活期存款,42371000000
10111,三信商業銀行,國內銀行,定期存款,72166000000
10111,三信商業銀行,國內銀行,外匯總存款,1357000000
10111,三信商業銀行,國內銀行,公股存款與其他,0
10111,聯邦商業銀行,國內銀行,活期存款,129036000000
10111,聯邦商業銀行,國內銀行,定期存款,171673000000
10111,聯邦商業銀行,國內銀行,外匯總存款,32751000000
10111,聯邦商業銀行,國內銀行,公股存款與其他,0
10111,遠東國際商業銀行,國內銀行,活期存款,71219000000
10111,遠東國際商業銀行,國內銀行,定期存款,249512000000
10111,遠東國際商業銀行,國內銀行,外匯總存款,47177000000
10111,遠東國際商業銀行,國內銀行,公股存款與其他,0
10111,元大商業銀行,國內銀行,活期存款,206134000000
10111,元大商業銀行,國內銀行,定期存款,188401000000
10111,元大商業銀行,國內銀行,外匯總存款,53095000000
10111,元大商業銀行,國內銀行,公股存款與其他,0
10111,永豐商業銀行,國內銀行,活期存款,325448000000
10111,永豐商業銀行,國內銀行,定期存款,508147000000
10111,永豐商業銀行,國內銀行,外匯總存款,173288000000
10111,永豐商業銀行,國內銀行,公股存款與其他,0
10111,玉山商業銀行,國內銀行,活期存款,433621000000
10111,玉山商業銀行,國內銀行,定期存款,412536000000
10111,玉山商業銀行,國內銀行,外匯總存款,154556000000
10111,玉山商業銀行,國內銀行,公股存款與其他,4082000000
10111,萬泰商業銀行,國內銀行,活期存款,35023000000
10111,萬泰商業銀行,國內銀行,定期存款,80852000000
10111,萬泰商業銀行,國內銀行,外匯總存款,8428000000
10111,萬泰商業銀行,國內銀行,公股存款與其他,0
10111,星展,國內銀行,活期存款,25168000000
10111,星展,國內銀行,定期存款,116589000000
10111,星展,國內銀行,外匯總存款,36135000000
10111,星展,國內銀行,公股存款與其他,0
10111,台新國際商業銀行,國內銀行,活期存款,246420000000
10111,台新國際商業銀行,國內銀行,定期存款,414713000000
10111,台新國際商業銀行,國內銀行,外匯總存款,162562000000
10111,台新國際商業銀行,國內銀行,公股存款與其他,0
10111,大眾商業銀行,國內銀行,活期存款,80737000000
10111,大眾商業銀行,國內銀行,定期存款,201500000000
10111,大眾商業銀行,國內銀行,外匯總存款,61605000000
10111,大眾商業銀行,國內銀行,公股存款與其他,0
10111,日盛國際商業銀行,國內銀行,活期存款,74004000000
10111,日盛國際商業銀行,國內銀行,定期存款,73067000000
10111,日盛國際商業銀行,國內銀行,外匯總存款,18208000000
10111,日盛國際商業銀行,國內銀行,公股存款與其他,0
10111,安泰商業銀行,國內銀行,活期存款,57619000000
10111,安泰商業銀行,國內銀行,定期存款,210946000000
10111,安泰商業銀行,國內銀行,外匯總存款,29521000000
10111,安泰商業銀行,國內銀行,公股存款與其他,0
10111,中國信託商業銀行,國內銀行,活期存款,566753000000
10111,中國信託商業銀行,國內銀行,定期存款,527895000000
10111,中國信託商業銀行,國內銀行,外匯總存款,345619000000
10111,中國信託商業銀行,國內銀行,公股存款與其他,29919000000
10111,臺灣中小企業銀行,國內銀行,活期存款,439315000000
10111,臺灣中小企業銀行,國內銀行,定期存款,462049000000
10111,臺灣中小企業銀行,國內銀行,外匯總存款,111997000000
10111,臺灣中小企業銀行,國內銀行,公股存款與其他,12845000000
10111,渣打國際商業銀行,國內銀行,活期存款,215910000000
10111,渣打國際商業銀行,國內銀行,定期存款,213656000000
10111,渣打國際商業銀行,國內銀行,外匯總存款,113149000000
10111,渣打國際商業銀行,國內銀行,公股存款與其他,34000000
10111,台中商業銀行,國內銀行,活期存款,159801000000
10111,台中商業銀行,國內銀行,定期存款,200912000000
10111,台中商業銀行,國內銀行,外匯總存款,20635000000
10111,台中商業銀行,國內銀行,公股存款與其他,200000000
10111,京城商業銀行,國內銀行,活期存款,66877000000
