年月,銀行,項目,數值
10003,總計,國內銀行,活期存款,9838288000000
10003,總計,國內銀行,定期存款,11805937000000
10003,總計,國內銀行,外匯存款,3853726000000
10003,總計,國內銀行,公股存款與其他,498656000000
10003,臺灣銀行,國內銀行,活期存款,789352000000
10003,臺灣銀行,國內銀行,定期存款,1796351000000
10003,臺灣銀行,國內銀行,外匯總存款,324273000000
10003,臺灣銀行,國內銀行,公股存款與其他,193018000000
10003,臺灣土地銀行,國內銀行,活期存款,489553000000
10003,臺灣土地銀行,國內銀行,定期存款,1136561000000
10003,臺灣土地銀行,國內銀行,外匯總存款,70328000000
10003,臺灣土地銀行,國內銀行,公股存款與其他,155153000000
10003,合作金庫商業銀行,國內銀行,活期存款,869442000000
10003,合作金庫商業銀行,國內銀行,定期存款,1050716000000
10003,合作金庫商業銀行,國內銀行,外匯總存款,165644000000
10003,合作金庫商業銀行,國內銀行,公股存款與其他,63380000000
10003,第一商業銀行,國內銀行,活期存款,753209000000
10003,第一商業銀行,國內銀行,定期存款,522249000000
10003,第一商業銀行,國內銀行,外匯總存款,287184000000
10003,第一商業銀行,國內銀行,公股存款與其他,14319000000
10003,華南商業銀行,國內銀行,活期存款,793163000000
10003,華南商業銀行,國內銀行,定期存款,497198000000
10003,華南商業銀行,國內銀行,外匯總存款,237993000000
10003,華南商業銀行,國內銀行,公股存款與其他,6044000000
10003,彰化商業銀行,國內銀行,活期存款,593383000000
10003,彰化商業銀行,國內銀行,定期存款,452511000000
10003,彰化商業銀行,國內銀行,外匯總存款,177955000000
10003,彰化商業銀行,國內銀行,公股存款與其他,2349000000
10003,上海商業儲蓄銀行,國內銀行,活期存款,156739000000
10003,上海商業儲蓄銀行,國內銀行,定期存款,192794000000
10003,上海商業儲蓄銀行,國內銀行,外匯總存款,157379000000
10003,上海商業儲蓄銀行,國內銀行,公股存款與其他,0
10003,台北富邦銀行,國內銀行,活期存款,485398000000
10003,台北富邦銀行,國內銀行,定期存款,480845000000
10003,台北富邦銀行,國內銀行,外匯總存款,170151000000
10003,台北富邦銀行,國內銀行,公股存款與其他,19223000000
10003,國泰世華商業銀行,國內銀行,活期存款,716617000000
10003,國泰世華商業銀行,國內銀行,定期存款,482819000000
10003,國泰世華商業銀行,國內銀行,外匯總存款,147746000000
10003,國泰世華商業銀行,國內銀行,公股存款與其他,0
10003,中國輸出入銀行,國內銀行,活期存款,0
10003,中國輸出入銀行,國內銀行,定期存款,0
10003,中國輸出入銀行,國內銀行,外匯總存款,0
10003,中國輸出入銀行,國內銀行,公股存款與其他,0
10003,高雄銀行,國內銀行,活期存款,57737000000
10003,高雄銀行,國內銀行,定期存款,109603000000
10003,高雄銀行,國內銀行,外匯總存款,8168000000
10003,高雄銀行,國內銀行,公股存款與其他,10852000000
10003,兆豐國際商業銀行,國內銀行,活期存款,472401000000
