年月,銀行,銀行類別,項目,數值,英文項目
9803,總計,國內銀行,活期存款,7242974000000,MD
9803,總計,國內銀行,定期存款,11537409000000,FD
9803,總計,國內銀行,外匯存款,3474538000000,DP_Y
9803,總計,國內銀行,公股存款與其他,513994000000,DP_OTHER
9803,臺灣銀行,國內銀行,活期存款,740054000000,MD
9803,臺灣銀行,國內銀行,定期存款,1780702000000,FD
9803,臺灣銀行,國內銀行,外匯總存款,360726000000,DP_Y
9803,臺灣銀行,國內銀行,公股存款與其他,208721000000,DP_OTHER
9803,臺灣土地銀行,國內銀行,活期存款,351762000000,MD
9803,臺灣土地銀行,國內銀行,定期存款,1068486000000,FD
9803,臺灣土地銀行,國內銀行,外匯總存款,73373000000,DP_Y
9803,臺灣土地銀行,國內銀行,公股存款與其他,149543000000,DP_OTHER
9803,合作金庫商業銀行,國內銀行,活期存款,647515000000,MD
9803,合作金庫商業銀行,國內銀行,定期存款,1130699000000,FD
9803,合作金庫商業銀行,國內銀行,外匯總存款,169913000000,DP_Y
9803,合作金庫商業銀行,國內銀行,公股存款與其他,56289000000,DP_OTHER
9803,第一商業銀行,國內銀行,活期存款,588051000000,MD
9803,第一商業銀行,國內銀行,定期存款,549149000000,FD
9803,第一商業銀行,國內銀行,外匯總存款,280047000000,DP_Y
9803,第一商業銀行,國內銀行,公股存款與其他,16555000000,DP_OTHER
9803,華南商業銀行,國內銀行,活期存款,628379000000,MD
9803,華南商業銀行,國內銀行,定期存款,538151000000,FD
9803,華南商業銀行,國內銀行,外匯總存款,231901000000,DP_Y
9803,華南商業銀行,國內銀行,公股存款與其他,5319000000,DP_OTHER
9803,彰化商業銀行,國內銀行,活期存款,466506000000,MD
9803,彰化商業銀行,國內銀行,定期存款,488991000000,FD
9803,彰化商業銀行,國內銀行,外匯總存款,193284000000,DP_Y
9803,彰化商業銀行,國內銀行,公股存款與其他,2058000000,DP_OTHER
9803,花旗,國內銀行,活期存款,47558000000,MD
9803,花旗,國內銀行,定期存款,58547000000,FD
9803,花旗,國內銀行,外匯總存款,37334000000,DP_Y
9803,花旗,國內銀行,公股存款與其他,0,DP_OTHER
9803,上海商業儲蓄銀行,國內銀行,活期存款,120287000000,MD
9803,上海商業儲蓄銀行,國內銀行,定期存款,185814000000,FD
9803,上海商業儲蓄銀行,國內銀行,外匯總存款,151179000000,DP_Y
9803,上海商業儲蓄銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,台北富邦銀行,國內銀行,活期存款,341817000000,MD
9803,台北富邦銀行,國內銀行,定期存款,477301000000,FD
9803,台北富邦銀行,國內銀行,外匯總存款,158704000000,DP_Y
9803,台北富邦銀行,國內銀行,公股存款與其他,22748000000,DP_OTHER
9803,國泰世華商業銀行,國內銀行,活期存款,473047000000,MD
9803,國泰世華商業銀行,國內銀行,定期存款,526168000000,FD
9803,國泰世華商業銀行,國內銀行,外匯總存款,124831000000,DP_Y
9803,國泰世華商業銀行,國內銀行,公股存款與其他,432000000,DP_OTHER
9803,中國輸出入銀行,國內銀行,活期存款,0,MD
9803,中國輸出入銀行,國內銀行,定期存款,0,FD
9803,中國輸出入銀行,國內銀行,外匯總存款,0,DP_Y
9803,中國輸出入銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,高雄銀行,國內銀行,活期存款,45079000000,MD
9803,高雄銀行,國內銀行,定期存款,95155000000,FD
9803,高雄銀行,國內銀行,外匯總存款,7814000000,DP_Y
9803,高雄銀行,國內銀行,公股存款與其他,8390000000,DP_OTHER
9803,兆豐國際商業銀行,國內銀行,活期存款,343456000000,MD
9803,兆豐國際商業銀行,國內銀行,定期存款,463266000000,FD
9803,兆豐國際商業銀行,國內銀行,外匯總存款,584317000000,DP_Y
9803,兆豐國際商業銀行,國內銀行,公股存款與其他,2908000000,DP_OTHER
9803,中華開發工業銀行,國內銀行,活期存款,2362000000,MD
9803,中華開發工業銀行,國內銀行,定期存款,16319000000,FD
9803,中華開發工業銀行,國內銀行,外匯總存款,17871000000,DP_Y
9803,中華開發工業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,臺灣工業銀行,國內銀行,活期存款,2848000000,MD
9803,臺灣工業銀行,國內銀行,定期存款,51776000000,FD
9803,臺灣工業銀行,國內銀行,外匯總存款,10621000000,DP_Y
9803,臺灣工業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,大台北商業銀行,國內銀行,活期存款,11769000000,MD
9803,大台北商業銀行,國內銀行,定期存款,24319000000,FD
9803,大台北商業銀行,國內銀行,外匯總存款,0,DP_Y
9803,大台北商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,華泰商業銀行,國內銀行,活期存款,25830000000,MD
9803,華泰商業銀行,國內銀行,定期存款,69440000000,FD
9803,華泰商業銀行,國內銀行,外匯總存款,1658000000,DP_Y
9803,華泰商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,臺灣新光商業銀行,國內銀行,活期存款,105111000000,MD
9803,臺灣新光商業銀行,國內銀行,定期存款,230189000000,FD
9803,臺灣新光商業銀行,國內銀行,外匯總存款,19220000000,DP_Y
9803,臺灣新光商業銀行,國內銀行,公股存款與其他,89000000,DP_OTHER
9803,陽信商業銀行,國內銀行,活期存款,57231000000,MD
9803,陽信商業銀行,國內銀行,定期存款,134743000000,FD
9803,陽信商業銀行,國內銀行,外匯總存款,7956000000,DP_Y
9803,陽信商業銀行,國內銀行,公股存款與其他,246000000,DP_OTHER
9803,板信商業銀行,國內銀行,活期存款,38279000000,MD
9803,板信商業銀行,國內銀行,定期存款,98712000000,FD
9803,板信商業銀行,國內銀行,外匯總存款,6724000000,DP_Y
9803,板信商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,三信商業銀行,國內銀行,活期存款,30229000000,MD
9803,三信商業銀行,國內銀行,定期存款,66145000000,FD
9803,三信商業銀行,國內銀行,外匯總存款,931000000,DP_Y
9803,三信商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,聯邦商業銀行,國內銀行,活期存款,84129000000,MD
9803,聯邦商業銀行,國內銀行,定期存款,166787000000,FD
9803,聯邦商業銀行,國內銀行,外匯總存款,26239000000,DP_Y
9803,聯邦商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,遠東國際商業銀行,國內銀行,活期存款,46659000000,MD
9803,遠東國際商業銀行,國內銀行,定期存款,171685000000,FD
9803,遠東國際商業銀行,國內銀行,外匯總存款,53954000000,DP_Y
9803,遠東國際商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,元大商業銀行,國內銀行,活期存款,118095000000,MD
9803,元大商業銀行,國內銀行,定期存款,129469000000,FD
9803,元大商業銀行,國內銀行,外匯總存款,24828000000,DP_Y
9803,元大商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,永豐商業銀行,國內銀行,活期存款,243076000000,MD
9803,永豐商業銀行,國內銀行,定期存款,390487000000,FD
9803,永豐商業銀行,國內銀行,外匯總存款,156866000000,DP_Y
9803,永豐商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,玉山商業銀行,國內銀行,活期存款,232892000000,MD
9803,玉山商業銀行,國內銀行,定期存款,361390000000,FD
9803,玉山商業銀行,國內銀行,外匯總存款,91633000000,DP_Y
9803,玉山商業銀行,國內銀行,公股存款與其他,1890000000,DP_OTHER
9803,萬泰商業銀行,國內銀行,活期存款,29291000000,MD
9803,萬泰商業銀行,國內銀行,定期存款,86083000000,FD
9803,萬泰商業銀行,國內銀行,外匯總存款,3431000000,DP_Y
9803,萬泰商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,台新國際商業銀行,國內銀行,活期存款,152150000000,MD
9803,台新國際商業銀行,國內銀行,定期存款,357056000000,FD
9803,台新國際商業銀行,國內銀行,外匯總存款,130753000000,DP_Y
9803,台新國際商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,大眾商業銀行,國內銀行,活期存款,56253000000,MD
9803,大眾商業銀行,國內銀行,定期存款,144356000000,FD
9803,大眾商業銀行,國內銀行,外匯總存款,35646000000,DP_Y
9803,大眾商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,日盛國際商業銀行,國內銀行,活期存款,56026000000,MD
9803,日盛國際商業銀行,國內銀行,定期存款,110057000000,FD
9803,日盛國際商業銀行,國內銀行,外匯總存款,12075000000,DP_Y
9803,日盛國際商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,安泰商業銀行,國內銀行,活期存款,50741000000,MD
9803,安泰商業銀行,國內銀行,定期存款,148377000000,FD
9803,安泰商業銀行,國內銀行,外匯總存款,17141000000,DP_Y
9803,安泰商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,中國信託商業銀行,國內銀行,活期存款,399206000000,MD
9803,中國信託商業銀行,國內銀行,定期存款,477302000000,FD
9803,中國信託商業銀行,國內銀行,外匯總存款,269967000000,DP_Y
9803,中國信託商業銀行,國內銀行,公股存款與其他,18616000000,DP_OTHER
9803,慶豐商業銀行,國內銀行,活期存款,12261000000,MD
9803,慶豐商業銀行,國內銀行,定期存款,37200000000,FD
9803,慶豐商業銀行,國內銀行,外匯總存款,3762000000,DP_Y
9803,慶豐商業銀行,國內銀行,公股存款與其他,0,DP_OTHER
9803,臺灣中小企業銀行,國內銀行,活期存款,335837000000,MD
