年月,銀行,項目,數值
10104,總計,國內銀行,活期存款,10051375000000
10104,總計,國內銀行,定期存款,12757664000000
10104,總計,國內銀行,外匯存款,4345133000000
10104,總計,國內銀行,公股存款與其他,531353000000
10104,臺灣銀行,國內銀行,活期存款,815847000000
10104,臺灣銀行,國內銀行,定期存款,1816652000000
10104,臺灣銀行,國內銀行,外匯總存款,344163000000
10104,臺灣銀行,國內銀行,公股存款與其他,197864000000
10104,臺灣土地銀行,國內銀行,活期存款,495128000000
10104,臺灣土地銀行,國內銀行,定期存款,1240817000000
10104,臺灣土地銀行,國內銀行,外匯總存款,79696000000
10104,臺灣土地銀行,國內銀行,公股存款與其他,164943000000
10104,合作金庫商業銀行,國內銀行,活期存款,887024000000
10104,合作金庫商業銀行,國內銀行,定期存款,1115906000000
10104,合作金庫商業銀行,國內銀行,外匯總存款,181260000000
10104,合作金庫商業銀行,國內銀行,公股存款與其他,67311000000
10104,第一商業銀行,國內銀行,活期存款,762476000000
10104,第一商業銀行,國內銀行,定期存款,507814000000
10104,第一商業銀行,國內銀行,外匯總存款,297299000000
10104,第一商業銀行,國內銀行,公股存款與其他,13905000000
10104,華南商業銀行,國內銀行,活期存款,813021000000
10104,華南商業銀行,國內銀行,定期存款,513187000000
10104,華南商業銀行,國內銀行,外匯總存款,257405000000
10104,華南商業銀行,國內銀行,公股存款與其他,6347000000
10104,彰化商業銀行,國內銀行,活期存款,600722000000
10104,彰化商業銀行,國內銀行,定期存款,494671000000
10104,彰化商業銀行,國內銀行,外匯總存款,185062000000
10104,彰化商業銀行,國內銀行,公股存款與其他,2449000000
10104,上海商業儲蓄銀行,國內銀行,活期存款,162748000000
10104,上海商業儲蓄銀行,國內銀行,定期存款,291256000000
10104,上海商業儲蓄銀行,國內銀行,外匯總存款,173867000000
10104,上海商業儲蓄銀行,國內銀行,公股存款與其他,0
10104,台北富邦銀行,國內銀行,活期存款,476582000000
10104,台北富邦銀行,國內銀行,定期存款,587815000000
10104,台北富邦銀行,國內銀行,外匯總存款,207955000000
10104,台北富邦銀行,國內銀行,公股存款與其他,17578000000
10104,國泰世華商業銀行,國內銀行,活期存款,722572000000
10104,國泰世華商業銀行,國內銀行,定期存款,580608000000
10104,國泰世華商業銀行,國內銀行,外匯總存款,183476000000
10104,國泰世華商業銀行,國內銀行,公股存款與其他,0
10104,中國輸出入銀行,國內銀行,活期存款,0
10104,中國輸出入銀行,國內銀行,定期存款,0
10104,中國輸出入銀行,國內銀行,外匯總存款,0
10104,中國輸出入銀行,國內銀行,公股存款與其他,0
10104,高雄銀行,國內銀行,活期存款,59279000000
10104,高雄銀行,國內銀行,定期存款,107057000000
10104,高雄銀行,國內銀行,外匯總存款,8593000000
10104,高雄銀行,國內銀行,公股存款與其他,12079000000
