年月,銀行,項目,數值
10107,總計,國內銀行,活期存款,10132747000000
10107,總計,國內銀行,定期存款,12698826000000
10107,總計,國內銀行,外匯存款,4410561000000
10107,總計,國內銀行,公股存款與其他,570286000000
10107,臺灣銀行,國內銀行,活期存款,840931000000
10107,臺灣銀行,國內銀行,定期存款,1818110000000
10107,臺灣銀行,國內銀行,外匯總存款,357413000000
10107,臺灣銀行,國內銀行,公股存款與其他,235677000000
10107,臺灣土地銀行,國內銀行,活期存款,514089000000
10107,臺灣土地銀行,國內銀行,定期存款,1179501000000
10107,臺灣土地銀行,國內銀行,外匯總存款,83544000000
10107,臺灣土地銀行,國內銀行,公股存款與其他,165952000000
10107,合作金庫商業銀行,國內銀行,活期存款,901419000000
10107,合作金庫商業銀行,國內銀行,定期存款,1088827000000
10107,合作金庫商業銀行,國內銀行,外匯總存款,179877000000
10107,合作金庫商業銀行,國內銀行,公股存款與其他,66457000000
10107,第一商業銀行,國內銀行,活期存款,772833000000
10107,第一商業銀行,國內銀行,定期存款,501149000000
10107,第一商業銀行,國內銀行,外匯總存款,298311000000
10107,第一商業銀行,國內銀行,公股存款與其他,12425000000
10107,華南商業銀行,國內銀行,活期存款,817451000000
10107,華南商業銀行,國內銀行,定期存款,526904000000
10107,華南商業銀行,國內銀行,外匯總存款,256882000000
10107,華南商業銀行,國內銀行,公股存款與其他,6205000000
10107,彰化商業銀行,國內銀行,活期存款,603380000000
10107,彰化商業銀行,國內銀行,定期存款,495617000000
10107,彰化商業銀行,國內銀行,外匯總存款,179885000000
10107,彰化商業銀行,國內銀行,公股存款與其他,2407000000
10107,上海商業儲蓄銀行,國內銀行,活期存款,164446000000
10107,上海商業儲蓄銀行,國內銀行,定期存款,293751000000
10107,上海商業儲蓄銀行,國內銀行,外匯總存款,175951000000
10107,上海商業儲蓄銀行,國內銀行,公股存款與其他,0
10107,台北富邦銀行,國內銀行,活期存款,464750000000
10107,台北富邦銀行,國內銀行,定期存款,571104000000
10107,台北富邦銀行,國內銀行,外匯總存款,202510000000
10107,台北富邦銀行,國內銀行,公股存款與其他,19148000000
10107,國泰世華商業銀行,國內銀行,活期存款,715358000000
10107,國泰世華商業銀行,國內銀行,定期存款,568452000000
10107,國泰世華商業銀行,國內銀行,外匯總存款,196605000000
10107,國泰世華商業銀行,國內銀行,公股存款與其他,0
10107,中國輸出入銀行,國內銀行,活期存款,0
