年月,銀行,項目,數值
10009,總計,國內銀行,活期存款,9957374000000
10009,總計,國內銀行,定期存款,12066890000000
10009,總計,國內銀行,外匯存款,4146361000000
10009,總計,國內銀行,公股存款與其他,562011000000
10009,臺灣銀行,國內銀行,活期存款,828182000000
10009,臺灣銀行,國內銀行,定期存款,1803581000000
10009,臺灣銀行,國內銀行,外匯總存款,334054000000
10009,臺灣銀行,國內銀行,公股存款與其他,236604000000
10009,臺灣土地銀行,國內銀行,活期存款,487542000000
10009,臺灣土地銀行,國內銀行,定期存款,1093855000000
10009,臺灣土地銀行,國內銀行,外匯總存款,78480000000
10009,臺灣土地銀行,國內銀行,公股存款與其他,160460000000
10009,合作金庫商業銀行,國內銀行,活期存款,870330000000
10009,合作金庫商業銀行,國內銀行,定期存款,1046831000000
10009,合作金庫商業銀行,國內銀行,外匯總存款,198497000000
10009,合作金庫商業銀行,國內銀行,公股存款與其他,70471000000
10009,第一商業銀行,國內銀行,活期存款,761131000000
10009,第一商業銀行,國內銀行,定期存款,512178000000
10009,第一商業銀行,國內銀行,外匯總存款,297682000000
10009,第一商業銀行,國內銀行,公股存款與其他,15101000000
10009,華南商業銀行,國內銀行,活期存款,815075000000
10009,華南商業銀行,國內銀行,定期存款,501516000000
10009,華南商業銀行,國內銀行,外匯總存款,240325000000
10009,華南商業銀行,國內銀行,公股存款與其他,5993000000
10009,彰化商業銀行,國內銀行,活期存款,597954000000
10009,彰化商業銀行,國內銀行,定期存款,466368000000
10009,彰化商業銀行,國內銀行,外匯總存款,184251000000
10009,彰化商業銀行,國內銀行,公股存款與其他,2626000000
10009,上海商業儲蓄銀行,國內銀行,活期存款,160505000000
10009,上海商業儲蓄銀行,國內銀行,定期存款,271555000000
10009,上海商業儲蓄銀行,國內銀行,外匯總存款,168343000000
10009,上海商業儲蓄銀行,國內銀行,公股存款與其他,0
10009,台北富邦銀行,國內銀行,活期存款,473369000000
10009,台北富邦銀行,國內銀行,定期存款,475045000000
10009,台北富邦銀行,國內銀行,外匯總存款,204557000000
10009,台北富邦銀行,國內銀行,公股存款與其他,16188000000
10009,國泰世華商業銀行,國內銀行,活期存款,728010000000
10009,國泰世華商業銀行,國內銀行,定期存款,555701000000
10009,國泰世華商業銀行,國內銀行,外匯總存款,180268000000
10009,國泰世華商業銀行,國內銀行,公股存款與其他,0
10009,中國輸出入銀行,國內銀行,活期存款,0
10009,中國輸出入銀行,國內銀行,定期存款,0
10009,中國輸出入銀行,國內銀行,外匯總存款,0
10009,中國輸出入銀行,國內銀行,公股存款與其他,0
10009,高雄銀行,國內銀行,活期存款,56968000000
10009,高雄銀行,國內銀行,定期存款,112462000000
10009,高雄銀行,國內銀行,外匯總存款,7954000000
10009,高雄銀行,國內銀行,公股存款與其他,11136000000
10009,兆豐國際商業銀行,國內銀行,活期存款,494933000000
10009,兆豐國際商業銀行,國內銀行,定期存款,440405000000
10009,兆豐國際商業銀行,國內銀行,外匯總存款,583669000000
10009,兆豐國際商業銀行,國內銀行,公股存款與其他,4049000000
10009,花旗,國內銀行,活期存款,165547000000
10009,花旗,國內銀行,定期存款,76430000000
10009,花旗,國內銀行,外匯總存款,302829000000
10009,花旗,國內銀行,公股存款與其他,0
10009,中華開發工業銀行,國內銀行,活期存款,4518000000
10009,中華開發工業銀行,國內銀行,定期存款,37762000000
10009,中華開發工業銀行,國內銀行,外匯總存款,30992000000
10009,中華開發工業銀行,國內銀行,公股存款與其他,0
10009,臺灣工業銀行,國內銀行,活期存款,3106000000
10009,臺灣工業銀行,國內銀行,定期存款,57708000000
10009,臺灣工業銀行,國內銀行,外匯總存款,14596000000
10009,臺灣工業銀行,國內銀行,公股存款與其他,0
10009,匯豐,國內銀行,活期存款,172891000000
10009,匯豐,國內銀行,定期存款,76908000000
10009,匯豐,國內銀行,外匯總存款,107731000000
10009,匯豐,國內銀行,公股存款與其他,0
10009,大台北商業銀行,國內銀行,活期存款,15202000000
