年月,銀行,項目,數值
10106,總計,國內銀行,活期存款,10048037000000
10106,總計,國內銀行,定期存款,12695741000000
10106,總計,國內銀行,外匯存款,4427960000000
10106,總計,國內銀行,公股存款與其他,557840000000
10106,臺灣銀行,國內銀行,活期存款,787868000000
10106,臺灣銀行,國內銀行,定期存款,1815061000000
10106,臺灣銀行,國內銀行,外匯總存款,364731000000
10106,臺灣銀行,國內銀行,公股存款與其他,216504000000
10106,臺灣土地銀行,國內銀行,活期存款,509495000000
10106,臺灣土地銀行,國內銀行,定期存款,1219892000000
10106,臺灣土地銀行,國內銀行,外匯總存款,84437000000
10106,臺灣土地銀行,國內銀行,公股存款與其他,169078000000
10106,合作金庫商業銀行,國內銀行,活期存款,893713000000
10106,合作金庫商業銀行,國內銀行,定期存款,1095511000000
10106,合作金庫商業銀行,國內銀行,外匯總存款,180548000000
10106,合作金庫商業銀行,國內銀行,公股存款與其他,68238000000
10106,第一商業銀行,國內銀行,活期存款,769921000000
10106,第一商業銀行,國內銀行,定期存款,501619000000
10106,第一商業銀行,國內銀行,外匯總存款,305774000000
10106,第一商業銀行,國內銀行,公股存款與其他,13366000000
10106,華南商業銀行,國內銀行,活期存款,810846000000
10106,華南商業銀行,國內銀行,定期存款,530220000000
10106,華南商業銀行,國內銀行,外匯總存款,260919000000
10106,華南商業銀行,國內銀行,公股存款與其他,6302000000
10106,彰化商業銀行,國內銀行,活期存款,597178000000
10106,彰化商業銀行,國內銀行,定期存款,493292000000
10106,彰化商業銀行,國內銀行,外匯總存款,182821000000
10106,彰化商業銀行,國內銀行,公股存款與其他,2448000000
10106,上海商業儲蓄銀行,國內銀行,活期存款,164831000000
10106,上海商業儲蓄銀行,國內銀行,定期存款,277429000000
10106,上海商業儲蓄銀行,國內銀行,外匯總存款,180518000000
10106,上海商業儲蓄銀行,國內銀行,公股存款與其他,0
10106,台北富邦銀行,國內銀行,活期存款,468268000000
10106,台北富邦銀行,國內銀行,定期存款,574013000000
10106,台北富邦銀行,國內銀行,外匯總存款,201924000000
10106,台北富邦銀行,國內銀行,公股存款與其他,21428000000
10106,國泰世華商業銀行,國內銀行,活期存款,717709000000
10106,國泰世華商業銀行,國內銀行,定期存款,555829000000
10106,國泰世華商業銀行,國內銀行,外匯總存款,185444000000
10106,國泰世華商業銀行,國內銀行,公股存款與其他,0
10106,中國輸出入銀行,國內銀行,活期存款,0
10106,中國輸出入銀行,國內銀行,定期存款,0
10106,中國輸出入銀行,國內銀行,外匯總存款,0
10106,中國輸出入銀行,國內銀行,公股存款與其他,0
10106,高雄銀行,國內銀行,活期存款,59020000000
10106,高雄銀行,國內銀行,定期存款,108837000000
10106,高雄銀行,國內銀行,外匯總存款,8303000000
10106,高雄銀行,國內銀行,公股存款與其他,10822000000
10106,兆豐國際商業銀行,國內銀行,活期存款,489713000000
10106,兆豐國際商業銀行,國內銀行,定期存款,514588000000
10106,兆豐國際商業銀行,國內銀行,外匯總存款,611376000000
10106,兆豐國際商業銀行,國內銀行,公股存款與其他,3461000000
10106,花旗,國內銀行,活期存款,152483000000
10106,花旗,國內銀行,定期存款,77697000000
10106,花旗,國內銀行,外匯總存款,341751000000
10106,花旗,國內銀行,公股存款與其他,0
10106,中華開發工業銀行,國內銀行,活期存款,5303000000
10106,中華開發工業銀行,國內銀行,定期存款,54701000000
10106,中華開發工業銀行,國內銀行,外匯總存款,28119000000
10106,中華開發工業銀行,國內銀行,公股存款與其他,0
10106,臺灣工業銀行,國內銀行,活期存款,4105000000
10106,臺灣工業銀行,國內銀行,定期存款,69897000000
10106,臺灣工業銀行,國內銀行,外匯總存款,15781000000
10106,臺灣工業銀行,國內銀行,公股存款與其他,0
10106,匯豐,國內銀行,活期存款,154791000000
10106,匯豐,國內銀行,定期存款,94260000000
10106,匯豐,國內銀行,外匯總存款,108209000000
10106,匯豐,國內銀行,公股存款與其他,0
10106,大台北商業銀行,國內銀行,活期存款,14844000000
10106,大台北商業銀行,國內銀行,定期存款,28788000000
10106,大台北商業銀行,國內銀行,外匯總存款,351000000
10106,大台北商業銀行,國內銀行,公股存款與其他,0
10106,華泰商業銀行,國內銀行,活期存款,34618000000
10106,華泰商業銀行,國內銀行,定期存款,72659000000
10106,華泰商業銀行,國內銀行,外匯總存款,3067000000
10106,華泰商業銀行,國內銀行,公股存款與其他,0
10106,臺灣新光商業銀行,國內銀行,活期存款,178261000000
10106,臺灣新光商業銀行,國內銀行,定期存款,267737000000
10106,臺灣新光商業銀行,國內銀行,外匯總存款,56743000000
10106,臺灣新光商業銀行,國內銀行,公股存款與其他,124000000
10106,陽信商業銀行,國內銀行,活期存款,82359000000
10106,陽信商業銀行,國內銀行,定期存款,132231000000
10106,陽信商業銀行,國內銀行,外匯總存款,6580000000
10106,陽信商業銀行,國內銀行,公股存款與其他,3000000
10106,板信商業銀行,國內銀行,活期存款,51263000000
10106,板信商業銀行,國內銀行,定期存款,83014000000
10106,板信商業銀行,國內銀行,外匯總存款,7099000000
10106,板信商業銀行,國內銀行,公股存款與其他,0
10106,三信商業銀行,國內銀行,活期存款,41106000000
10106,三信商業銀行,國內銀行,定期存款,69325000000
10106,三信商業銀行,國內銀行,外匯總存款,1279000000
10106,三信商業銀行,國內銀行,公股存款與其他,0
10106,聯邦商業銀行,國內銀行,活期存款,124356000000
10106,聯邦商業銀行,國內銀行,定期存款,170292000000
10106,聯邦商業銀行,國內銀行,外匯總存款,30317000000
10106,聯邦商業銀行,國內銀行,公股存款與其他,0
10106,遠東國際商業銀行,國內銀行,活期存款,69981000000
10106,遠東國際商業銀行,國內銀行,定期存款,249486000000
10106,遠東國際商業銀行,國內銀行,外匯總存款,44858000000
10106,遠東國際商業銀行,國內銀行,公股存款與其他,0
10106,元大商業銀行,國內銀行,活期存款,201760000000
10106,元大商業銀行,國內銀行,定期存款,186599000000
10106,元大商業銀行,國內銀行,外匯總存款,52547000000
10106,元大商業銀行,國內銀行,公股存款與其他,0
10106,永豐商業銀行,國內銀行,活期存款,313533000000
10106,永豐商業銀行,國內銀行,定期存款,513995000000
10106,永豐商業銀行,國內銀行,外匯總存款,161807000000
10106,永豐商業銀行,國內銀行,公股存款與其他,0
10106,玉山商業銀行,國內銀行,活期存款,417051000000
10106,玉山商業銀行,國內銀行,定期存款,409963000000
10106,玉山商業銀行,國內銀行,外匯總存款,139795000000
10106,玉山商業銀行,國內銀行,公股存款與其他,3942000000
10106,萬泰商業銀行,國內銀行,活期存款,34342000000
10106,萬泰商業銀行,國內銀行,定期存款,75933000000
10106,萬泰商業銀行,國內銀行,外匯總存款,7015000000
10106,萬泰商業銀行,國內銀行,公股存款與其他,0
10106,星展,國內銀行,活期存款,24685000000
