年月,銀行,項目,數值
10103,總計,國內銀行,活期存款,10110271000000
10103,總計,國內銀行,定期存款,12714906000000
10103,總計,國內銀行,外匯存款,4336152000000
10103,總計,國內銀行,公股存款與其他,526025000000
10103,臺灣銀行,國內銀行,活期存款,802157000000
10103,臺灣銀行,國內銀行,定期存款,1819532000000
10103,臺灣銀行,國內銀行,外匯總存款,326311000000
10103,臺灣銀行,國內銀行,公股存款與其他,199138000000
10103,臺灣土地銀行,國內銀行,活期存款,493691000000
10103,臺灣土地銀行,國內銀行,定期存款,1229451000000
10103,臺灣土地銀行,國內銀行,外匯總存款,76782000000
10103,臺灣土地銀行,國內銀行,公股存款與其他,162217000000
10103,合作金庫商業銀行,國內銀行,活期存款,893511000000
10103,合作金庫商業銀行,國內銀行,定期存款,1092497000000
10103,合作金庫商業銀行,國內銀行,外匯總存款,180316000000
10103,合作金庫商業銀行,國內銀行,公股存款與其他,63999000000
10103,第一商業銀行,國內銀行,活期存款,786831000000
10103,第一商業銀行,國內銀行,定期存款,510199000000
10103,第一商業銀行,國內銀行,外匯總存款,295304000000
10103,第一商業銀行,國內銀行,公股存款與其他,14418000000
10103,華南商業銀行,國內銀行,活期存款,820179000000
10103,華南商業銀行,國內銀行,定期存款,507207000000
10103,華南商業銀行,國內銀行,外匯總存款,256570000000
10103,華南商業銀行,國內銀行,公股存款與其他,5953000000
10103,彰化商業銀行,國內銀行,活期存款,602806000000
10103,彰化商業銀行,國內銀行,定期存款,494261000000
10103,彰化商業銀行,國內銀行,外匯總存款,180020000000
10103,彰化商業銀行,國內銀行,公股存款與其他,2416000000
10103,上海商業儲蓄銀行,國內銀行,活期存款,163243000000
10103,上海商業儲蓄銀行,國內銀行,定期存款,294702000000
10103,上海商業儲蓄銀行,國內銀行,外匯總存款,175407000000
10103,上海商業儲蓄銀行,國內銀行,公股存款與其他,0
10103,台北富邦銀行,國內銀行,活期存款,475984000000
10103,台北富邦銀行,國內銀行,定期存款,576694000000
10103,台北富邦銀行,國內銀行,外匯總存款,214377000000
10103,台北富邦銀行,國內銀行,公股存款與其他,16590000000
10103,國泰世華商業銀行,國內銀行,活期存款,735613000000
10103,國泰世華商業銀行,國內銀行,定期存款,579329000000
10103,國泰世華商業銀行,國內銀行,外匯總存款,184811000000
10103,國泰世華商業銀行,國內銀行,公股存款與其他,0
10103,中國輸出入銀行,國內銀行,活期存款,0
10103,中國輸出入銀行,國內銀行,定期存款,0
10103,中國輸出入銀行,國內銀行,外匯總存款,0
10103,中國輸出入銀行,國內銀行,公股存款與其他,0
10103,高雄銀行,國內銀行,活期存款,59663000000
10103,高雄銀行,國內銀行,定期存款,108667000000
10103,高雄銀行,國內銀行,外匯總存款,8023000000
10103,高雄銀行,國內銀行,公股存款與其他,11184000000
10103,兆豐國際商業銀行,國內銀行,活期存款,485196000000
10103,兆豐國際商業銀行,國內銀行,定期存款,512727000000
10103,兆豐國際商業銀行,國內銀行,外匯總存款,590054000000
10103,兆豐國際商業銀行,國內銀行,公股存款與其他,3332000000
10103,花旗,國內銀行,活期存款,160165000000
10103,花旗,國內銀行,定期存款,76503000000
10103,花旗,國內銀行,外匯總存款,313602000000
10103,花旗,國內銀行,公股存款與其他,0
10103,中華開發工業銀行,國內銀行,活期存款,4911000000
10103,中華開發工業銀行,國內銀行,定期存款,42612000000
10103,中華開發工業銀行,國內銀行,外匯總存款,31736000000
10103,中華開發工業銀行,國內銀行,公股存款與其他,0
10103,臺灣工業銀行,國內銀行,活期存款,3933000000
10103,臺灣工業銀行,國內銀行,定期存款,71836000000
10103,臺灣工業銀行,國內銀行,外匯總存款,15019000000
10103,臺灣工業銀行,國內銀行,公股存款與其他,0
10103,匯豐,國內銀行,活期存款,146664000000
10103,匯豐,國內銀行,定期存款,81406000000
10103,匯豐,國內銀行,外匯總存款,109026000000
10103,匯豐,國內銀行,公股存款與其他,0
10103,大台北商業銀行,國內銀行,活期存款,15126000000
10103,大台北商業銀行,國內銀行,定期存款,29431000000
10103,大台北商業銀行,國內銀行,外匯總存款,274000000
10103,大台北商業銀行,國內銀行,公股存款與其他,0
10103,華泰商業銀行,國內銀行,活期存款,34275000000
10103,華泰商業銀行,國內銀行,定期存款,73008000000
10103,華泰商業銀行,國內銀行,外匯總存款,2569000000
10103,華泰商業銀行,國內銀行,公股存款與其他,0
10103,臺灣新光商業銀行,國內銀行,活期存款,169815000000
10103,臺灣新光商業銀行,國內銀行,定期存款,279379000000
10103,臺灣新光商業銀行,國內銀行,外匯總存款,57408000000
10103,臺灣新光商業銀行,國內銀行,公股存款與其他,119000000
10103,陽信商業銀行,國內銀行,活期存款,79726000000
10103,陽信商業銀行,國內銀行,定期存款,135251000000
10103,陽信商業銀行,國內銀行,外匯總存款,6750000000
10103,陽信商業銀行,國內銀行,公股存款與其他,121000000
10103,板信商業銀行,國內銀行,活期存款,51035000000
10103,板信商業銀行,國內銀行,定期存款,81660000000
10103,板信商業銀行,國內銀行,外匯總存款,6833000000
10103,板信商業銀行,國內銀行,公股存款與其他,0
10103,三信商業銀行,國內銀行,活期存款,40854000000
10103,三信商業銀行,國內銀行,定期存款,69498000000
10103,三信商業銀行,國內銀行,外匯總存款,1258000000
10103,三信商業銀行,國內銀行,公股存款與其他,0
10103,聯邦商業銀行,國內銀行,活期存款,121675000000
10103,聯邦商業銀行,國內銀行,定期存款,171691000000
10103,聯邦商業銀行,國內銀行,外匯總存款,28599000000
10103,聯邦商業銀行,國內銀行,公股存款與其他,0
10103,遠東國際商業銀行,國內銀行,活期存款,75014000000
10103,遠東國際商業銀行,國內銀行,定期存款,240162000000
10103,遠東國際商業銀行,國內銀行,外匯總存款,43489000000
10103,遠東國際商業銀行,國內銀行,公股存款與其他,0
10103,元大商業銀行,國內銀行,活期存款,213003000000
10103,元大商業銀行,國內銀行,定期存款,178932000000
10103,元大商業銀行,國內銀行,外匯總存款,45933000000
10103,元大商業銀行,國內銀行,公股存款與其他,0
10103,永豐商業銀行,國內銀行,活期存款,320870000000
10103,永豐商業銀行,國內銀行,定期存款,495652000000
10103,永豐商業銀行,國內銀行,外匯總存款,163258000000
10103,永豐商業銀行,國內銀行,公股存款與其他,0
10103,玉山商業銀行,國內銀行,活期存款,403969000000
10103,玉山商業銀行,國內銀行,定期存款,431436000000
10103,玉山商業銀行,國內銀行,外匯總存款,142760000000
10103,玉山商業銀行,國內銀行,公股存款與其他,4426000000
10103,萬泰商業銀行,國內銀行,活期存款,34919000000
10103,萬泰商業銀行,國內銀行,定期存款,75215000000
10103,萬泰商業銀行,國內銀行,外匯總存款,6602000000
10103,萬泰商業銀行,國內銀行,公股存款與其他,0
10103,星展,國內銀行,活期存款,24093000000
10103,星展,國內銀行,定期存款,108632000000
10103,星展,國內銀行,外匯總存款,28369000000
10103,星展,國內銀行,公股存款與其他,0
10103,台新國際商業銀行,國內銀行,活期存款,242808000000
10103,台新國際商業銀行,國內銀行,定期存款,383404000000
10103,台新國際商業銀行,國內銀行,外匯總存款,143798000000
10103,台新國際商業銀行,國內銀行,公股存款與其他,0
10103,大眾商業銀行,國內銀行,活期存款,87918000000
10103,大眾商業銀行,國內銀行,定期存款,208112000000
10103,大眾商業銀行,國內銀行,外匯總存款,57061000000
10103,大眾商業銀行,國內銀行,公股存款與其他,0
10103,日盛國際商業銀行,國內銀行,活期存款,75258000000
10103,日盛國際商業銀行,國內銀行,定期存款,82192000000
10103,日盛國際商業銀行,國內銀行,外匯總存款,15412000000
10103,日盛國際商業銀行,國內銀行,公股存款與其他,0
10103,安泰商業銀行,國內銀行,活期存款,59665000000
10103,安泰商業銀行,國內銀行,定期存款,214771000000
10103,安泰商業銀行,國內銀行,外匯總存款,28397000000
10103,安泰商業銀行,國內銀行,公股存款與其他,0
10103,中國信託商業銀行,國內銀行,活期存款,575174000000
10103,中國信託商業銀行,國內銀行,定期存款,518773000000
10103,中國信託商業銀行,國內銀行,外匯總存款,326208000000
10103,中國信託商業銀行,國內銀行,公股存款與其他,26382000000
10103,臺灣中小企業銀行,國內銀行,活期存款,431553000000
10103,臺灣中小企業銀行,國內銀行,定期存款,467316000000
10103,臺灣中小企業銀行,國內銀行,外匯總存款,103659000000
10103,臺灣中小企業銀行,國內銀行,公股存款與其他,15486000000
10103,渣打國際商業銀行,國內銀行,活期存款,206254000000
10103,渣打國際商業銀行,國內銀行,定期存款,228883000000
10103,渣打國際商業銀行,國內銀行,外匯總存款,148357000000
10103,渣打國際商業銀行,國內銀行,公股存款與其他,63000000
10103,台中商業銀行,國內銀行,活期存款,149037000000
10103,台中商業銀行,國內銀行,定期存款,176859000000
10103,台中商業銀行,國內銀行,外匯總存款,15684000000
10103,台中商業銀行,國內銀行,公股存款與其他,181000000
10103,京城商業銀行,國內銀行,活期存款,63685000000
10103,京城商業銀行,國內銀行,定期存款,67026000000
10103,京城商業銀行,國內銀行,外匯總存款,6115000000
10103,京城商業銀行,國內銀行,公股存款與其他,0
10103,總計,外國銀行在臺分行（含OBU）,活期存款,137660000000
10103,總計,外國銀行在臺分行（含OBU）,定期存款,162375000000
10103,總計,外國銀行在臺分行（含OBU）,外匯存款,208808000000
10103,總計,外國銀行在臺分行（含OBU）,公股存款與其他,0
10103,日商瑞穗實業銀行,外國銀行在臺分行（含OBU）,活期存款,21624000000
10103,日商瑞穗實業銀行,外國銀行在臺分行（含OBU）,定期存款,19642000000
10103,日商瑞穗實業銀行,外國銀行在臺分行（含OBU）,外匯總存款,22204000000
