年月,銀行,項目,數值
10006,總計,國內銀行,活期存款,9812854000000
10006,總計,國內銀行,定期存款,11974113000000
10006,總計,國內銀行,外匯存款,3908108000000
10006,總計,國內銀行,公股存款與其他,534145000000
10006,臺灣銀行,國內銀行,活期存款,780774000000
10006,臺灣銀行,國內銀行,定期存款,1787790000000
10006,臺灣銀行,國內銀行,外匯總存款,324360000000
10006,臺灣銀行,國內銀行,公股存款與其他,222413000000
10006,臺灣土地銀行,國內銀行,活期存款,488826000000
10006,臺灣土地銀行,國內銀行,定期存款,1122089000000
10006,臺灣土地銀行,國內銀行,外匯總存款,78597000000
10006,臺灣土地銀行,國內銀行,公股存款與其他,155837000000
10006,合作金庫商業銀行,國內銀行,活期存款,859998000000
10006,合作金庫商業銀行,國內銀行,定期存款,1055906000000
10006,合作金庫商業銀行,國內銀行,外匯總存款,181035000000
10006,合作金庫商業銀行,國內銀行,公股存款與其他,67660000000
10006,第一商業銀行,國內銀行,活期存款,741600000000
10006,第一商業銀行,國內銀行,定期存款,515248000000
10006,第一商業銀行,國內銀行,外匯總存款,280696000000
10006,第一商業銀行,國內銀行,公股存款與其他,12933000000
10006,華南商業銀行,國內銀行,活期存款,806436000000
10006,華南商業銀行,國內銀行,定期存款,503904000000
10006,華南商業銀行,國內銀行,外匯總存款,240062000000
10006,華南商業銀行,國內銀行,公股存款與其他,6610000000
10006,彰化商業銀行,國內銀行,活期存款,591029000000
10006,彰化商業銀行,國內銀行,定期存款,459794000000
10006,彰化商業銀行,國內銀行,外匯總存款,185308000000
10006,彰化商業銀行,國內銀行,公股存款與其他,2433000000
10006,上海商業儲蓄銀行,國內銀行,活期存款,158555000000
10006,上海商業儲蓄銀行,國內銀行,定期存款,228408000000
10006,上海商業儲蓄銀行,國內銀行,外匯總存款,165738000000
10006,上海商業儲蓄銀行,國內銀行,公股存款與其他,0
10006,台北富邦銀行,國內銀行,活期存款,460250000000
10006,台北富邦銀行,國內銀行,定期存款,504486000000
10006,台北富邦銀行,國內銀行,外匯總存款,170421000000
10006,台北富邦銀行,國內銀行,公股存款與其他,14035000000
10006,國泰世華商業銀行,國內銀行,活期存款,708367000000
10006,國泰世華商業銀行,國內銀行,定期存款,529361000000
