年月,銀行,銀行類別,項目,數值,英文項目
10210,總計,本國銀行,月均餘額,24090906000000,LN_Aum
10210,臺灣銀行,本國銀行,月均餘額,2203491000000,LN_Aum
10210,臺灣土地銀行,本國銀行,月均餘額,1843212000000,LN_Aum
10210,合作金庫商業銀行,本國銀行,月均餘額,1853739000000,LN_Aum
10210,第一商業銀行,本國銀行,月均餘額,1435572000000,LN_Aum
10210,華南商業銀行,本國銀行,月均餘額,1405623000000,LN_Aum
10210,彰化商業銀行,本國銀行,月均餘額,1137358000000,LN_Aum
10210,上海商業儲蓄銀行,本國銀行,月均餘額,520072000000,LN_Aum
10210,台北富邦銀行,本國銀行,月均餘額,1103722000000,LN_Aum
10210,國泰世華商業銀行,本國銀行,月均餘額,972152000000,LN_Aum
10210,中國輸出入銀行,本國銀行,月均餘額,90608000000,LN_Aum
10210,高雄銀行,本國銀行,月均餘額,170519000000,LN_Aum
10210,兆豐國際商業銀行,本國銀行,月均餘額,1602761000000,LN_Aum
10210,花旗,本國銀行,月均餘額,229805000000,LN_Aum
10210,澳盛,本國銀行,月均餘額,159730000000,LN_Aum
10210,中華開發工業銀行,本國銀行,月均餘額,101447000000,LN_Aum
10210,臺灣工業銀行,本國銀行,月均餘額,93852000000,LN_Aum
10210,匯豐,本國銀行,月均餘額,246575000000,LN_Aum
10210,瑞興商業銀行,本國銀行,月均餘額,37219000000,LN_Aum
10210,華泰商業銀行,本國銀行,月均餘額,79931000000,LN_Aum
10210,臺灣新光商業銀行,本國銀行,月均餘額,444132000000,LN_Aum
10210,陽信商業銀行,本國銀行,月均餘額,201641000000,LN_Aum
10210,板信商業銀行,本國銀行,月均餘額,97499000000,LN_Aum
10210,三信商業銀行,本國銀行,月均餘額,96057000000,LN_Aum
10210,聯邦商業銀行,本國銀行,月均餘額,236010000000,LN_Aum
10210,遠東國際商業銀行,本國銀行,月均餘額,314189000000,LN_Aum
10210,元大商業銀行,本國銀行,月均餘額,390239000000,LN_Aum
10210,永豐商業銀行,本國銀行,月均餘額,760917000000,LN_Aum
10210,玉山商業銀行,本國銀行,月均餘額,816051000000,LN_Aum
10210,萬泰商業銀行,本國銀行,月均餘額,97428000000,LN_Aum
10210,星展,本國銀行,月均餘額,192780000000,LN_Aum
10210,台新國際商業銀行,本國銀行,月均餘額,707420000000,LN_Aum
10210,大眾商業銀行,本國銀行,月均餘額,269256000000,LN_Aum
10210,日盛國際商業銀行,本國銀行,月均餘額,131738000000,LN_Aum
10210,安泰商業銀行,本國銀行,月均餘額,191929000000,LN_Aum
10210,中國信託商業銀行,本國銀行,月均餘額,1176673000000,LN_Aum
10210,臺灣中小企業銀行,本國銀行,月均餘額,986711000000,LN_Aum
10210,渣打國際商業銀行,本國銀行,月均餘額,351008000000,LN_Aum
10210,台中商業銀行,本國銀行,月均餘額,355650000000,LN_Aum
10210,京城商業銀行,本國銀行,月均餘額,107097000000,LN_Aum
10210,外國銀行在臺分行,本國銀行,月均餘額,869760000000,LN_Aum
10210,大陸地區銀行在臺分行,本國銀行,月均餘額,9333000000,LN_Aum
