年月,銀行,銀行類別,項目,數值,欄位名稱
9612,總計,全體總和,對中小企業,3093752000000,LN_SME
9612,總計,全體總和,佔放款%,18.21,LN_SME_RATE
9612,總計,全體總和,市佔率,100.0,MARKET_RATE
9612,中央信託局,本國銀行,對中小企業,0,LN_SME
9612,中央信託局,本國銀行,佔放款%,0.0,LN_SME_RATE
9612,中央信託局,本國銀行,市佔率,0.0,MARKET_RATE
9612,臺灣銀行,本國銀行,對中小企業,185080000000,LN_SME
9612,臺灣銀行,本國銀行,佔放款%,10.14,LN_SME_RATE
9612,臺灣銀行,本國銀行,市佔率,5.98,MARKET_RATE
9612,臺灣土地銀行,本國銀行,對中小企業,177144000000,LN_SME
9612,臺灣土地銀行,本國銀行,佔放款%,12.56,LN_SME_RATE
9612,臺灣土地銀行,本國銀行,市佔率,5.73,MARKET_RATE
9612,合作金庫商業銀行,本國銀行,對中小企業,343144000000,LN_SME
9612,合作金庫商業銀行,本國銀行,佔放款%,20.09,LN_SME_RATE
9612,合作金庫商業銀行,本國銀行,市佔率,11.09,MARKET_RATE
9612,第一商業銀行,本國銀行,對中小企業,328298000000,LN_SME
9612,第一商業銀行,本國銀行,佔放款%,34.96,LN_SME_RATE
9612,第一商業銀行,本國銀行,市佔率,10.61,MARKET_RATE
9612,華南商業銀行,本國銀行,對中小企業,274823000000,LN_SME
9612,華南商業銀行,本國銀行,佔放款%,27.62,LN_SME_RATE
9612,華南商業銀行,本國銀行,市佔率,8.88,MARKET_RATE
9612,彰化商業銀行,本國銀行,對中小企業,215675000000,LN_SME
9612,彰化商業銀行,本國銀行,佔放款%,25.85,LN_SME_RATE
9612,彰化商業銀行,本國銀行,市佔率,6.97,MARKET_RATE
9612,花旗,本國銀行,對中小企業,27203000000,LN_SME
9612,花旗,本國銀行,佔放款%,22.06,LN_SME_RATE
9612,花旗,本國銀行,市佔率,0.88,MARKET_RATE
9612,上海商業儲蓄銀行,本國銀行,對中小企業,66623000000,LN_SME
9612,上海商業儲蓄銀行,本國銀行,佔放款%,27.71,LN_SME_RATE
9612,上海商業儲蓄銀行,本國銀行,市佔率,2.15,MARKET_RATE
9612,台北富邦銀行,本國銀行,對中小企業,85643000000,LN_SME
9612,台北富邦銀行,本國銀行,佔放款%,14.39,LN_SME_RATE
