年月,銀行,銀行類別,項目,數值,欄位名稱
10008,總計,全體總和,對中小企業,4049053000000,LN_SME
10008,總計,全體總和,佔放款%,20.78,LN_SME_RATE
10008,總計,全體總和,市佔率,100.0,MARKET_RATE
10008,臺灣銀行,本國銀行,對中小企業,254754000000,LN_SME
10008,臺灣銀行,本國銀行,佔放款%,12.82,LN_SME_RATE
10008,臺灣銀行,本國銀行,市佔率,6.29,MARKET_RATE
10008,臺灣土地銀行,本國銀行,對中小企業,273469000000,LN_SME
10008,臺灣土地銀行,本國銀行,佔放款%,16.43,LN_SME_RATE
10008,臺灣土地銀行,本國銀行,市佔率,6.75,MARKET_RATE
10008,合作金庫商業銀行,本國銀行,對中小企業,469201000000,LN_SME
10008,合作金庫商業銀行,本國銀行,佔放款%,25.71,LN_SME_RATE
10008,合作金庫商業銀行,本國銀行,市佔率,11.59,MARKET_RATE
10008,第一商業銀行,本國銀行,對中小企業,508977000000,LN_SME
10008,第一商業銀行,本國銀行,佔放款%,42.1,LN_SME_RATE
10008,第一商業銀行,本國銀行,市佔率,12.57,MARKET_RATE
10008,華南商業銀行,本國銀行,對中小企業,354347000000,LN_SME
10008,華南商業銀行,本國銀行,佔放款%,28.99,LN_SME_RATE
10008,華南商業銀行,本國銀行,市佔率,8.75,MARKET_RATE
10008,彰化商業銀行,本國銀行,對中小企業,282360000000,LN_SME
10008,彰化商業銀行,本國銀行,佔放款%,28.02,LN_SME_RATE
10008,彰化商業銀行,本國銀行,市佔率,6.97,MARKET_RATE
10008,上海商業儲蓄銀行,本國銀行,對中小企業,122822000000,LN_SME
10008,上海商業儲蓄銀行,本國銀行,佔放款%,37.03,LN_SME_RATE
10008,上海商業儲蓄銀行,本國銀行,市佔率,3.03,MARKET_RATE
10008,台北富邦銀行,本國銀行,對中小企業,83609000000,LN_SME
10008,台北富邦銀行,本國銀行,佔放款%,10.32,LN_SME_RATE
10008,台北富邦銀行,本國銀行,市佔率,2.06,MARKET_RATE
10008,國泰世華商業銀行,本國銀行,對中小企業,108349000000,LN_SME
10008,國泰世華商業銀行,本國銀行,佔放款%,12.89,LN_SME_RATE
10008,國泰世華商業銀行,本國銀行,市佔率,2.68,MARKET_RATE
10008,中國輸出入銀行,本國銀行,對中小企業,6719000000,LN_SME
10008,中國輸出入銀行,本國銀行,佔放款%,13.61,LN_SME_RATE
10008,中國輸出入銀行,本國銀行,市佔率,0.17,MARKET_RATE
10008,高雄銀行,本國銀行,對中小企業,36055000000,LN_SME
10008,高雄銀行,本國銀行,佔放款%,23.51,LN_SME_RATE
10008,高雄銀行,本國銀行,市佔率,0.89,MARKET_RATE
10008,兆豐國際商業銀行,本國銀行,對中小企業,277129000000,LN_SME
10008,兆豐國際商業銀行,本國銀行,佔放款%,27.9,LN_SME_RATE
10008,兆豐國際商業銀行,本國銀行,市佔率,6.84,MARKET_RATE
10008,花旗,本國銀行,對中小企業,7836000000,LN_SME
10008,花旗,本國銀行,佔放款%,4.64,LN_SME_RATE
10008,花旗,本國銀行,市佔率,0.19,MARKET_RATE
10008,中華開發工業銀行,本國銀行,對中小企業,437000000,LN_SME
10008,中華開發工業銀行,本國銀行,佔放款%,0.66,LN_SME_RATE
10008,中華開發工業銀行,本國銀行,市佔率,0.01,MARKET_RATE
10008,臺灣工業銀行,本國銀行,對中小企業,3925000000,LN_SME
10008,臺灣工業銀行,本國銀行,佔放款%,7.04,LN_SME_RATE
10008,臺灣工業銀行,本國銀行,市佔率,0.1,MARKET_RATE
10008,匯豐,本國銀行,對中小企業,8270000000,LN_SME
10008,匯豐,本國銀行,佔放款%,5.84,LN_SME_RATE
10008,匯豐,本國銀行,市佔率,0.2,MARKET_RATE
10008,大台北商業銀行,本國銀行,對中小企業,1679000000,LN_SME
10008,大台北商業銀行,本國銀行,佔放款%,5.23,LN_SME_RATE
10008,大台北商業銀行,本國銀行,市佔率,0.04,MARKET_RATE
10008,華泰商業銀行,本國銀行,對中小企業,24841000000,LN_SME
10008,華泰商業銀行,本國銀行,佔放款%,27.98,LN_SME_RATE
10008,華泰商業銀行,本國銀行,市佔率,0.61,MARKET_RATE
10008,臺灣新光商業銀行,本國銀行,對中小企業,64942000000,LN_SME
10008,臺灣新光商業銀行,本國銀行,佔放款%,19.23,LN_SME_RATE
10008,臺灣新光商業銀行,本國銀行,市佔率,1.6,MARKET_RATE
10008,陽信商業銀行,本國銀行,對中小企業,32497000000,LN_SME
10008,陽信商業銀行,本國銀行,佔放款%,18.74,LN_SME_RATE
10008,陽信商業銀行,本國銀行,市佔率,0.8,MARKET_RATE
