年月,銀行,銀行類別,項目,數值,欄位名稱
9604,總計,全體總和,對中小企業,2878486000000,LN_SME
9604,總計,全體總和,佔放款%,17.25,LN_SME_RATE
9604,總計,全體總和,市佔率,100.0,MARKET_RATE
9604,中央信託局,本國銀行,對中小企業,3773000000,LN_SME
9604,中央信託局,本國銀行,佔放款%,1.72,LN_SME_RATE
9604,中央信託局,本國銀行,市佔率,0.13,MARKET_RATE
9604,中國農民銀行,本國銀行,對中小企業,0,LN_SME
9604,中國農民銀行,本國銀行,佔放款%,0.0,LN_SME_RATE
9604,中國農民銀行,本國銀行,市佔率,0.0,MARKET_RATE
9604,交通銀行,本國銀行,對中小企業,0,LN_SME
9604,交通銀行,本國銀行,佔放款%,0.0,LN_SME_RATE
9604,交通銀行,本國銀行,市佔率,0.0,MARKET_RATE
9604,臺灣銀行,本國銀行,對中小企業,144287000000,LN_SME
9604,臺灣銀行,本國銀行,佔放款%,9.92,LN_SME_RATE
9604,臺灣銀行,本國銀行,市佔率,5.01,MARKET_RATE
9604,臺灣土地銀行,本國銀行,對中小企業,155138000000,LN_SME
9604,臺灣土地銀行,本國銀行,佔放款%,11.45,LN_SME_RATE
9604,臺灣土地銀行,本國銀行,市佔率,5.39,MARKET_RATE
9604,合作金庫商業銀行,本國銀行,對中小企業,309190000000,LN_SME
9604,合作金庫商業銀行,本國銀行,佔放款%,17.6,LN_SME_RATE
9604,合作金庫商業銀行,本國銀行,市佔率,10.74,MARKET_RATE
9604,第一商業銀行,本國銀行,對中小企業,295115000000,LN_SME
9604,第一商業銀行,本國銀行,佔放款%,33.62,LN_SME_RATE
9604,第一商業銀行,本國銀行,市佔率,10.25,MARKET_RATE
9604,華南商業銀行,本國銀行,對中小企業,255568000000,LN_SME
9604,華南商業銀行,本國銀行,佔放款%,26.37,LN_SME_RATE
9604,華南商業銀行,本國銀行,市佔率,8.88,MARKET_RATE
9604,彰化商業銀行,本國銀行,對中小企業,207561000000,LN_SME
9604,彰化商業銀行,本國銀行,佔放款%,26.2,LN_SME_RATE
9604,彰化商業銀行,本國銀行,市佔率,7.21,MARKET_RATE
9604,華僑商業銀行,本國銀行,對中小企業,34399000000,LN_SME
9604,華僑商業銀行,本國銀行,佔放款%,20.85,LN_SME_RATE
9604,華僑商業銀行,本國銀行,市佔率,1.2,MARKET_RATE
9604,上海商業儲蓄銀行,本國銀行,對中小企業,64047000000,LN_SME
9604,上海商業儲蓄銀行,本國銀行,佔放款%,28.98,LN_SME_RATE
9604,上海商業儲蓄銀行,本國銀行,市佔率,2.23,MARKET_RATE
9604,台北富邦銀行,本國銀行,對中小企業,72605000000,LN_SME
9604,台北富邦銀行,本國銀行,佔放款%,11.46,LN_SME_RATE
9604,台北富邦銀行,本國銀行,市佔率,2.52,MARKET_RATE
9604,國泰世華商業銀行,本國銀行,對中小企業,75757000000,LN_SME
9604,國泰世華商業銀行,本國銀行,佔放款%,10.9,LN_SME_RATE
9604,國泰世華商業銀行,本國銀行,市佔率,2.63,MARKET_RATE
9604,中國輸出入銀行,本國銀行,對中小企業,3670000000,LN_SME
9604,中國輸出入銀行,本國銀行,佔放款%,17.96,LN_SME_RATE
9604,中國輸出入銀行,本國銀行,市佔率,0.13,MARKET_RATE
9604,高雄銀行,本國銀行,對中小企業,21640000000,LN_SME
9604,高雄銀行,本國銀行,佔放款%,20.93,LN_SME_RATE
9604,高雄銀行,本國銀行,市佔率,0.75,MARKET_RATE
9604,兆豐國際商業銀行,本國銀行,對中小企業,168208000000,LN_SME
9604,兆豐國際商業銀行,本國銀行,佔放款%,19.26,LN_SME_RATE
9604,兆豐國際商業銀行,本國銀行,市佔率,5.84,MARKET_RATE
9604,中華開發工業銀行,本國銀行,對中小企業,3712000000,LN_SME
9604,中華開發工業銀行,本國銀行,佔放款%,5.43,LN_SME_RATE
9604,中華開發工業銀行,本國銀行,市佔率,0.13,MARKET_RATE
9604,臺灣工業銀行,本國銀行,對中小企業,4203000000,LN_SME
9604,臺灣工業銀行,本國銀行,佔放款%,9.04,LN_SME_RATE
9604,臺灣工業銀行,本國銀行,市佔率,0.15,MARKET_RATE
9604,華泰商業銀行,本國銀行,對中小企業,12377000000,LN_SME
9604,華泰商業銀行,本國銀行,佔放款%,15.78,LN_SME_RATE
9604,華泰商業銀行,本國銀行,市佔率,0.43,MARKET_RATE
9604,臺灣新光商業銀行,本國銀行,對中小企業,21722000000,LN_SME
