年月,銀行,銀行類別,項目,數值
9805,總計,全體總和,對中小企業,3004629000000
9805,總計,全體總和,佔放款%,17.73
9805,總計,全體總和,市佔率,100.0
9805,臺灣銀行,本國銀行,對中小企業,215103000000
9805,臺灣銀行,本國銀行,佔放款%,11.35
9805,臺灣銀行,本國銀行,市佔率,7.16
9805,臺灣土地銀行,本國銀行,對中小企業,191379000000
9805,臺灣土地銀行,本國銀行,佔放款%,12.87
9805,臺灣土地銀行,本國銀行,市佔率,6.37
9805,合作金庫商業銀行,本國銀行,對中小企業,383010000000
9805,合作金庫商業銀行,本國銀行,佔放款%,22.38
9805,合作金庫商業銀行,本國銀行,市佔率,12.75
9805,第一商業銀行,本國銀行,對中小企業,315210000000
9805,第一商業銀行,本國銀行,佔放款%,32.89
9805,第一商業銀行,本國銀行,市佔率,10.49
9805,華南商業銀行,本國銀行,對中小企業,270163000000
9805,華南商業銀行,本國銀行,佔放款%,26.98
9805,華南商業銀行,本國銀行,市佔率,8.99
9805,彰化商業銀行,本國銀行,對中小企業,211922000000
9805,彰化商業銀行,本國銀行,佔放款%,24.73
9805,彰化商業銀行,本國銀行,市佔率,7.05
9805,花旗,本國銀行,對中小企業,8108000000
9805,花旗,本國銀行,佔放款%,16.28
9805,花旗,本國銀行,市佔率,0.27
9805,上海商業儲蓄銀行,本國銀行,對中小企業,70569000000
9805,上海商業儲蓄銀行,本國銀行,佔放款%,28.13
9805,上海商業儲蓄銀行,本國銀行,市佔率,2.35
9805,台北富邦銀行,本國銀行,對中小企業,75158000000
9805,台北富邦銀行,本國銀行,佔放款%,10.19
9805,台北富邦銀行,本國銀行,市佔率,2.5
9805,國泰世華商業銀行,本國銀行,對中小企業,80900000000
9805,國泰世華商業銀行,本國銀行,佔放款%,12.0
9805,國泰世華商業銀行,本國銀行,市佔率,2.69
9805,中國輸出入銀行,本國銀行,對中小企業,4248000000
9805,中國輸出入銀行,本國銀行,佔放款%,10.53
9805,中國輸出入銀行,本國銀行,市佔率,0.14
9805,高雄銀行,本國銀行,對中小企業,23479000000
