年月,銀行,銀行類別,項目,數值,欄位名稱
10102,總計,全體總和,對中小企業,4093306000000,LN_SME
10102,總計,全體總和,佔放款%,20.68,LN_SME_RATE
10102,總計,全體總和,市佔率,100.0,MARKET_RATE
10102,臺灣銀行,本國銀行,對中小企業,264207000000,LN_SME
10102,臺灣銀行,本國銀行,佔放款%,12.8,LN_SME_RATE
10102,臺灣銀行,本國銀行,市佔率,6.45,MARKET_RATE
10102,臺灣土地銀行,本國銀行,對中小企業,298663000000,LN_SME
10102,臺灣土地銀行,本國銀行,佔放款%,17.28,LN_SME_RATE
10102,臺灣土地銀行,本國銀行,市佔率,7.3,MARKET_RATE
10102,合作金庫商業銀行,本國銀行,對中小企業,478301000000,LN_SME
10102,合作金庫商業銀行,本國銀行,佔放款%,26.63,LN_SME_RATE
10102,合作金庫商業銀行,本國銀行,市佔率,11.68,MARKET_RATE
10102,第一商業銀行,本國銀行,對中小企業,488109000000,LN_SME
10102,第一商業銀行,本國銀行,佔放款%,40.2,LN_SME_RATE
10102,第一商業銀行,本國銀行,市佔率,11.92,MARKET_RATE
10102,華南商業銀行,本國銀行,對中小企業,343660000000,LN_SME
10102,華南商業銀行,本國銀行,佔放款%,27.7,LN_SME_RATE
10102,華南商業銀行,本國銀行,市佔率,8.4,MARKET_RATE
10102,彰化商業銀行,本國銀行,對中小企業,292392000000,LN_SME
10102,彰化商業銀行,本國銀行,佔放款%,28.43,LN_SME_RATE
10102,彰化商業銀行,本國銀行,市佔率,7.14,MARKET_RATE
10102,上海商業儲蓄銀行,本國銀行,對中小企業,122318000000,LN_SME
10102,上海商業儲蓄銀行,本國銀行,佔放款%,36.87,LN_SME_RATE
10102,上海商業儲蓄銀行,本國銀行,市佔率,2.99,MARKET_RATE
10102,台北富邦銀行,本國銀行,對中小企業,82900000000,LN_SME
10102,台北富邦銀行,本國銀行,佔放款%,9.3,LN_SME_RATE
10102,台北富邦銀行,本國銀行,市佔率,2.03,MARKET_RATE
10102,國泰世華商業銀行,本國銀行,對中小企業,108212000000,LN_SME
10102,國泰世華商業銀行,本國銀行,佔放款%,12.51,LN_SME_RATE
10102,國泰世華商業銀行,本國銀行,市佔率,2.64,MARKET_RATE
10102,中國輸出入銀行,本國銀行,對中小企業,5435000000,LN_SME
10102,中國輸出入銀行,本國銀行,佔放款%,11.02,LN_SME_RATE
10102,中國輸出入銀行,本國銀行,市佔率,0.13,MARKET_RATE
10102,高雄銀行,本國銀行,對中小企業,39793000000,LN_SME
