年月,銀行,銀行類別,項目,數值,欄位名稱
10112,總計,全體總和,對中小企業,4465462000000,LN_SME
10112,總計,全體總和,佔放款%,22.13,LN_SME_RATE
10112,總計,全體總和,市佔率,100.0,MARKET_RATE
10112,臺灣銀行,本國銀行,對中小企業,284140000000,LN_SME
10112,臺灣銀行,本國銀行,佔放款%,13.96,LN_SME_RATE
10112,臺灣銀行,本國銀行,市佔率,6.36,MARKET_RATE
10112,臺灣土地銀行,本國銀行,對中小企業,314457000000,LN_SME
10112,臺灣土地銀行,本國銀行,佔放款%,18.42,LN_SME_RATE
10112,臺灣土地銀行,本國銀行,市佔率,7.04,MARKET_RATE
10112,合作金庫商業銀行,本國銀行,對中小企業,484838000000,LN_SME
10112,合作金庫商業銀行,本國銀行,佔放款%,27.91,LN_SME_RATE
10112,合作金庫商業銀行,本國銀行,市佔率,10.86,MARKET_RATE
10112,第一商業銀行,本國銀行,對中小企業,523496000000,LN_SME
10112,第一商業銀行,本國銀行,佔放款%,41.92,LN_SME_RATE
10112,第一商業銀行,本國銀行,市佔率,11.72,MARKET_RATE
10112,華南商業銀行,本國銀行,對中小企業,366218000000,LN_SME
10112,華南商業銀行,本國銀行,佔放款%,29.24,LN_SME_RATE
10112,華南商業銀行,本國銀行,市佔率,8.2,MARKET_RATE
10112,彰化商業銀行,本國銀行,對中小企業,309486000000,LN_SME
10112,彰化商業銀行,本國銀行,佔放款%,30.53,LN_SME_RATE
10112,彰化商業銀行,本國銀行,市佔率,6.93,MARKET_RATE
10112,上海商業儲蓄銀行,本國銀行,對中小企業,137293000000,LN_SME
10112,上海商業儲蓄銀行,本國銀行,佔放款%,37.83,LN_SME_RATE
10112,上海商業儲蓄銀行,本國銀行,市佔率,3.07,MARKET_RATE
10112,台北富邦銀行,本國銀行,對中小企業,85099000000,LN_SME
10112,台北富邦銀行,本國銀行,佔放款%,9.44,LN_SME_RATE
10112,台北富邦銀行,本國銀行,市佔率,1.91,MARKET_RATE
10112,國泰世華商業銀行,本國銀行,對中小企業,107276000000,LN_SME
10112,國泰世華商業銀行,本國銀行,佔放款%,12.41,LN_SME_RATE
10112,國泰世華商業銀行,本國銀行,市佔率,2.4,MARKET_RATE
10112,中國輸出入銀行,本國銀行,對中小企業,6270000000,LN_SME
10112,中國輸出入銀行,本國銀行,佔放款%,12.47,LN_SME_RATE
10112,中國輸出入銀行,本國銀行,市佔率,0.14,MARKET_RATE
10112,高雄銀行,本國銀行,對中小企業,40701000000,LN_SME
10112,高雄銀行,本國銀行,佔放款%,26.52,LN_SME_RATE
10112,高雄銀行,本國銀行,市佔率,0.91,MARKET_RATE
10112,兆豐國際商業銀行,本國銀行,對中小企業,290918000000,LN_SME
10112,兆豐國際商業銀行,本國銀行,佔放款%,28.48,LN_SME_RATE
10112,兆豐國際商業銀行,本國銀行,市佔率,6.51,MARKET_RATE
10112,花旗,本國銀行,對中小企業,7418000000,LN_SME
10112,花旗,本國銀行,佔放款%,4.58,LN_SME_RATE
10112,花旗,本國銀行,市佔率,0.17,MARKET_RATE
10112,中華開發工業銀行,本國銀行,對中小企業,268000000,LN_SME
10112,中華開發工業銀行,本國銀行,佔放款%,0.41,LN_SME_RATE
10112,中華開發工業銀行,本國銀行,市佔率,0.01,MARKET_RATE
10112,臺灣工業銀行,本國銀行,對中小企業,1826000000,LN_SME
10112,臺灣工業銀行,本國銀行,佔放款%,2.86,LN_SME_RATE
10112,臺灣工業銀行,本國銀行,市佔率,0.04,MARKET_RATE
10112,匯豐,本國銀行,對中小企業,3846000000,LN_SME
10112,匯豐,本國銀行,佔放款%,2.13,LN_SME_RATE
10112,匯豐,本國銀行,市佔率,0.09,MARKET_RATE
10112,大台北商業銀行,本國銀行,對中小企業,3388000000,LN_SME
10112,大台北商業銀行,本國銀行,佔放款%,9.29,LN_SME_RATE
10112,大台北商業銀行,本國銀行,市佔率,0.08,MARKET_RATE
10112,華泰商業銀行,本國銀行,對中小企業,28637000000,LN_SME
10112,華泰商業銀行,本國銀行,佔放款%,32.83,LN_SME_RATE
10112,華泰商業銀行,本國銀行,市佔率,0.64,MARKET_RATE
10112,臺灣新光商業銀行,本國銀行,對中小企業,110268000000,LN_SME
10112,臺灣新光商業銀行,本國銀行,佔放款%,28.41,LN_SME_RATE
10112,臺灣新光商業銀行,本國銀行,市佔率,2.47,MARKET_RATE
10112,陽信商業銀行,本國銀行,對中小企業,53604000000,LN_SME
10112,陽信商業銀行,本國銀行,佔放款%,28.81,LN_SME_RATE
10112,陽信商業銀行,本國銀行,市佔率,1.2,MARKET_RATE
10112,板信商業銀行,本國銀行,對中小企業,21019000000,LN_SME
10112,板信商業銀行,本國銀行,佔放款%,22.31,LN_SME_RATE
10112,板信商業銀行,本國銀行,市佔率,0.47,MARKET_RATE
10112,三信商業銀行,本國銀行,對中小企業,16543000000,LN_SME
10112,三信商業銀行,本國銀行,佔放款%,18.42,LN_SME_RATE
10112,三信商業銀行,本國銀行,市佔率,0.37,MARKET_RATE
10112,聯邦商業銀行,本國銀行,對中小企業,31331000000,LN_SME
10112,聯邦商業銀行,本國銀行,佔放款%,15.56,LN_SME_RATE
10112,聯邦商業銀行,本國銀行,市佔率,0.7,MARKET_RATE
10112,遠東國際商業銀行,本國銀行,對中小企業,14123000000,LN_SME
10112,遠東國際商業銀行,本國銀行,佔放款%,5.44,LN_SME_RATE
10112,遠東國際商業銀行,本國銀行,市佔率,0.32,MARKET_RATE
