年月,銀行,銀行類別,項目,數值,欄位名稱
9903,總計,全體總和,對中小企業,3231017000000,LN_SME
9903,總計,全體總和,佔放款%,18.46,LN_SME_RATE
9903,總計,全體總和,市佔率,100.0,MARKET_RATE
9903,臺灣銀行,本國銀行,對中小企業,222360000000,LN_SME
9903,臺灣銀行,本國銀行,佔放款%,11.51,LN_SME_RATE
9903,臺灣銀行,本國銀行,市佔率,6.88,MARKET_RATE
9903,臺灣土地銀行,本國銀行,對中小企業,220203000000,LN_SME
9903,臺灣土地銀行,本國銀行,佔放款%,14.33,LN_SME_RATE
9903,臺灣土地銀行,本國銀行,市佔率,6.82,MARKET_RATE
9903,合作金庫商業銀行,本國銀行,對中小企業,400856000000,LN_SME
9903,合作金庫商業銀行,本國銀行,佔放款%,23.73,LN_SME_RATE
9903,合作金庫商業銀行,本國銀行,市佔率,12.41,MARKET_RATE
9903,第一商業銀行,本國銀行,對中小企業,378718000000,LN_SME
9903,第一商業銀行,本國銀行,佔放款%,38.49,LN_SME_RATE
9903,第一商業銀行,本國銀行,市佔率,11.72,MARKET_RATE
9903,華南商業銀行,本國銀行,對中小企業,281042000000,LN_SME
9903,華南商業銀行,本國銀行,佔放款%,27.15,LN_SME_RATE
9903,華南商業銀行,本國銀行,市佔率,8.7,MARKET_RATE
9903,彰化商業銀行,本國銀行,對中小企業,218756000000,LN_SME
9903,彰化商業銀行,本國銀行,佔放款%,23.99,LN_SME_RATE
9903,彰化商業銀行,本國銀行,市佔率,6.77,MARKET_RATE
9903,上海商業儲蓄銀行,本國銀行,對中小企業,82131000000,LN_SME
9903,上海商業儲蓄銀行,本國銀行,佔放款%,29.71,LN_SME_RATE
9903,上海商業儲蓄銀行,本國銀行,市佔率,2.54,MARKET_RATE
9903,台北富邦銀行,本國銀行,對中小企業,68307000000,LN_SME
9903,台北富邦銀行,本國銀行,佔放款%,8.42,LN_SME_RATE
9903,台北富邦銀行,本國銀行,市佔率,2.11,MARKET_RATE
9903,國泰世華商業銀行,本國銀行,對中小企業,76391000000,LN_SME
9903,國泰世華商業銀行,本國銀行,佔放款%,10.79,LN_SME_RATE
9903,國泰世華商業銀行,本國銀行,市佔率,2.36,MARKET_RATE
9903,中國輸出入銀行,本國銀行,對中小企業,5390000000,LN_SME
9903,中國輸出入銀行,本國銀行,佔放款%,11.46,LN_SME_RATE
9903,中國輸出入銀行,本國銀行,市佔率,0.17,MARKET_RATE
9903,高雄銀行,本國銀行,對中小企業,28189000000,LN_SME
9903,高雄銀行,本國銀行,佔放款%,19.94,LN_SME_RATE
9903,高雄銀行,本國銀行,市佔率,0.87,MARKET_RATE
9903,兆豐國際商業銀行,本國銀行,對中小企業,211672000000,LN_SME
9903,兆豐國際商業銀行,本國銀行,佔放款%,24.09,LN_SME_RATE
9903,兆豐國際商業銀行,本國銀行,市佔率,6.55,MARKET_RATE
9903,花旗,本國銀行,對中小企業,6302000000,LN_SME
9903,花旗,本國銀行,佔放款%,5.08,LN_SME_RATE
9903,花旗,本國銀行,市佔率,0.2,MARKET_RATE
9903,中華開發工業銀行,本國銀行,對中小企業,2063000000,LN_SME
9903,中華開發工業銀行,本國銀行,佔放款%,3.51,LN_SME_RATE
9903,中華開發工業銀行,本國銀行,市佔率,0.06,MARKET_RATE
9903,臺灣工業銀行,本國銀行,對中小企業,2499000000,LN_SME
9903,臺灣工業銀行,本國銀行,佔放款%,4.82,LN_SME_RATE
9903,臺灣工業銀行,本國銀行,市佔率,0.08,MARKET_RATE
9903,大台北商業銀行,本國銀行,對中小企業,1679000000,LN_SME
9903,大台北商業銀行,本國銀行,佔放款%,6.55,LN_SME_RATE
9903,大台北商業銀行,本國銀行,市佔率,0.05,MARKET_RATE
9903,華泰商業銀行,本國銀行,對中小企業,18193000000,LN_SME
9903,華泰商業銀行,本國銀行,佔放款%,21.89,LN_SME_RATE
9903,華泰商業銀行,本國銀行,市佔率,0.56,MARKET_RATE
9903,臺灣新光商業銀行,本國銀行,對中小企業,32140000000,LN_SME
9903,臺灣新光商業銀行,本國銀行,佔放款%,11.5,LN_SME_RATE
9903,臺灣新光商業銀行,本國銀行,市佔率,0.99,MARKET_RATE
9903,陽信商業銀行,本國銀行,對中小企業,23567000000,LN_SME
9903,陽信商業銀行,本國銀行,佔放款%,14.53,LN_SME_RATE
9903,陽信商業銀行,本國銀行,市佔率,0.73,MARKET_RATE
9903,板信商業銀行,本國銀行,對中小企業,17405000000,LN_SME
9903,板信商業銀行,本國銀行,佔放款%,15.67,LN_SME_RATE
9903,板信商業銀行,本國銀行,市佔率,0.54,MARKET_RATE
9903,三信商業銀行,本國銀行,對中小企業,10418000000,LN_SME
9903,三信商業銀行,本國銀行,佔放款%,13.39,LN_SME_RATE
9903,三信商業銀行,本國銀行,市佔率,0.32,MARKET_RATE
9903,聯邦商業銀行,本國銀行,對中小企業,21771000000,LN_SME
9903,聯邦商業銀行,本國銀行,佔放款%,12.58,LN_SME_RATE
9903,聯邦商業銀行,本國銀行,市佔率,0.67,MARKET_RATE
9903,遠東國際商業銀行,本國銀行,對中小企業,9288000000,LN_SME
9903,遠東國際商業銀行,本國銀行,佔放款%,4.71,LN_SME_RATE
9903,遠東國際商業銀行,本國銀行,市佔率,0.29,MARKET_RATE
9903,元大商業銀行,本國銀行,對中小企業,43035000000,LN_SME
9903,元大商業銀行,本國銀行,佔放款%,17.71,LN_SME_RATE
9903,元大商業銀行,本國銀行,市佔率,1.33,MARKET_RATE
9903,永豐商業銀行,本國銀行,對中小企業,87160000000,LN_SME
9903,永豐商業銀行,本國銀行,佔放款%,14.65,LN_SME_RATE
9903,永豐商業銀行,本國銀行,市佔率,2.7,MARKET_RATE
9903,玉山商業銀行,本國銀行,對中小企業,120673000000,LN_SME
9903,玉山商業銀行,本國銀行,佔放款%,22.19,LN_SME_RATE
9903,玉山商業銀行,本國銀行,市佔率,3.73,MARKET_RATE
9903,萬泰商業銀行,本國銀行,對中小企業,15460000000,LN_SME
9903,萬泰商業銀行,本國銀行,佔放款%,21.81,LN_SME_RATE
9903,萬泰商業銀行,本國銀行,市佔率,0.48,MARKET_RATE
9903,台新國際商業銀行,本國銀行,對中小企業,36906000000,LN_SME
9903,台新國際商業銀行,本國銀行,佔放款%,7.92,LN_SME_RATE
9903,台新國際商業銀行,本國銀行,市佔率,1.14,MARKET_RATE
9903,大眾商業銀行,本國銀行,對中小企業,5368000000,LN_SME
9903,大眾商業銀行,本國銀行,佔放款%,2.47,LN_SME_RATE
9903,大眾商業銀行,本國銀行,市佔率,0.17,MARKET_RATE
9903,日盛國際商業銀行,本國銀行,對中小企業,10559000000,LN_SME
9903,日盛國際商業銀行,本國銀行,佔放款%,9.11,LN_SME_RATE
9903,日盛國際商業銀行,本國銀行,市佔率,0.33,MARKET_RATE
9903,安泰商業銀行,本國銀行,對中小企業,49257000000,LN_SME
9903,安泰商業銀行,本國銀行,佔放款%,25.61,LN_SME_RATE
9903,安泰商業銀行,本國銀行,市佔率,1.52,MARKET_RATE
9903,中國信託商業銀行,本國銀行,對中小企業,58715000000,LN_SME
9903,中國信託商業銀行,本國銀行,佔放款%,7.8,LN_SME_RATE
9903,中國信託商業銀行,本國銀行,市佔率,1.82,MARKET_RATE
9903,慶豐商業銀行,本國銀行,對中小企業,2046000000,LN_SME
9903,慶豐商業銀行,本國銀行,佔放款%,15.2,LN_SME_RATE
9903,慶豐商業銀行,本國銀行,市佔率,0.06,MARKET_RATE
9903,臺灣中小企業銀行,本國銀行,對中小企業,303351000000,LN_SME
9903,臺灣中小企業銀行,本國銀行,佔放款%,35.87,LN_SME_RATE
9903,臺灣中小企業銀行,本國銀行,市佔率,9.39,MARKET_RATE
9903,渣打國際商業銀行,本國銀行,對中小企業,22031000000,LN_SME
9903,渣打國際商業銀行,本國銀行,佔放款%,6.97,LN_SME_RATE
9903,渣打國際商業銀行,本國銀行,市佔率,0.68,MARKET_RATE
9903,台中商業銀行,本國銀行,對中小企業,78009000000,LN_SME
9903,台中商業銀行,本國銀行,佔放款%,34.69,LN_SME_RATE
9903,台中商業銀行,本國銀行,市佔率,2.41,MARKET_RATE
9903,京城商業銀行,本國銀行,對中小企業,20603000000,LN_SME
9903,京城商業銀行,本國銀行,佔放款%,22.05,LN_SME_RATE
9903,京城商業銀行,本國銀行,市佔率,0.64,MARKET_RATE
9903,外國銀行在台分行,本國銀行,對中小企業,38501000000,LN_SME
9903,外國銀行在台分行,本國銀行,佔放款%,7.5,LN_SME_RATE
9903,外國銀行在台分行,本國銀行,市佔率,1.19,MARKET_RATE
