年月,銀行,銀行類別,項目,數值,英文項目
9507,聯邦商業銀行,海外外匯定期存款,海外外匯定期存款,5131000000,FY_OS
9507,中華商業銀行,國內外匯活期存款,國內外匯活期存款,1150000000,My_Country
9507,中華商業銀行,國內外匯定期存款,國內外匯定期存款,4713000000,Fy_Country
9507,中華商業銀行,海外外匯活期存款,海外外匯活期存款,263000000,MY_OS
9507,中華商業銀行,海外外匯定期存款,海外外匯定期存款,463000000,FY_OS
9507,遠東國際商業銀行,國內外匯活期存款,國內外匯活期存款,3539000000,My_Country
9507,遠東國際商業銀行,國內外匯定期存款,國內外匯定期存款,12263000000,Fy_Country
9507,遠東國際商業銀行,海外外匯活期存款,海外外匯活期存款,3103000000,MY_OS
9507,遠東國際商業銀行,海外外匯定期存款,海外外匯定期存款,12351000000,FY_OS
9507,復華商業銀行,國內外匯活期存款,國內外匯活期存款,3223000000,My_Country
9507,復華商業銀行,國內外匯定期存款,國內外匯定期存款,10048000000,Fy_Country
9507,復華商業銀行,海外外匯活期存款,海外外匯活期存款,1099000000,MY_OS
9507,復華商業銀行,海外外匯定期存款,海外外匯定期存款,3288000000,FY_OS
9507,建華商業銀行,國內外匯活期存款,國內外匯活期存款,16061000000,My_Country
9507,建華商業銀行,國內外匯定期存款,國內外匯定期存款,27754000000,Fy_Country
9507,建華商業銀行,海外外匯活期存款,海外外匯活期存款,19875000000,MY_OS
9507,建華商業銀行,海外外匯定期存款,海外外匯定期存款,32791000000,FY_OS
9507,玉山商業銀行,國內外匯活期存款,國內外匯活期存款,7590000000,My_Country
9507,玉山商業銀行,國內外匯定期存款,國內外匯定期存款,25842000000,Fy_Country
9507,玉山商業銀行,海外外匯活期存款,海外外匯活期存款,5783000000,MY_OS
9507,玉山商業銀行,海外外匯定期存款,海外外匯定期存款,14466000000,FY_OS
9507,萬泰商業銀行,國內外匯活期存款,國內外匯活期存款,1352000000,My_Country
9507,萬泰商業銀行,國內外匯定期存款,國內外匯定期存款,2598000000,Fy_Country
9507,萬泰商業銀行,海外外匯活期存款,海外外匯活期存款,352000000,MY_OS
9507,萬泰商業銀行,海外外匯定期存款,海外外匯定期存款,454000000,FY_OS
9507,寶華商業銀行,國內外匯活期存款,國內外匯活期存款,824000000,My_Country
9507,寶華商業銀行,國內外匯定期存款,國內外匯定期存款,3296000000,Fy_Country
