年月,銀行,項目,數值
10008,總計,全行外匯活期存款,2159740000000
10008,總計,全行外匯定期存款,2007754000000
10008,總計,全行外匯總存款,4167494000000
10008,臺灣銀行,全行外匯活期存款,91777000000
10008,臺灣銀行,全行外匯定期存款,227057000000
10008,臺灣銀行,全行外匯總存款,318834000000
10008,臺灣土地銀行,全行外匯活期存款,23191000000
10008,臺灣土地銀行,全行外匯定期存款,51354000000
10008,臺灣土地銀行,全行外匯總存款,74545000000
10008,合作金庫商業銀行,全行外匯活期存款,76180000000
10008,合作金庫商業銀行,全行外匯定期存款,116840000000
10008,合作金庫商業銀行,全行外匯總存款,193020000000
10008,第一商業銀行,全行外匯活期存款,132951000000
10008,第一商業銀行,全行外匯定期存款,140798000000
10008,第一商業銀行,全行外匯總存款,273749000000
10008,華南商業銀行,全行外匯活期存款,126596000000
10008,華南商業銀行,全行外匯定期存款,108211000000
10008,華南商業銀行,全行外匯總存款,234807000000
10008,彰化商業銀行,全行外匯活期存款,82795000000
10008,彰化商業銀行,全行外匯定期存款,86011000000
10008,彰化商業銀行,全行外匯總存款,168806000000
10008,上海商業儲蓄銀行,全行外匯活期存款,79576000000
10008,上海商業儲蓄銀行,全行外匯定期存款,88443000000
10008,上海商業儲蓄銀行,全行外匯總存款,168019000000
10008,台北富邦銀行,全行外匯活期存款,95537000000
10008,台北富邦銀行,全行外匯定期存款,89791000000
10008,台北富邦銀行,全行外匯總存款,185328000000
10008,國泰世華商業銀行,全行外匯活期存款,91095000000
10008,國泰世華商業銀行,全行外匯定期存款,87842000000
10008,國泰世華商業銀行,全行外匯總存款,178937000000
10008,中國輸出入銀行,全行外匯活期存款,0
10008,中國輸出入銀行,全行外匯定期存款,0
10008,中國輸出入銀行,全行外匯總存款,0
10008,高雄銀行,全行外匯活期存款,3522000000
10008,高雄銀行,全行外匯定期存款,4697000000
10008,高雄銀行,全行外匯總存款,8219000000
10008,兆豐國際商業銀行,全行外匯活期存款,278655000000
10008,兆豐國際商業銀行,全行外匯定期存款,282186000000
10008,兆豐國際商業銀行,全行外匯總存款,560841000000
10008,花旗,全行外匯活期存款,242653000000
10008,花旗,全行外匯定期存款,33482000000
10008,花旗,全行外匯總存款,276136000000
10008,中華開發工業銀行,全行外匯活期存款,4072000000
10008,中華開發工業銀行,全行外匯定期存款,21930000000
