年月,銀行,銀行類別,項目,數值,英文項目
9510,總計,全行外匯活期存款,總外匯活期存款,949153000000,My_TOT
9510,總計,全行外匯定期存款,總外匯定期存款,1803911000000,FY_TOT
9510,中央信託局,全行外匯活期存款,總外匯活期存款,1909000000,My_TOT
9510,中央信託局,全行外匯定期存款,總外匯定期存款,13350000000,FY_TOT
9510,中國農民銀行,全行外匯活期存款,總外匯活期存款,0,My_TOT
9510,中國農民銀行,全行外匯定期存款,總外匯定期存款,0,FY_TOT
9510,交通銀行,全行外匯活期存款,總外匯活期存款,0,My_TOT
9510,交通銀行,全行外匯定期存款,總外匯定期存款,0,FY_TOT
9510,臺灣銀行,全行外匯活期存款,總外匯活期存款,33313000000,My_TOT
9510,臺灣銀行,全行外匯定期存款,總外匯定期存款,122570000000,FY_TOT
9510,臺灣土地銀行,全行外匯活期存款,總外匯活期存款,11630000000,My_TOT
9510,臺灣土地銀行,全行外匯定期存款,總外匯定期存款,44642000000,FY_TOT
9510,合作金庫商業銀行,全行外匯活期存款,總外匯活期存款,27011000000,My_TOT
9510,合作金庫商業銀行,全行外匯定期存款,總外匯定期存款,64632000000,FY_TOT
9510,第一商業銀行,全行外匯活期存款,總外匯活期存款,59260000000,My_TOT
9510,第一商業銀行,全行外匯定期存款,總外匯定期存款,100169000000,FY_TOT
9510,華南商業銀行,全行外匯活期存款,總外匯活期存款,69248000000,My_TOT
9510,華南商業銀行,全行外匯定期存款,總外匯定期存款,110050000000,FY_TOT
9510,彰化商業銀行,全行外匯活期存款,總外匯活期存款,48508000000,My_TOT
9510,彰化商業銀行,全行外匯定期存款,總外匯定期存款,77721000000,FY_TOT
9510,華僑商業銀行,全行外匯活期存款,總外匯活期存款,19469000000,My_TOT
9510,華僑商業銀行,全行外匯定期存款,總外匯定期存款,28738000000,FY_TOT
9510,上海商業儲蓄銀行,全行外匯活期存款,總外匯活期存款,42685000000,My_TOT
9510,上海商業儲蓄銀行,全行外匯定期存款,總外匯定期存款,62675000000,FY_TOT
9510,台北富邦銀行,全行外匯活期存款,總外匯活期存款,22688000000,My_TOT
9510,台北富邦銀行,全行外匯定期存款,總外匯定期存款,56990000000,FY_TOT
9510,國泰世華商業銀行,全行外匯活期存款,總外匯活期存款,18621000000,My_TOT
9510,國泰世華商業銀行,全行外匯定期存款,總外匯定期存款,42367000000,FY_TOT
9510,中國輸出入銀行,全行外匯活期存款,總外匯活期存款,0,My_TOT
9510,中國輸出入銀行,全行外匯定期存款,總外匯定期存款,0,FY_TOT
9510,高雄銀行,全行外匯活期存款,總外匯活期存款,1812000000,My_TOT
9510,高雄銀行,全行外匯定期存款,總外匯定期存款,3517000000,FY_TOT
9510,兆豐國際商業銀行,全行外匯活期存款,總外匯活期存款,136938000000,My_TOT
9510,兆豐國際商業銀行,全行外匯定期存款,總外匯定期存款,260983000000,FY_TOT
9510,中華開發工業銀行,全行外匯活期存款,總外匯活期存款,4456000000,My_TOT
