年月,銀行,項目,數值
9602,日盛國際商業銀行,全行外匯活期存款,3808000000
9602,日盛國際商業銀行,全行外匯定期存款,6292000000
9602,日盛國際商業銀行,全行外匯總存款,10100000000
9602,安泰商業銀行,全行外匯活期存款,3018000000
9602,安泰商業銀行,全行外匯定期存款,9035000000
9602,安泰商業銀行,全行外匯總存款,12052000000
9602,中國信託商業銀行,全行外匯活期存款,80329000000
9602,中國信託商業銀行,全行外匯定期存款,139852000000
9602,中國信託商業銀行,全行外匯總存款,220180000000
9602,慶豐商業銀行,全行外匯活期存款,2440000000
9602,慶豐商業銀行,全行外匯定期存款,4073000000
9602,慶豐商業銀行,全行外匯總存款,6513000000
9602,臺灣中小企業銀行,全行外匯活期存款,29241000000
9602,臺灣中小企業銀行,全行外匯定期存款,43823000000
9602,臺灣中小企業銀行,全行外匯總存款,73064000000
9602,臺北國際商業銀行,全行外匯活期存款,0
9602,臺北國際商業銀行,全行外匯定期存款,0
9602,臺北國際商業銀行,全行外匯總存款,0
9602,新竹國際商業銀行,全行外匯活期存款,6405000000
9602,新竹國際商業銀行,全行外匯定期存款,10459000000
9602,新竹國際商業銀行,全行外匯總存款,16864000000
9602,臺中商業銀行,全行外匯活期存款,1923000000
9602,臺中商業銀行,全行外匯定期存款,3717000000
9602,臺中商業銀行,全行外匯總存款,5641000000
9602,京城商業銀行,全行外匯活期存款,869000000
9602,京城商業銀行,全行外匯定期存款,1866000000
9602,京城商業銀行,全行外匯總存款,2735000000
9602,花蓮區中小企業銀行,全行外匯活期存款,0
9602,花蓮區中小企業銀行,全行外匯定期存款,0
9602,花蓮區中小企業銀行,全行外匯總存款,0
9602,臺東區中小企業銀行,全行外匯活期存款,0
9602,臺東區中小企業銀行,全行外匯定期存款,0
9602,臺東區中小企業銀行,全行外匯總存款,0
9602,外國銀行在台分行,全行外匯活期存款,233946000000
9602,外國銀行在台分行,全行外匯定期存款,281129000000
9602,外國銀行在台分行,全行外匯總存款,515075000000
9602,總計,國內外匯活期存款,628118000000
9602,總計,國內外匯定期存款,1203880000000
9602,總計,國內外匯總存款,1831998000000
9602,總計,海外外匯活期存款,391258000000
9602,總計,海外外匯定期存款,737909000000
9602,總計,海外外匯總存款,1129167000000
9602,中央信託局,國內外匯活期存款,3211000000
9602,中央信託局,國內外匯定期存款,12951000000
9602,中央信託局,國內外匯總存款,16162000000
9602,中央信託局,海外外匯活期存款,133000000
9602,中央信託局,海外外匯定期存款,344000000
9602,中央信託局,海外外匯總存款,478000000
9602,中國農民銀行,國內外匯活期存款,0
9602,中國農民銀行,國內外匯定期存款,0
9602,中國農民銀行,國內外匯總存款,0
9602,中國農民銀行,海外外匯活期存款,0
9602,中國農民銀行,海外外匯定期存款,0
9602,中國農民銀行,海外外匯總存款,0
9602,交通銀行,國內外匯活期存款,0
9602,交通銀行,國內外匯定期存款,0
9602,交通銀行,國內外匯總存款,0
9602,交通銀行,海外外匯活期存款,0
9602,交通銀行,海外外匯定期存款,0
9602,交通銀行,海外外匯總存款,0
9602,臺灣銀行,國內外匯活期存款,25324000000
9602,臺灣銀行,國內外匯定期存款,117384000000
9602,臺灣銀行,國內外匯總存款,142708000000
9602,臺灣銀行,海外外匯活期存款,8900000000
9602,臺灣銀行,海外外匯定期存款,17272000000
9602,臺灣銀行,海外外匯總存款,26172000000
9602,臺灣土地銀行,國內外匯活期存款,8271000000
9602,臺灣土地銀行,國內外匯定期存款,24833000000
9602,臺灣土地銀行,國內外匯總存款,33103000000
9602,臺灣土地銀行,海外外匯活期存款,1221000000
9602,臺灣土地銀行,海外外匯定期存款,14212000000
9602,臺灣土地銀行,海外外匯總存款,15435000000
9602,合作金庫商業銀行,國內外匯活期存款,23662000000
9602,合作金庫商業銀行,國內外匯定期存款,74955000000
9602,合作金庫商業銀行,國內外匯總存款,98616000000
9602,合作金庫商業銀行,海外外匯活期存款,4994000000
9602,合作金庫商業銀行,海外外匯定期存款,14170000000
9602,合作金庫商業銀行,海外外匯總存款,19166000000
9602,第一商業銀行,國內外匯活期存款,37847000000
9602,第一商業銀行,國內外匯定期存款,80790000000
9602,第一商業銀行,國內外匯總存款,118637000000
9602,第一商業銀行,海外外匯活期存款,16878000000
9602,第一商業銀行,海外外匯定期存款,28535000000
9602,第一商業銀行,海外外匯總存款,45413000000
9602,華南商業銀行,國內外匯活期存款,48590000000
9602,華南商業銀行,國內外匯定期存款,93532000000
9602,華南商業銀行,國內外匯總存款,142122000000
