年月,項目,數值,欄位名
10003,M1B,11483651000000,M1B
10003,金融機構存款餘額,30612262000000,F_Ins_Dp
10003,金融機構放款餘額,21432859000000,F_Ins_Ln
10003,貨幣機構存款餘額,30612262000000,C_Ins_Dp
10003,貨幣機構放款餘額,20254795000000,C_Ins_Ln
10003,一般銀行國內總分行對中小企業放款,3807125000000,Country_SME
10003,一般銀行國內總分行及信用合作社消費者貸款餘額,1045296000000,Country_C_CL
10003,一般銀行國內總分行消費者貸款餘額,6639336000000,Country_CL
10003,票券公司票債券交易金額(本月),4165118000000,Bund_Txn_Amt
10003,票券公司票債券交易金額(本年）,11337187000000,Bund_Txn_Amt_TY
10003,股價指數,8683.3,Stock_Index
10003,WPI,100.74,WPI
10003,CPI,98.82,CPI
10003,匯率,29.418,Exchange_Rate
10003,央行重貼現率,1.625,Rediscount_Rate
10003,基準利率,2.718,B_Ins_Rate
10003,經濟成長率,7.37,GDP
10003,外匯存底,392626000000,Y_DP
