年月,項目,數值,欄位名
10101,M1B,12015522000000,M1B
10101,金融機構存款餘額,31894380000000,F_Ins_Dp
10101,金融機構放款餘額,22317661000000,F_Ins_Ln
10101,貨幣機構存款餘額,31894380000000,C_Ins_Dp
10101,貨幣機構放款餘額,21116601000000,C_Ins_Ln
10101,一般銀行國內總分行對中小企業放款,4072402000000,Country_SME
10101,一般銀行國內總分行及信用合作社消費者貸款餘額,1157458000000,Country_C_CL
10101,一般銀行國內總分行消費者貸款餘額,6624704000000,Country_CL
10101,票券公司票債券交易金額(本月),3022239000000,Bund_Txn_Amt
10101,票券公司票債券交易金額(本年）,3022239000000,Bund_Txn_Amt_TY
10101,股價指數,7517.08,Stock_Index
10101,WPI,100.32,WPI
10101,CPI,101.28,CPI
10101,匯率,29.62,Exchange_Rate
10101,央行重貼現率,1.875,Rediscount_Rate
10101,基準利率,2.887,B_Ins_Rate
10101,經濟成長率,0.59,GDP
10101,外匯存底,390304000000,Y_DP
