年月,項目,數值,欄位名
9908,M1B,10933147000000,M1B
9908,金融機構存款餘額,29510643000000,F_Ins_Dp
9908,金融機構放款餘額,20543611000000,F_Ins_Ln
9908,貨幣機構存款餘額,29510643000000,C_Ins_Dp
9908,貨幣機構放款餘額,19358084000000,C_Ins_Ln
9908,一般銀行國內總分行對中小企業放款,3457655000000,Country_SME
9908,一般銀行國內總分行及信用合作社消費者貸款餘額,980419000000,Country_C_CL
9908,一般銀行國內總分行消費者貸款餘額,6715940000000,Country_CL
9908,票券公司票債券交易金額(本月),4130699000000,Bund_Txn_Amt
9908,票券公司票債券交易金額(本年）,33266035000000,Bund_Txn_Amt_TY
9908,股價指數,7616.28,Stock_Index
9908,WPI,96.25,WPI
9908,CPI,98.77,CPI
9908,匯率,32.102,Exchange_Rate
9908,央行重貼現率,1.375,Rediscount_Rate
9908,基準利率,2.628,B_Ins_Rate
9908,經濟成長率,11.57,GDP
9908,外匯存底,372063000000,Y_DP
