年月,項目,數值,欄位名
10211,M1B,13112431000000,M1B
10211,金融機構存款餘額,34521538000000,F_Ins_Dp
10211,金融機構放款餘額,23718731000000,F_Ins_Ln
10211,貨幣機構存款餘額,34521538000000,C_Ins_Dp
10211,貨幣機構放款餘額,22297039000000,C_Ins_Ln
10211,一般銀行國內總分行對中小企業放款,4717607000000,Country_SME
10211,一般銀行國內總分行及信用合作社消費者貸款餘額,1203168000000,Country_C_CL
10211,一般銀行國內總分行消費者貸款餘額,6839783000000,Country_CL
10211,票券公司票債券交易金額(本月),3468047000000,Bund_Txn_Amt
10211,票券公司票債券交易金額(本年）,37380868000000,Bund_Txn_Amt_TY
10211,股價指數,8406.83,Stock_Index
10211,WPI,95.71,WPI
10211,CPI,103.03,CPI
10211,匯率,29.679,Exchange_Rate
10211,央行重貼現率,1.875,Rediscount_Rate
10211,基準利率,2.882,B_Ins_Rate
10211,經濟成長率,1.22,GDP
10211,外匯存底,415559000000,Y_DP
