年月,項目,數值,欄位名
9605,M1B,8188774000000,M1B
9605,金融機構存款餘額,25321884000000,F_Ins_Dp
9605,金融機構放款餘額,18917596000000,F_Ins_Ln
9605,貨幣機構存款餘額,25321884000000,C_Ins_Dp
9605,貨幣機構放款餘額,17779374000000,C_Ins_Ln
9605,一般銀行國內總分行對中小企業放款,2922463000000,Country_SME
9605,一般銀行國內總分行及信用合作社消費者貸款餘額,1014277000000,Country_C_CL
9605,一般銀行國內總分行消費者貸款餘額,6382362000000,Country_CL
9605,信託機構基金月底餘額,4077438000000,MF_Bal
9605,票券公司票債券交易金額,8199973000000,Bund_Txn_Amt
9605,票券公司票債券交易金額(本年）,40042122000000,Bund_Txn_Amt_TY
9605,股價指數,8144.95,Stock_Index
9605,WPI,94.85,WPI
9605,CPI,93.98,CPI
9605,美元匯率,33.019,Exchange_Rate
9605,央行重貼現率,2.875,Rediscount_Rate
9605,基準利率,4.002,B_Ins_Rate
9605,經濟成長率,5.7,GDP
9605,外匯存底,265699000000,Y_DP
