年月,項目,數值,欄位名
9507,M1B,7632070000000,M1B
9507,金融機構存款餘額,24352814000000,F_Ins_Dp
9507,金融機構放款餘額,18300959000000,F_Ins_Ln
9507,貨幣機構存款餘額,24352814000000,C_Ins_Dp
9507,貨幣機構放款餘額,17224936000000,C_Ins_Ln
9507,一般銀行國內總分行對中小企業放款,2699899000000,Country_SME
9507,一般銀行國內總分行及信用合作社消費者貸款餘額,1038745000000,Country_C_CL
9507,一般銀行國內總分行消費者貸款餘額,6278857000000,Country_CL
9507,信託機構基金月底餘額,3151898000000,MF_Bal
9507,票券公司票債券交易金額,9756322000000,Bund_Txn_Amt
9507,票券公司票債券交易金額(本年）,71870652000000,Bund_Txn_Amt_TY
9507,股價指數,6454.58,Stock_Index
9507,WPI,91.26,WPI
9507,CPI,94.64,CPI
9507,美元匯率,32.756,Exchange_Rate
9507,央行重貼現率,2.5,Rediscount_Rate
9507,基準利率,4.012,B_Ins_Rate
9507,經濟成長率,6.48,GDP
9507,外匯存底,260371000000,Y_DP
