年月,項目,數值,欄位名
10010,M1B,11565478000000,M1B
10010,金融機構存款餘額,31323687000000,F_Ins_Dp
10010,金融機構放款餘額,22025898000000,F_Ins_Ln
10010,貨幣機構存款餘額,31323687000000,C_Ins_Dp
10010,貨幣機構放款餘額,20833449000000,C_Ins_Ln
10010,一般銀行國內總分行對中小企業放款,4072810000000,Country_SME
10010,一般銀行國內總分行及信用合作社消費者貸款餘額,1171883000000,Country_C_CL
10010,一般銀行國內總分行消費者貸款餘額,6632310000000,Country_CL
10010,票券公司票債券交易金額(本月),3631019000000,Bund_Txn_Amt
10010,票券公司票債券交易金額(本年）,37662166000000,Bund_Txn_Amt_TY
10010,股價指數,7587.69,Stock_Index
10010,WPI,101.38,WPI
10010,CPI,100.77,CPI
10010,匯率,29.93,Exchange_Rate
10010,央行重貼現率,1.875,Rediscount_Rate
10010,基準利率,2.882,B_Ins_Rate
10010,經濟成長率,1.21,GDP
10010,外匯存底,393327000000,Y_DP
