年月,項目,數值,欄位名
9804,M1B,9062894000000,M1B
9804,金融機構存款餘額,27970494000000,F_Ins_Dp
9804,金融機構放款餘額,19316318000000,F_Ins_Ln
9804,貨幣機構存款餘額,27970494000000,C_Ins_Dp
9804,貨幣機構放款餘額,18083081000000,C_Ins_Ln
9804,一般銀行國內總分行對中小企業放款,3022049000000,Country_SME
9804,一般銀行國內總分行及信用合作社消費者貸款餘額,974679000000,Country_C_CL
9804,一般銀行國內總分行消費者貸款餘額,6382359000000,Country_CL
9804,票券公司票債券交易金額(本月),4090290000000,Bund_Txn_Amt
9804,票券公司票債券交易金額(本年）,15167152000000,Bund_Txn_Amt_TY
9804,股價指數,5992.57,Stock_Index
9804,WPI,88.52,WPI
9804,CPI,96.97,CPI
9804,匯率,33.233,Exchange_Rate
9804,央行重貼現率,1.25,Rediscount_Rate
9804,基準利率,2.659,B_Ins_Rate
9804,經濟成長率,-6.58,GDP
9804,外匯存底,304659000000,Y_DP
