年月,項目,數值,欄位名
10102,M1B,11935385000000,M1B
10102,金融機構存款餘額,32020592000000,F_Ins_Dp
10102,金融機構放款餘額,22330982000000,F_Ins_Ln
10102,貨幣機構存款餘額,32020592000000,C_Ins_Dp
10102,貨幣機構放款餘額,21127974000000,C_Ins_Ln
10102,一般銀行國內總分行對中小企業放款,4093306000000,Country_SME
10102,一般銀行國內總分行及信用合作社消費者貸款餘額,1156048000000,Country_C_CL
10102,一般銀行國內總分行消費者貸款餘額,6599105000000,Country_CL
10102,票券公司票債券交易金額(本月),3395089000000,Bund_Txn_Amt
10102,票券公司票債券交易金額(本年）,6417327000000,Bund_Txn_Amt_TY
10102,股價指數,8121.44,Stock_Index
10102,WPI,100.14,WPI
10102,CPI,99.94,CPI
10102,匯率,29.42,Exchange_Rate
10102,央行重貼現率,1.875,Rediscount_Rate
10102,基準利率,2.887,B_Ins_Rate
10102,經濟成長率,0.59,GDP
10102,外匯存底,394426000000,Y_DP
