年月,項目,數值,欄位名
9805,M1B,9306753000000,M1B
9805,金融機構存款餘額,28094903000000,F_Ins_Dp
9805,金融機構放款餘額,19298605000000,F_Ins_Ln
9805,貨幣機構存款餘額,28094903000000,C_Ins_Dp
9805,貨幣機構放款餘額,18061260000000,C_Ins_Ln
9805,一般銀行國內總分行對中小企業放款,3004629000000,Country_SME
9805,一般銀行國內總分行及信用合作社消費者貸款餘額,971423000000,Country_C_CL
9805,一般銀行國內總分行消費者貸款餘額,6406510000000,Country_CL
9805,票券公司票債券交易金額(本月),3778001000000,Bund_Txn_Amt
9805,票券公司票債券交易金額(本年）,18945153000000,Bund_Txn_Amt_TY
9805,股價指數,6890.44,Stock_Index
9805,WPI,88.54,WPI
9805,CPI,97.38,CPI
9805,匯率,32.65,Exchange_Rate
9805,央行重貼現率,1.25,Rediscount_Rate
9805,基準利率,2.639,B_Ins_Rate
9805,經濟成長率,-6.58,GDP
9805,外匯存底,312642000000,Y_DP
