年月,項目,數值,欄位名
9503,M1B,7672462000000,M1B
9503,金融機構存款餘額,24008003000000,F_Ins_Dp
9503,金融機構放款餘額,18241302000000,F_Ins_Ln
9503,貨幣機構存款餘額,20281439000000,C_Ins_Dp
9503,貨幣機構放款餘額,17202903000000,C_Ins_Ln
9503,一般銀行國內總分行對中小企業放款,2562873000000,Country_SME
9503,一般銀行國內總分行及信用合作社消費者貸款餘額,1040244000000,Country_C_CL
9503,一般銀行國內總分行消費者貸款餘額,6214873000000,Country_CL
9503,信託機構基金月底餘額,2833050000000,MF_Bal
9503,票券公司票債券交易金額,12738638000000,Bund_Txn_Amt
9503,票券公司票債券交易金額(本年）,35239785000000,Bund_Txn_Amt_TY
9503,股價指數,6613.97,Stock_Index
9503,WPI,85.21,WPI
9503,CPI,91.94,CPI
9503,美元匯率,32.46,Exchange_Rate
9503,央行重貼現率,2.375,Rediscount_Rate
9503,基準利率,3.896,B_Ins_Rate
9503,經濟成長率,5.82,GDP
9503,外匯存底,257051000000,Y_DP
