年月,項目,數值,欄位名
10104,M1B,11839640000000,M1B
10104,金融機構存款餘額,32074189000000,F_Ins_Dp
10104,金融機構放款餘額,22447100000000,F_Ins_Ln
10104,貨幣機構存款餘額,32074189000000,C_Ins_Dp
10104,貨幣機構放款餘額,21241277000000,C_Ins_Ln
10104,一般銀行國內總分行對中小企業放款,4153556000000,Country_SME
10104,一般銀行國內總分行及信用合作社消費者貸款餘額,1174633000000,Country_C_CL
10104,一般銀行國內總分行消費者貸款餘額,6610346000000,Country_CL
10104,票券公司票債券交易金額(本月),3608272000000,Bund_Txn_Amt
10104,票券公司票債券交易金額(本年）,13893784000000,Bund_Txn_Amt_TY
10104,股價指數,7501.72,Stock_Index
10104,WPI,100.47,WPI
10104,CPI,100.99,CPI
10104,匯率,29.232,Exchange_Rate
10104,央行重貼現率,1.875,Rediscount_Rate
10104,基準利率,2.887,B_Ins_Rate
10104,經濟成長率,-0.12,GDP
10104,外匯存底,395072000000,Y_DP
