年月,項目,數值,欄位名
9511,M1B,7896738000000,M1B
9511,金融機構存款餘額,24709113000000,F_Ins_Dp
9511,金融機構放款餘額,18489413000000,F_Ins_Ln
9511,貨幣機構存款餘額,24709113000000,C_Ins_Dp
9511,貨幣機構放款餘額,17378724000000,C_Ins_Ln
9511,一般銀行國內總分行對中小企業放款,2780515000000,Country_SME
9511,一般銀行國內總分行及信用合作社消費者貸款餘額,1036320000000,Country_C_CL
9511,一般銀行國內總分行消費者貸款餘額,6298140000000,Country_CL
9511,信託機構基金月底餘額,3553649000000,MF_Bal
9511,票券公司票債券交易金額,8920716000000,Bund_Txn_Amt
9511,票券公司票債券交易金額(本年）,108632518000000,Bund_Txn_Amt_TY
9511,股價指數,7567.72,Stock_Index
9511,WPI,90.83,WPI
9511,CPI,93.45,CPI
9511,美元匯率,32.432,Exchange_Rate
9511,央行重貼現率,2.625,Rediscount_Rate
9511,基準利率,4.103,B_Ins_Rate
9511,經濟成長率,3.84,GDP
9511,外匯存底,265140000000,Y_DP
