年月,項目,數值,欄位名
9702,M1B,8246411000000,M1B
9702,金融機構存款餘額,25632699000000,F_Ins_Dp
9702,金融機構放款餘額,19271394000000,F_Ins_Ln
9702,貨幣機構存款餘額,27246193000000,C_Ins_Dp
9702,貨幣機構放款餘額,18081228000000,C_Ins_Ln
9702,一般銀行國內總分行對中小企業放款,3110445000000,Country_SME
9702,一般銀行國內總分行及信用合作社消費者貸款餘額,1056572000000,Country_C_CL
9702,一般銀行國內總分行消費者貸款餘額,6433632000000,Country_CL
9702,信託機構基金月底餘額,5879173000000,MF_Bal
9702,票券公司票債券交易金額,4003440000000,Bund_Txn_Amt
9702,票券公司票債券交易金額(本年）,10163483000000,Bund_Txn_Amt_TY
9702,股價指數,8412.76,Stock_Index
9702,WPI,98.43,WPI
9702,CPI,97.43,CPI
9702,美元匯率,30.95,Exchange_Rate
9702,央行重貼現率,3.375,Rediscount_Rate
9702,基準利率,4.342,B_Ins_Rate
9702,經濟成長率,7.55,GDP
9702,外匯存底,277838000000,Y_DP
