年月,項目,數值,欄位名
9903,M1B,10526869000000,M1B
9903,金融機構存款餘額,29060464000000,F_Ins_Dp
9903,金融機構放款餘額,19797284000000,F_Ins_Ln
9903,貨幣機構存款餘額,29060464000000,C_Ins_Dp
9903,貨幣機構放款餘額,18613142000000,C_Ins_Ln
9903,一般銀行國內總分行對中小企業放款,3231017000000,Country_SME
9903,一般銀行國內總分行及信用合作社消費者貸款餘額,953428000000,Country_C_CL
9903,一般銀行國內總分行消費者貸款餘額,6610832000000,Country_CL
9903,票券公司票債券交易金額(本月),4779971000000,Bund_Txn_Amt
9903,票券公司票債券交易金額(本年）,11524920000000,Bund_Txn_Amt_TY
9903,股價指數,7920.06,Stock_Index
9903,WPI,95.2,WPI
9903,CPI,97.45,CPI
9903,匯率,31.819,Exchange_Rate
9903,央行重貼現率,1.25,Rediscount_Rate
9903,基準利率,2.564,B_Ins_Rate
9903,經濟成長率,13.11,GDP
9903,外匯存底,355035000000,Y_DP
