年月,項目,數值,欄位名
10105,M1B,11809260000000,M1B
10105,金融機構存款餘額,32072808000000,F_Ins_Dp
10105,金融機構放款餘額,22479995000000,F_Ins_Ln
10105,貨幣機構存款餘額,32072808000000,C_Ins_Dp
10105,貨幣機構放款餘額,21269142000000,C_Ins_Ln
10105,一般銀行國內總分行對中小企業放款,4223053000000,Country_SME
10105,一般銀行國內總分行及信用合作社消費者貸款餘額,1172972000000,Country_C_CL
10105,一般銀行國內總分行消費者貸款餘額,6633322000000,Country_CL
10105,票券公司票債券交易金額(本月),3810057000000,Bund_Txn_Amt
10105,票券公司票債券交易金額(本年）,17703841000000,Bund_Txn_Amt_TY
10105,股價指數,7301.5,Stock_Index
10105,WPI,99.31,WPI
10105,CPI,101.49,CPI
10105,匯率,29.86,Exchange_Rate
10105,央行重貼現率,1.875,Rediscount_Rate
10105,基準利率,2.887,B_Ins_Rate
10105,經濟成長率,-0.12,GDP
10105,外匯存底,389275000000,Y_DP
