年月,項目,數值,欄位名
9803,M1B,8843656000000,M1B
9803,金融機構存款餘額,27861056000000,F_Ins_Dp
9803,金融機構放款餘額,19341950000000,F_Ins_Ln
9803,貨幣機構存款餘額,27861056000000,C_Ins_Dp
9803,貨幣機構放款餘額,18096477000000,C_Ins_Ln
9803,一般銀行國內總分行對中小企業放款,3048748000000,Country_SME
9803,一般銀行國內總分行及信用合作社消費者貸款餘額,993879000000,Country_C_CL
9803,一般銀行國內總分行消費者貸款餘額,6371676000000,Country_CL
9803,票券公司票債券交易金額(本月),4381438000000,Bund_Txn_Amt
9803,票券公司票債券交易金額(本年）,11076862000000,Bund_Txn_Amt_TY
9803,股價指數,5210.84,Stock_Index
9803,WPI,89.08,WPI
9803,CPI,96.24,CPI
9803,匯率,33.917,Exchange_Rate
9803,央行重貼現率,1.25,Rediscount_Rate
9803,基準利率,3.162,B_Ins_Rate
9803,經濟成長率,-8.12,GDP
9803,外匯存底,300122000000,Y_DP
