年月,項目,數值,欄位名
9510,M1B,7875557000000,M1B
9510,金融機構存款餘額,24577424000000,F_Ins_Dp
9510,金融機構放款餘額,18422568000000,F_Ins_Ln
9510,貨幣機構存款餘額,24577424000000,C_Ins_Dp
9510,貨幣機構放款餘額,17317610000000,C_Ins_Ln
9510,一般銀行國內總分行對中小企業放款,2759324000000,Country_SME
9510,一般銀行國內總分行及信用合作社消費者貸款餘額,1051677000000,Country_C_CL
9510,一般銀行國內總分行消費者貸款餘額,6259913000000,Country_CL
9510,信託機構基金月底餘額,3506921000000,MF_Bal
9510,票券公司票債券交易金額,8233267000000,Bund_Txn_Amt
9510,票券公司票債券交易金額(本年）,99711802000000,Bund_Txn_Amt_TY
9510,股價指數,7021.32,Stock_Index
9510,WPI,91.73,WPI
9510,CPI,93.53,CPI
9510,美元匯率,33.26,Exchange_Rate
9510,央行重貼現率,2.625,Rediscount_Rate
9510,基準利率,4.103,B_Ins_Rate
9510,經濟成長率,3.84,GDP
9510,外匯存底,261821000000,Y_DP
