年月,項目,數值,欄位名
9711,M1B,7858798000000,M1B
9711,金融機構存款餘額,26816565000000,F_Ins_Dp
9711,金融機構放款餘額,19852617000000,F_Ins_Ln
9711,貨幣機構存款餘額,26816565000000,C_Ins_Dp
9711,貨幣機構放款餘額,18575848000000,C_Ins_Ln
9711,一般銀行國內總分行對中小企業放款,3165369000000,Country_SME
9711,一般銀行國內總分行及信用合作社消費者貸款餘額,1047379000000,Country_C_CL
9711,一般銀行國內總分行消費者貸款餘額,6428257000000,Country_CL
9711,票券公司票債券交易金額(本月),3734334000000,Bund_Txn_Amt
9711,票券公司票債券交易金額(本年）,52032685000000,Bund_Txn_Amt_TY
9711,股價指數,4460.49,Stock_Index
9711,WPI,92.59,WPI
9711,CPI,99.83,CPI
9711,匯率,33.295,Exchange_Rate
9711,央行重貼現率,2.75,Rediscount_Rate
9711,基準利率,4.295,B_Ins_Rate
9711,經濟成長率,-7.53,GDP
9711,外匯存底,280685000000,Y_DP
