年月,項目,數值,欄位名
9810,M1B,10153595000000,M1B
9810,金融機構存款餘額,28579846000000,F_Ins_Dp
9810,金融機構放款餘額,19417813000000,F_Ins_Ln
9810,貨幣機構存款餘額,28579846000000,C_Ins_Dp
9810,貨幣機構放款餘額,18206391000000,C_Ins_Ln
9810,一般銀行國內總分行對中小企業放款,3110074000000,Country_SME
9810,一般銀行國內總分行及信用合作社消費者貸款餘額,952126000000,Country_C_CL
9810,一般銀行國內總分行消費者貸款餘額,6574820000000,Country_CL
9810,票券公司票債券交易金額(本月),4059086000000,Bund_Txn_Amt
9810,票券公司票債券交易金額(本年）,39486614000000,Bund_Txn_Amt_TY
9810,股價指數,7340.08,Stock_Index
9810,WPI,92.47,WPI
9810,CPI,98.96,CPI
9810,匯率,32.535,Exchange_Rate
9810,央行重貼現率,1.25,Rediscount_Rate
9810,基準利率,2.611,B_Ins_Rate
9810,經濟成長率,8.82,GDP
9810,外匯存底,341222000000,Y_DP
