年月,項目,數值,欄位名
10208,M1B,13050595000000,M1B
10208,金融機構存款餘額,34102440000000,F_Ins_Dp
10208,金融機構放款餘額,23392075000000,F_Ins_Ln
10208,貨幣機構存款餘額,34102440000000,C_Ins_Dp
10208,貨幣機構放款餘額,22016762000000,C_Ins_Ln
10208,一般銀行國內總分行對中小企業放款,4624032000000,Country_SME
10208,一般銀行國內總分行及信用合作社消費者貸款餘額,1209410000000,Country_C_CL
10208,一般銀行國內總分行消費者貸款餘額,6763011000000,Country_CL
10208,票券公司票債券交易金額(本月),3552302000000,Bund_Txn_Amt
10208,票券公司票債券交易金額(本年）,27136822000000,Bund_Txn_Amt_TY
10208,股價指數,8021.89,Stock_Index
10208,WPI,96.39,WPI
10208,CPI,102.7,CPI
10208,匯率,29.983,Exchange_Rate
10208,央行重貼現率,1.875,Rediscount_Rate
10208,基準利率,2.882,B_Ins_Rate
10208,經濟成長率,2.47,GDP
10208,外匯存底,409388000000,Y_DP
