年月,項目,數值,欄位名
10009,M1B,11598677000000,M1B
10009,金融機構存款餘額,31219824000000,F_Ins_Dp
10009,金融機構放款餘額,22032501000000,F_Ins_Ln
10009,貨幣機構存款餘額,31219824000000,C_Ins_Dp
10009,貨幣機構放款餘額,20844370000000,C_Ins_Ln
10009,一般銀行國內總分行對中小企業放款,4079217000000,Country_SME
10009,一般銀行國內總分行及信用合作社消費者貸款餘額,1153019000000,Country_C_CL
10009,一般銀行國內總分行消費者貸款餘額,6629565000000,Country_CL
10009,票券公司票債券交易金額(本月),3845137000000,Bund_Txn_Amt
10009,票券公司票債券交易金額(本年）,34031147000000,Bund_Txn_Amt_TY
10009,股價指數,7225.38,Stock_Index
10009,WPI,101.41,WPI
10009,CPI,100.23,CPI
10009,匯率,30.506,Exchange_Rate
10009,央行重貼現率,1.875,Rediscount_Rate
10009,基準利率,2.855,B_Ins_Rate
10009,經濟成長率,3.53,GDP
10009,外匯存底,389174000000,Y_DP
