年月,項目,數值,欄位名
9601,M1B,8216936000000,M1B
9601,金融機構存款餘額,25131152000000,F_Ins_Dp
9601,金融機構放款餘額,18773990000000,F_Ins_Ln
9601,貨幣機構存款餘額,25131152000000,C_Ins_Dp
9601,貨幣機構放款餘額,17640666000000,C_Ins_Ln
9601,一般銀行國內總分行對中小企業放款,2797018000000,Country_SME
9601,一般銀行國內總分行及信用合作社消費者貸款餘額,1038419000000,Country_C_CL
9601,一般銀行國內總分行消費者貸款餘額,6353836000000,Country_CL
9601,信託機構基金月底餘額,3702903000000,MF_Bal
9601,票券公司票債券交易金額,9254601000000,Bund_Txn_Amt
9601,票券公司票債券交易金額(本年）,9254601000000,Bund_Txn_Amt_TY
9601,股價指數,7699.64,Stock_Index
9601,WPI,89.91,WPI
9601,CPI,93.45,CPI
9601,美元匯率,32.949,Exchange_Rate
9601,央行重貼現率,2.75,Rediscount_Rate
9601,基準利率,3.957,B_Ins_Rate
9601,經濟成長率,4.45,GDP
9601,外匯存底,265972000000,Y_DP
