年月,項目,數值,欄位名
10112,M1B,12418243000000,M1B
10112,金融機構存款餘額,32873091000000,F_Ins_Dp
10112,金融機構放款餘額,22911744000000,F_Ins_Ln
10112,貨幣機構存款餘額,32873091000000,C_Ins_Dp
10112,貨幣機構放款餘額,21649450000000,C_Ins_Ln
10112,一般銀行國內總分行對中小企業放款,4465462000000,Country_SME
10112,一般銀行國內總分行及信用合作社消費者貸款餘額,1147067000000,Country_C_CL
10112,一般銀行國內總分行消費者貸款餘額,6741523000000,Country_CL
10112,票券公司票債券交易金額(本月),3166544000000,Bund_Txn_Amt
10112,票券公司票債券交易金額(本年）,42399533000000,Bund_Txn_Amt_TY
10112,股價指數,7699.5,Stock_Index
10112,WPI,96.29,WPI
10112,CPI,102.59,CPI
10112,匯率,29.136,Exchange_Rate
10112,央行重貼現率,1.875,Rediscount_Rate
10112,基準利率,2.883,B_Ins_Rate
10112,經濟成長率,3.72,GDP
10112,外匯存底,403169000000,Y_DP
