年月,項目,數值,欄位名
9911,M1B,11157523000000,M1B
9911,金融機構存款餘額,30089679000000,F_Ins_Dp
9911,金融機構放款餘額,20738193000000,F_Ins_Ln
9911,貨幣機構存款餘額,30089679000000,C_Ins_Dp
9911,貨幣機構放款餘額,19550603000000,C_Ins_Ln
9911,一般銀行國內總分行對中小企業放款,3577380000000,Country_SME
9911,一般銀行國內總分行及信用合作社消費者貸款餘額,1002128000000,Country_C_CL
9911,一般銀行國內總分行消費者貸款餘額,6779191000000,Country_CL
9911,票券公司票債券交易金額(本月),4196737000000,Bund_Txn_Amt
9911,票券公司票債券交易金額(本年）,44980555000000,Bund_Txn_Amt_TY
9911,股價指數,8372.48,Stock_Index
9911,WPI,95.85,WPI
9911,CPI,99.71,CPI
9911,匯率,30.85,Exchange_Rate
9911,央行重貼現率,1.5,Rediscount_Rate
9911,基準利率,2.672,B_Ins_Rate
9911,經濟成長率,6.21,GDP
9911,外匯存底,379257000000,Y_DP
