年月,項目,數值,欄位名
9606,M1B,8340325000000,M1B
9606,金融機構存款餘額,25517570000000,F_Ins_Dp
9606,金融機構放款餘額,18905769000000,F_Ins_Ln
9606,貨幣機構存款餘額,25517570000000,C_Ins_Dp
9606,貨幣機構放款餘額,17763469000000,C_Ins_Ln
9606,一般銀行國內總分行對中小企業放款,2980763000000,Country_SME
9606,一般銀行國內總分行及信用合作社消費者貸款餘額,1008388000000,Country_C_CL
9606,一般銀行國內總分行消費者貸款餘額,6396814000000,Country_CL
9606,信託機構基金月底餘額,4194693000000,MF_Bal
9606,票券公司票債券交易金額,6793806000000,Bund_Txn_Amt
9606,票券公司票債券交易金額(本年）,46835928000000,Bund_Txn_Amt_TY
9606,股價指數,8883.21,Stock_Index
9606,WPI,94.89,WPI
9606,CPI,94.55,CPI
9606,美元匯率,32.735,Exchange_Rate
9606,央行重貼現率,3.125,Rediscount_Rate
9606,基準利率,4.056,B_Ins_Rate
9606,經濟成長率,5.7,GDP
9606,外匯存底,266052000000,Y_DP
